specification_id,baseline_type,baseline_label,model_family,model_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,complexity_score,cycle,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error
raw_presidential_margin__generic_only__gb_0.45,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.45,0.0,0.0,1,2020,407,3.0344676363194374,5.503716188933339,4.1522992100000025,7.283199932709066,0.9459459459459459,0.04617382877282962,0.16536453387100752,203,201,207.7565126855004,-2,4.756512685500411
raw_presidential_margin__generic_only__gb_0.45,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.45,0.0,0.0,1,2022,400,4.49890540262625,6.013320864365751,5.157233670000002,7.604007984993265,0.9525,0.04138727873888937,0.14681415254054977,204,211,213.10953078774594,7,9.109530787745939
raw_presidential_margin__generic_only__gb_0.50,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.5,0.0,0.0,1,2016,345,4.667336164582318,9.390379097272755,7.545852740000001,11.866067638684502,0.9333333333333333,0.05424208473536954,0.18497173267354342,149,166,173.62208140233912,17,24.62208140233912
raw_presidential_margin__generic_only__gb_0.50,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.5,0.0,0.0,1,2018,393,-1.522389194447329,5.4194264222676845,4.001191800000003,7.4654449638480305,0.9389312977099237,0.049984893305500044,0.17748600711761453,200,184,190.51167905578916,-16,-9.488320944210841
raw_presidential_margin__generic_only__gb_0.50,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.5,0.0,0.0,1,2020,407,3.3744676363194377,5.638368303925967,4.235191950000001,7.431287859618315,0.9484029484029484,0.046154790105679494,0.16607127251421092,203,202,209.2429944360578,-1,6.242994436057813
raw_presidential_margin__generic_only__gb_0.50,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.5,0.0,0.0,1,2022,400,4.43890540262625,5.976387550115749,5.09723367,7.568663606445075,0.9525,0.04130843615228105,0.14660679691844994,204,211,212.86129616975768,7,8.86129616975768
raw_presidential_margin__generic_only__gb_0.55,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.55,0.0,0.0,1,2016,345,4.6973361645823175,9.399335619011884,7.57585274,11.8778997038917,0.9333333333333333,0.05436942912825921,0.18530196873079552,149,166,173.74822029977653,17,24.748220299776534
raw_presidential_margin__generic_only__gb_0.55,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.55,0.0,0.0,1,2018,393,-1.1573891944473276,5.376651766186259,4.1730716,7.399645220974947,0.9414758269720102,0.049456640439452894,0.17624721820451275,200,185,192.15046410138333,-15,-7.849535898616665
raw_presidential_margin__generic_only__gb_0.55,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.55,0.0,0.0,1,2020,407,3.714467636319438,5.789926546260121,4.52564658,7.591724260351386,0.9484029484029484,0.046217218380596684,0.16696959680993867,203,204,210.73792673428534,1,7.737926734285338
raw_presidential_margin__generic_only__gb_0.55,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.55,0.0,0.0,1,2022,400,4.378905402626251,5.939946573115751,5.057659725000004,7.533631271784613,0.95,0.041231885752607396,0.1464051693495,204,210,212.6130993697402,6,8.613099369740212
raw_presidential_margin__generic_only__gb_0.60,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.6,0.0,0.0,1,2016,345,4.727336164582319,9.40833956851913,7.604799159999999,11.88979568981677,0.9333333333333333,0.05449745543933742,0.18563389271208083,149,166,173.87442604053885,17,24.87442604053885
raw_presidential_margin__generic_only__gb_0.60,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.6,0.0,0.0,1,2018,393,-0.7923891944473278,5.3564817757536884,4.153781890000005,7.351399886031968,0.9440203562340967,0.04902821747561899,0.17524335522920614,200,186,193.7999905017657,-14,-6.200009498234294
raw_presidential_margin__generic_only__gb_0.60,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.6,0.0,0.0,1,2020,407,4.054467636319437,5.953680724328916,4.777063769999999,7.763743635508903,0.9508599508599509,0.04636254017245349,0.16806059371504928,203,205,212.24132075123754,2,9.241320751237538
raw_presidential_margin__generic_only__gb_0.60,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.6,0.0,0.0,1,2022,400,4.318905402626251,5.904273470465751,5.006853290000002,7.498915354295973,0.95,0.041157629043342664,0.14620926897101139,204,210,212.36493951834566,6,8.364939518345665
raw_presidential_margin__generic_only__gb_0.65,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.65,0.0,0.0,1,2016,345,4.757336164582319,9.41747000330174,7.574799159999998,11.901755404790523,0.9333333333333333,0.05462616368171288,0.18596750551143137,149,166,174.00069859562814,17,25.000698595628137
