model_id,model_description,categorical_feature_count,numeric_feature_count,alpha,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,10.0,393,0.5625702524684933,0.8284439034274729,0.0433959534807038,0.24299146437304625,0.5399106312887091,0.7917715118369933,0.02573477112727507,0.9348367690075216,0.31090621781676975,-0.07648979946542811,1.7473094918651793,5.0,5.0,10.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,30.0,393,0.5613699925514933,0.8277062139696253,0.04509881478957678,0.24331722016052898,0.5384997051072276,0.7908471761541336,0.028008210976855685,0.9348924815358022,0.30577818641449506,-0.028101567586932386,1.7278555598686676,4.0,4.0,8.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,100.0,393,0.5590508854916223,0.8265741716673423,0.047709038783106616,0.2427144777104308,0.5358807741530758,0.7892018863612846,0.03204829535621967,0.9354471547186376,0.29428907393935355,0.0801005770407699,1.669909451113375,3.0,3.0,6.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,300.0,393,0.5568432072786937,0.8256101497296401,0.04992903080972144,0.2393201850917738,0.5333007278692613,0.787376825802173,0.036519972065896744,0.936913029438778,0.27438726293560056,0.14956633466173974,1.5906439281837557,2.0,2.0,4.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,1000.0,393,0.55558647282512,0.8254103998163859,0.05038869966496162,0.2299781772511874,0.5315206523785676,0.7857841970706932,0.040413696241447084,0.9404115728144737,0.23639724279876687,0.17881325815291582,1.5340128465492353,1.0,1.0,2.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,0.01,393,0.5629702440625011,0.8310746531931917,0.037310854393670656,0.23767662023838668,0.5392188543673059,0.7937366484788553,0.020892616043078238,0.9347008357513491,0.3178185063913962,-0.06673243010252894,1.8820035389437342,11.0,11.0,22.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,0.03,393,0.5629675197767828,0.8310717196092733,0.03731765071311277,0.23768021250828547,0.5392163672750468,0.7937338591228811,0.020899497605715522,0.9347001432713059,0.31780579742544013,-0.06665965199332324,1.881986607536993,10.0,10.0,20.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,0.1,393,0.5629580082378202,0.8310615107030735,0.0373413017969092,0.23769269118803812,0.5392076797112786,0.7937241444538524,0.020923464276684345,0.9346977395039249,0.3177615034186848,-0.06640537569075566,1.8819272510946377,9.0,9.0,18.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,0.3,393,0.5629310309468936,0.8310328347864742,0.03740773404994524,0.23772755310158544,0.5391830044218342,0.7936967920993903,0.02099094259949219,0.934691039238076,0.3176365240471311,-0.06568265444343335,1.8817568463538636,8.0,8.0,16.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,1.0,393,0.5628388313940909,0.8309378405590107,0.03762778668470901,0.23784093992124886,0.5390982875259687,0.7936054693868166,0.021216219103403322,0.934669432224218,0.3172163320224139,-0.06319542529437006,1.881151385760533,7.0,7.0,14.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,3.0,393,0.562592308634716,0.8307045587172385,0.038168073664617164,0.23810376520463136,0.538868975830388,0.7933759661656352,0.021782247333292593,0.9346210740721734,0.31613924375433833,-0.05641134975883855,1.8793544525623764,6.0,6.0,12.0
