model_id,alpha,fold,validation_rows,fold_mae,fold_rmse,fold_r2,fold_weighted_mae,fold_weighted_rmse,fold_weighted_r2
B_continuous_demographics,1000.0,3,39,0.5237288224134473,0.9189037120608106,-0.02547422073929506,0.5320229260494432,0.9437777007877808,-0.06088013931855607
B_continuous_demographics,1000.0,4,39,0.7806132057547094,1.216360988356207,0.05036465856929584,0.6616676479529592,1.0506324849612338,0.06621623000854238
B_continuous_demographics,1000.0,5,39,0.5025646239813897,0.7058965422165612,0.0885218340119982,0.49941941618005514,0.708830444820186,0.07328153643405078
B_continuous_demographics,1000.0,6,39,0.585711766222097,0.7765656417666562,0.08805059926535885,0.6028491507901725,0.7923420570103843,0.06488172904283862
B_continuous_demographics,1000.0,7,39,0.4183750509119618,0.5964686933104307,0.029619059626027067,0.40052776247590377,0.588174175916147,0.0022462943153959136
B_continuous_demographics,1000.0,8,39,0.5870751666163261,0.7450795109739974,0.012902101434335012,0.6042327152449964,0.769601828904173,-0.016550729702835554
B_continuous_demographics,1000.0,9,39,0.5150540453866034,0.9022768772005317,0.05748291245876003,0.41441806179235735,0.6990153160181795,0.13394015802174175
C_continuous_full,1000.0,0,40,0.5532126509334592,0.7436923419171262,0.00603035604033586,0.5284121861741645,0.7184465952002282,0.009868382023227817
C_continuous_full,1000.0,1,40,0.5515159160881695,0.6975299383216983,-0.1161365480056773,0.5344827468991082,0.6772247328038682,-0.18146370137520162
C_continuous_full,1000.0,2,40,0.5365656311253265,0.7945507273200225,0.1256942009446964,0.5299718442721607,0.8204752372718891,0.11918220433222104
C_continuous_full,1000.0,3,39,0.5293789729897759,0.9177938016832092,-0.022998450799941894,0.537385610190276,0.9421003140195521,-0.05711246195437569
C_continuous_full,1000.0,4,39,0.7743241470419632,1.2157701365344855,0.05128701221290033,0.6544233759181166,1.0489792996139122,0.06915256243157486
C_continuous_full,1000.0,5,39,0.5020134565391706,0.7111946802435822,0.07478820735611325,0.49818562232114466,0.7139226107200705,0.05991880740120359
C_continuous_full,1000.0,6,39,0.5834893939782557,0.7813485881905123,0.07678242748595376,0.600706772838338,0.7979086648190568,0.05169620632794525
C_continuous_full,1000.0,7,39,0.41449778338597354,0.5941274655765604,0.03722188625451861,0.39546005106522336,0.5849829328544505,0.013043901012645853
C_continuous_full,1000.0,8,39,0.5888334575229346,0.7566819891279195,-0.01807970322315189,0.6057248778193617,0.7824861307108352,-0.05087284875874354
C_continuous_full,1000.0,9,39,0.5130694376003737,0.9052923395196724,0.051172490218073574,0.40954070956377653,0.6990487047490761,0.13385742069410778
D_hybrid_all_features,1000.0,0,40,0.5841960425015972,0.7760748272829923,-0.0824147360938996,0.5563851804030558,0.7455315343005849,-0.06619338306723366
D_hybrid_all_features,1000.0,1,40,0.5583536807675401,0.7013653433006226,-0.12844456415630545,0.548611893976068,0.6897981061131213,-0.22574112500736154
D_hybrid_all_features,1000.0,2,40,0.5352294599639953,0.8014096574814026,0.11053422236222976,0.5294507226597941,0.8271572288609257,0.10477693476530214
D_hybrid_all_features,1000.0,3,39,0.53695766990484,0.9280009611871033,-0.045879347800718895,0.5450152761174601,0.9507197333110593,-0.07654431556267172
D_hybrid_all_features,1000.0,4,39,0.7772291517248531,1.2279205401346052,0.03222938448208834,0.6527239017360599,1.055840449903389,0.05693578915712172
D_hybrid_all_features,1000.0,5,39,0.5001764135841464,0.7225048698677131,0.04512676976871588,0.49492546941974025,0.7240654509603784,0.03301721698455462
D_hybrid_all_features,1000.0,6,39,0.5859315175018757,0.7934247341158127,0.048024287065692284,0.6086231402905304,0.8177490387314638,0.0039498391297223545
D_hybrid_all_features,1000.0,7,39,0.4168218107939434,0.5981550402400662,0.024124346606340996,0.3986151816490703,0.5891367852471299,-0.001022237364890266
D_hybrid_all_features,1000.0,8,39,0.6068597245279423,0.7696305791766682,-0.05322125599458527,0.6234945506464895,0.7949810145903236,-0.08470186911465127
D_hybrid_all_features,1000.0,9,39,0.5449714861767649,0.9400302991940416,-0.023041570201583816,0.4382987028751833,0.7309845792125037,0.05291065954226426
