specification_id,training_environment_mae,training_environment_max_error,training_raw_mae,complexity_score,training_simplicity_adjusted_score,held_out_cycle
lb21__hl14__q_prefer_lv__sample_sqrt__quality_on__partisan_exclude__poll_level,3.7342889197545794,4.551514515006424,4.113527995226673,5,3.8842889197545794,2018
lb21__hl14__q_prefer_lv__sample_sqrt__quality_on__partisan_include__poll_level,3.7342889197545794,4.551514515006424,4.113527995226673,4,3.8542889197545795,2018
lb21__hl14__q_prefer_rv__sample_equal__quality_off__partisan_downweight__poll_level,3.846245340791412,4.691276204988689,4.237924018600931,3,3.936245340791412,2018
lb21__hl14__q_prefer_rv__sample_equal__quality_off__partisan_exclude__poll_level,3.846245340791412,4.691276204988689,4.237924018600931,3,3.936245340791412,2018
lb21__hl14__q_prefer_rv__sample_equal__quality_off__partisan_include__poll_level,3.846245340791412,4.691276204988689,4.237924018600931,2,3.906245340791412,2018
lb21__hl14__q_prefer_rv__sample_equal__quality_on__partisan_downweight__poll_level,3.8901835388920136,4.808448228507999,4.286744238712711,4,4.010183538892013,2018
lb21__hl14__q_prefer_rv__sample_equal__quality_on__partisan_exclude__poll_level,3.8901835388920136,4.808448228507999,4.286744238712711,4,4.010183538892013,2018
lb21__hl14__q_prefer_rv__sample_equal__quality_on__partisan_include__poll_level,3.8901835388920136,4.808448228507999,4.286744238712711,3,3.9801835388920135,2018
lb21__hl14__q_prefer_rv__sample_sqrt__quality_off__partisan_downweight__poll_level,3.784067737052031,4.492564906349314,4.16883779222384,4,3.904067737052031,2018
lb21__hl14__q_prefer_rv__sample_sqrt__quality_off__partisan_exclude__poll_level,3.784067737052031,4.492564906349314,4.16883779222384,4,3.904067737052031,2018
lb21__hl14__q_prefer_rv__sample_sqrt__quality_off__partisan_include__poll_level,3.784067737052031,4.492564906349314,4.16883779222384,3,3.8740677370520307,2018
lb21__hl14__q_prefer_rv__sample_sqrt__quality_on__partisan_downweight__poll_level,3.812729667165085,4.574328756276875,4.200684381238345,5,3.962729667165085,2018
lb21__hl14__q_prefer_rv__sample_sqrt__quality_on__partisan_exclude__poll_level,3.812729667165085,4.574328756276875,4.200684381238345,5,3.962729667165085,2018
lb21__hl14__q_prefer_rv__sample_sqrt__quality_on__partisan_include__poll_level,3.812729667165085,4.574328756276875,4.200684381238345,4,3.932729667165085,2018
lb21__hl21__q_all__sample_equal__quality_off__partisan_downweight__poll_level,3.8531678237495495,4.68977991042148,4.245615666332195,2,3.9131678237495495,2018
lb21__hl21__q_all__sample_equal__quality_off__partisan_exclude__poll_level,3.8531678237495495,4.68977991042148,4.245615666332195,2,3.9131678237495495,2018
lb21__hl21__q_all__sample_equal__quality_off__partisan_include__poll_level,3.8531678237495495,4.68977991042148,4.245615666332195,1,3.8831678237495493,2018
lb21__hl21__q_all__sample_equal__quality_on__partisan_downweight__poll_level,3.8828403357847447,4.794741284251279,4.278585124149078,3,3.9728403357847446,2018
lb21__hl21__q_all__sample_equal__quality_on__partisan_exclude__poll_level,3.8828403357847447,4.794741284251279,4.278585124149078,3,3.9728403357847446,2018
lb21__hl21__q_all__sample_equal__quality_on__partisan_include__poll_level,3.8828403357847447,4.794741284251279,4.278585124149078,2,3.942840335784745,2018
lb21__hl21__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,3.802524620881597,4.488854048406154,4.189345440923358,3,3.8925246208815967,2018
lb21__hl21__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,3.802524620881597,4.488854048406154,4.189345440923358,3,3.8925246208815967,2018
lb21__hl21__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3.802524620881597,4.488854048406154,4.189345440923358,2,3.862524620881597,2018
lb21__hl21__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,3.819867923228079,4.561948469957711,4.208615776863894,4,3.9398679232280793,2018
lb21__hl21__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,3.819867923228079,4.561948469957711,4.208615776863894,4,3.9398679232280793,2018
lb21__hl21__q_all__sample_sqrt__quality_on__partisan_include__poll_level,3.819867923228079,4.561948469957711,4.208615776863894,3,3.909867923228079,2018
lb21__hl21__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,3.9154478989047625,4.703067653145878,4.314815749837987,3,4.005447898904762,2018
lb21__hl21__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,3.9154478989047625,4.703067653145878,4.314815749837987,3,4.005447898904762,2018
lb21__hl21__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,3.9154478989047625,4.703067653145878,4.314815749837987,2,3.9754478989047626,2018
lb21__hl21__q_largest_sample__sample_equal__quality_on__partisan_downweight__poll_level,3.956011425419585,4.813133579056672,4.3598863348544565,4,4.076011425419585,2018
lb21__hl21__q_largest_sample__sample_equal__quality_on__partisan_exclude__poll_level,3.956011425419585,4.813133579056672,4.3598863348544565,4,4.076011425419585,2018
lb21__hl21__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,3.956011425419585,4.813133579056672,4.3598863348544565,3,4.046011425419585,2018
lb21__hl21__q_largest_sample__sample_sqrt__quality_off__partisan_downweight__poll_level,3.855177729475073,4.496049982029602,4.24784889491611,4,3.975177729475073,2018
lb21__hl21__q_largest_sample__sample_sqrt__quality_off__partisan_exclude__poll_level,3.855177729475073,4.496049982029602,4.24784889491611,4,3.975177729475073,2018
lb21__hl21__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3.855177729475073,4.496049982029602,4.24784889491611,3,3.945177729475073,2018
lb21__hl21__q_largest_sample__sample_sqrt__quality_on__partisan_downweight__poll_level,3.880880236442741,4.5734661214367005,4.276407235991297,5,4.030880236442741,2018
lb21__hl21__q_largest_sample__sample_sqrt__quality_on__partisan_exclude__poll_level,3.880880236442741,4.5734661214367005,4.276407235991297,5,4.030880236442741,2018
lb21__hl21__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3.880880236442741,4.5734661214367005,4.276407235991297,4,4.0008802364427405,2018
lb21__hl21__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,3.7822642384117895,4.676492167697084,4.166833904845794,3,3.8722642384117893,2018
lb21__hl21__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,3.7822642384117895,4.676492167697084,4.166833904845794,3,3.8722642384117893,2018
lb21__hl21__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,3.7822642384117895,4.676492167697084,4.166833904845794,2,3.8422642384117895,2018
lb21__hl21__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,3.799543225656239,4.7763489894458875,4.18603277956185,4,3.919543225656239,2018
lb21__hl21__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,3.799543225656239,4.7763489894458875,4.18603277956185,4,3.919543225656239,2018
lb21__hl21__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,3.799543225656239,4.7763489894458875,4.18603277956185,3,3.889543225656239,2018
lb21__hl21__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,3.7427029693836715,4.481615780357005,4.1228769392589975,4,3.8627029693836716,2018
lb21__hl21__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,3.7427029693836715,4.481615780357005,4.1228769392589975,4,3.8627029693836716,2018
lb21__hl21__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,3.7427029693836715,4.481615780357005,4.1228769392589975,3,3.8327029693836714,2018
lb21__hl21__q_prefer_lv__sample_sqrt__quality_on__partisan_downweight__poll_level,3.75005357769172,4.550360419326033,4.131044281823495,5,3.90005357769172,2018
lb21__hl21__q_prefer_lv__sample_sqrt__quality_on__partisan_exclude__poll_level,3.75005357769172,4.550360419326033,4.131044281823495,5,3.90005357769172,2018
lb21__hl21__q_prefer_lv__sample_sqrt__quality_on__partisan_include__poll_level,3.75005357769172,4.550360419326033,4.131044281823495,4,3.87005357769172,2018
lb21__hl21__q_prefer_rv__sample_equal__quality_off__partisan_downweight__poll_level,3.874365366090005,4.703067653145878,4.2691684911549235,3,3.964365366090005,2018
lb21__hl21__q_prefer_rv__sample_equal__quality_off__partisan_exclude__poll_level,3.874365366090005,4.703067653145878,4.2691684911549235,3,3.964365366090005,2018
lb21__hl21__q_prefer_rv__sample_equal__quality_off__partisan_include__poll_level,3.874365366090005,4.703067653145878,4.2691684911549235,2,3.934365366090005,2018
lb21__hl21__q_prefer_rv__sample_equal__quality_on__partisan_downweight__poll_level,3.9131106194601584,4.813133579056672,4.312218772677316,4,4.0331106194601585,2018
lb21__hl21__q_prefer_rv__sample_equal__quality_on__partisan_exclude__poll_level,3.9131106194601584,4.813133579056672,4.312218772677316,4,4.0331106194601585,2018
lb21__hl21__q_prefer_rv__sample_equal__quality_on__partisan_include__poll_level,3.9131106194601584,4.813133579056672,4.312218772677316,3,4.003110619460158,2018
lb21__hl21__q_prefer_rv__sample_sqrt__quality_off__partisan_downweight__poll_level,3.805021325866585,4.496049982029602,4.192119557573346,4,3.925021325866585,2018
lb21__hl21__q_prefer_rv__sample_sqrt__quality_off__partisan_exclude__poll_level,3.805021325866585,4.496049982029602,4.192119557573346,4,3.925021325866585,2018
lb21__hl21__q_prefer_rv__sample_sqrt__quality_off__partisan_include__poll_level,3.805021325866585,4.496049982029602,4.192119557573346,3,3.8950213258665847,2018
lb21__hl21__q_prefer_rv__sample_sqrt__quality_on__partisan_downweight__poll_level,3.830219717580725,4.5734661214367005,4.220117770589057,5,3.980219717580725,2018
lb21__hl21__q_prefer_rv__sample_sqrt__quality_on__partisan_exclude__poll_level,3.830219717580725,4.5734661214367005,4.220117770589057,5,3.980219717580725,2018
lb21__hl21__q_prefer_rv__sample_sqrt__quality_on__partisan_include__poll_level,3.830219717580725,4.5734661214367005,4.220117770589057,4,3.950219717580725,2018
lb21__hl30__q_all__sample_equal__quality_off__partisan_downweight__poll_level,3.8682032902788217,4.69590795599898,4.262321740253609,2,3.9282032902788218,2018
lb21__hl30__q_all__sample_equal__quality_off__partisan_exclude__poll_level,3.8682032902788217,4.69590795599898,4.262321740253609,2,3.9282032902788218,2018
lb21__hl30__q_all__sample_equal__quality_off__partisan_include__poll_level,3.8682032902788217,4.69590795599898,4.262321740253609,1,3.8982032902788215,2018
lb21__hl30__q_all__sample_equal__quality_on__partisan_downweight__poll_level,3.8947659291259695,4.7967771992789086,4.291835783417106,3,3.9847659291259694,2018
lb21__hl30__q_all__sample_equal__quality_on__partisan_exclude__poll_level,3.8947659291259695,4.7967771992789086,4.291835783417106,3,3.9847659291259694,2018
lb21__hl30__q_all__sample_equal__quality_on__partisan_include__poll_level,3.8947659291259695,4.7967771992789086,4.291835783417106,2,3.9547659291259696,2018
lb21__hl30__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,3.8133075949797908,4.490380482348774,4.201326523254686,3,3.9033075949797906,2018
lb21__hl30__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,3.8133075949797908,4.490380482348774,4.201326523254686,3,3.9033075949797906,2018
lb21__hl30__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3.8133075949797908,4.490380482348774,4.201326523254686,2,3.873307594979791,2018
lb21__hl30__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,3.828791248458617,4.561060081095407,4.218530582675603,4,3.948791248458617,2018
lb21__hl30__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,3.828791248458617,4.561060081095407,4.218530582675603,4,3.948791248458617,2018
lb21__hl30__q_all__sample_sqrt__quality_on__partisan_include__poll_level,3.828791248458617,4.561060081095407,4.218530582675603,3,3.918791248458617,2018
lb21__hl30__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,3.9324019491753166,4.70916249971275,4.3336535834719365,3,4.0224019491753165,2018
lb21__hl30__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,3.9324019491753166,4.70916249971275,4.3336535834719365,3,4.0224019491753165,2018
lb21__hl30__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,3.9324019491753166,4.70916249971275,4.3336535834719365,2,3.9924019491753167,2018
lb21__hl30__q_largest_sample__sample_equal__quality_on__partisan_downweight__poll_level,3.9700187188264806,4.814896844324947,4.375449994195452,4,4.090018718826481,2018
lb21__hl30__q_largest_sample__sample_equal__quality_on__partisan_exclude__poll_level,3.9700187188264806,4.814896844324947,4.375449994195452,4,4.090018718826481,2018
lb21__hl30__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,3.9700187188264806,4.814896844324947,4.375449994195452,3,4.0600187188264805,2018
lb21__hl30__q_largest_sample__sample_sqrt__quality_off__partisan_downweight__poll_level,3.866120438993642,4.4977449795228015,4.260007461047853,4,3.986120438993642,2018
lb21__hl30__q_largest_sample__sample_sqrt__quality_off__partisan_exclude__poll_level,3.866120438993642,4.4977449795228015,4.260007461047853,4,3.986120438993642,2018
