district_component_sd,shrinkage_strength,multiplier_floor,multiplier_ceiling,scored_races,baseline_brier,adjusted_brier,brier_change,baseline_log_loss,adjusted_log_loss,log_loss_change,baseline_ece,adjusted_ece,ece_change,baseline_50_interval_coverage,adjusted_50_interval_coverage,baseline_80_interval_coverage,adjusted_80_interval_coverage,baseline_95_interval_coverage,adjusted_95_interval_coverage,mean_multiplier,multiplier_sd,minimum_multiplier,maximum_multiplier,mean_adjusted_total_sd,minimum_adjusted_total_sd,maximum_adjusted_total_sd,passes_primary_metrics
4.5,1.0,0.7,1.3,1545,0.045266681874496145,0.0453135814344247,4.689955992855793e-05,0.1664436234182645,0.16353277761065269,-0.002910845807611806,0.03434462481847309,0.036673514842701045,0.002328890024227953,0.4110032362459547,0.3935275080906149,0.7003236245954693,0.6796116504854369,0.8634304207119741,0.8614886731391586,0.9136940838884301,0.2198162136228715,0.7,1.3,6.27937162563526,5.65,7.498166442537802,False
5.5,2.0,0.75,1.25,1545,0.045266681874496145,0.04533346641039152,6.678453589537697e-05,0.1664436234182645,0.16353960684646182,-0.00290401657180267,0.03434462481847309,0.03534028191049523,0.000995657092022137,0.4110032362459547,0.3877022653721683,0.7003236245954693,0.6763754045307443,0.8634304207119741,0.859546925566343,0.9330925019847852,0.17854318504927308,0.75,1.25,6.214717875101723,5.38661535660381,7.698417045081411,False
5.0,2.0,0.75,1.25,1545,0.045266681874496145,0.04530515524588212,3.847337138597473e-05,0.1664436234182645,0.163546227792292,-0.002897395625972493,0.03434462481847309,0.03666758034205081,0.0023229555235777175,0.4110032362459547,0.39288025889967637,0.7003236245954693,0.6802588996763754,0.8634304207119741,0.8614886731391586,0.9330925019847852,0.17854318504927308,0.75,1.25,6.273077929358008,5.595757321399848,7.504165509901817,False
5.0,1.0,0.75,1.25,1545,0.045266681874496145,0.0453293871215184,6.270524702225305e-05,0.1664436234182645,0.16357866171311972,-0.002864961705144775,0.03434462481847309,0.03574314325544339,0.0013985184369702947,0.4110032362459547,0.39288025889967637,0.7003236245954693,0.6789644012944984,0.8634304207119741,0.8576051779935275,0.9227138961612008,0.19285504284781332,0.75,1.25,6.239166995605863,5.595757321399848,7.504165509901817,False
5.0,16.0,0.75,1.25,1545,0.045266681874496145,0.04529517440337223,2.8492528876086776e-05,0.1664436234182645,0.16358367036345767,-0.002859953054806824,0.03434462481847309,0.03690811845233392,0.002563493633860825,0.4110032362459547,0.4084142394822006,0.7003236245954693,0.6990291262135923,0.8634304207119741,0.8686084142394822,0.9945688581834162,0.07145743258024662,0.9180406906933334,1.25,6.482915156515486,6.190312410873728,7.504165509901817,False
5.5,4.0,0.8,1.2,1545,0.045266681874496145,0.04529316333383734,2.6481459341191893e-05,0.1664436234182645,0.16358608606371275,-0.0028575373545517424,0.03434462481847309,0.03665042501724718,0.002305800198774091,0.4110032362459547,0.39611650485436894,0.7003236245954693,0.6828478964401294,0.8634304207119741,0.8634304207119741,0.9548542809817945,0.13343963283279828,0.8,1.2,6.30367223241453,5.6000000000000005,7.45385806143369,False
4.5,8.0,0.75,1.25,1545,0.045266681874496145,0.045301131169261016,3.444929476487113e-05,0.1664436234182645,0.1636408976682485,-0.0028027257500159997,0.03434462481847309,0.036937857371458487,0.0025932325529853945,0.4110032362459547,0.4084142394822006,0.7003236245954693,0.6938511326860841,0.8634304207119741,0.8686084142394822,0.982308146877085,0.10541744467616324,0.8535048322601214,1.25,6.453906138747196,6.062303819382563,7.323976037645126,False
5.5,1.0,0.75,1.25,1545,0.045266681874496145,0.04536804550620326,0.00010136363170711732,0.1664436234182645,0.16366023086672468,-0.0027833925515398095,0.03434462481847309,0.03530391263248174,0.0009592878140086483,0.4110032362459547,0.3857605177993528,0.7003236245954693,0.6718446601941748,0.8634304207119741,0.858252427184466,0.9227138961612008,0.19285504284781332,0.75,1.25,6.1716390832151315,5.38661535660381,7.698417045081411,False
5.0,8.0,0.8,1.2,1545,0.045266681874496145,0.045297115576575,3.0433702078856706e-05,0.1664436234182645,0.16366292365602275,-0.0027806997622417395,0.03434462481847309,0.03643248997561464,0.002087865157141551,0.4110032362459547,0.4058252427184466,0.7003236245954693,0.6919093851132686,0.8634304207119741,0.8673139158576052,0.9792295197187683,0.09806864927324542,0.8535048322601214,1.2,6.427918326254183,5.954977956910038,7.297259759663212,False
5.5,2.0,0.8,1.2,1545,0.045266681874496145,0.045319055582874794,5.23737083786488e-05,0.1664436234182645,0.16366666875317015,-0.002776954665094339,0.03434462481847309,0.0357008556143084,0.0013562307958353073,0.4110032362459547,0.39223300970873787,0.7003236245954693,0.6783171521035599,0.8634304207119741,0.8588996763754045,0.9401802100191257,0.15308567807470042,0.8,1.2,6.240721524106571,5.6000000000000005,7.45385806143369,False
4.0,4.0,0.7,1.3,1545,0.045266681874496145,0.045297681368086797,3.0999493590651295e-05,0.1664436234182645,0.16366952475302568,-0.002774098665238811,0.03434462481847309,0.03617492528143922,0.0018303004629661307,0.4110032362459547,0.4058252427184466,0.7003236245954693,0.6919093851132686,0.8634304207119741,0.8673139158576052,0.9617949879964975,0.154298569697398,0.7571728888819778,1.3,6.425242805017993,5.951720132745329,7.300000000000001,False
