model_id,model_description,alpha,categorical_feature_count,numeric_feature_count,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model
A_continuous_demographics,Current best continuous-demographics specification.,1000.0,3,7,393,0.55558647282512,0.8254103998163859,0.05038869966496162,0.2299781772511874,0.5315206523785676,0.7857841970706932,0.040413696241447084,0.9404115728144737,0.23639724279876687,0.17881325815291582,1.5340128465492353,1.0,1.0,2.0
A_continuous_demographics,Current best continuous-demographics specification.,3000.0,3,7,393,0.5597674409671201,0.8276329593479466,0.04526783086905839,0.21281465930070242,0.5349340133174137,0.7863932989763858,0.038925469878393626,0.9455204950112187,0.18301643513683222,0.21880257472119935,1.4115734020681054,2.0,3.0,5.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,0.01,3,14,393,0.4577747792347256,0.737531602809075,0.24182882361474145,0.5027167739126231,0.42925374494928503,0.6921147332756282,0.2555532327563047,0.9471192611880679,0.5142181976421841,-0.628843935219498,2.5260255125066573,12.0,12.0,24.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,0.03,3,14,393,0.4577725745071566,0.7375302074990363,0.24183169232666857,0.502718307963962,0.4292515375366944,0.6921132345882286,0.25555645676448746,0.9471192698084661,0.5142141150013667,-0.6287809631976814,2.526022617637646,11.0,11.0,22.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,0.1,3,14,393,0.4577648612273619,0.7375253278347539,0.2418417247145891,0.5027236725777191,0.4292438148101769,0.692107993472564,0.25556773150898815,0.9471192996839557,0.5141998337152717,-0.628560689563066,2.5260124860878714,10.0,10.0,20.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,0.3,3,14,393,0.45774285123546177,0.7375114194575925,0.24187031939850134,0.5027389610090638,0.4292217774072774,0.6920930555360921,0.255599865690455,0.9471193825141063,0.5141590980870229,-0.6279324351174801,2.525983543012325,9.0,9.0,18.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,1.0,3,14,393,0.4576661404171932,0.7374631278651372,0.24196959946376007,0.5027920189634953,0.42914496578126815,0.6920411970612453,0.25571141719080726,0.9471196432287331,0.5140173112775234,-0.6257462811594352,2.5258822911424446,8.0,8.0,16.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,3.0,3,14,393,0.45744969648731815,0.7373283915667019,0.2422465621384411,0.5029398394756521,0.4289281929718951,0.6918965761796486,0.25602246348210567,0.9471201455934346,0.5136188095758235,-0.6196072204689165,2.525593413752725,7.0,7.0,14.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,10.0,3,14,393,0.4567222089364555,0.7368915976695533,0.2431440836335288,0.5034166784286237,0.4281991098234938,0.6914285081495264,0.25702872459814796,0.9471193504153104,0.5122956665616019,-0.5992939286619281,2.5245869720918823,6.0,6.0,12.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,30.0,3,14,393,0.4548772419047183,0.7358801848036159,0.24522028718538136,0.5045033803428027,0.4263464005656509,0.6903508906293265,0.2593428176416115,0.9471008159507974,0.5090162996323451,-0.5496901159224811,2.5217470110583022,5.0,5.0,10.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,100.0,3,14,393,0.45061986001004234,0.7338111593351151,0.24945864847143173,0.5066043209762364,0.4219398561307132,0.6882013049569143,0.26394809119848883,0.9469610830810461,0.5009117284319384,-0.43632912600960894,2.5121353616788866,4.0,4.0,8.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,300.0,3,14,393,0.4438441490041324,0.7315196446005062,0.2541388476340787,0.5085716739923792,0.41498730700408387,0.6860412904746852,0.26856124068925813,0.9466053515360838,0.48760499425779813,-0.2975240224185668,2.4869184434971565,2.0,3.0,5.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,1000.0,3,14,393,0.43532976003075724,0.7298813321269553,0.2574759700036372,0.5088927456574348,0.4064658595513953,0.6849839180553626,0.2708141871840888,0.9463917389708937,0.4637431290839785,-0.16286663951013025,2.419645921009557,1.0,2.0,3.0
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,3000.0,3,14,393,0.4309382784489788,0.7321684488035041,0.2528152127764809,0.5028673090020492,0.4020268119953174,0.6877839574362663,0.2648405518555409,0.9471337277393903,0.4323948834906053,-0.05500590713067388,2.3155331528857346,3.0,1.0,4.0
C_district_dna,Continuous demographics plus regime-aware behavior.,0.01,4,20,393,0.45911902882195293,0.7441890822817889,0.22807947318873767,0.4935927057105444,0.4289567553590246,0.6973076751099178,0.24434014511330382,0.9470807035967223,0.5237161655597027,-0.6250760856428352,2.58362648300914,12.0,12.0,24.0
C_district_dna,Continuous demographics plus regime-aware behavior.,0.03,4,20,393,0.4591150596311696,0.7441850872320407,0.22808776100886885,0.49359749438644085,0.4289533212722173,0.6973040801589543,0.2443479366613328,0.9470797485219049,0.5237081173018502,-0.6250009094739656,2.583619558413641,11.0,11.0,22.0
C_district_dna,Continuous demographics plus regime-aware behavior.,0.1,4,20,393,0.45910120609473515,0.7441711782638782,0.22811661512757342,0.49361416046565487,0.4289413280108841,0.6972915587808983,0.24437507466462582,0.9470764253831738,0.5236800634599618,-0.6247381189132526,2.5835954000577264,10.0,10.0,20.0
C_district_dna,Continuous demographics plus regime-aware behavior.,0.3,4,20,393,0.459061950422667,0.744132056993494,0.2281977692108088,0.4936609864763273,0.42890728153218177,0.6972562951739022,0.24445150004592364,0.9470670958149748,0.5236008759496683,-0.6239900599083705,2.5835270331231914,9.0,9.0,18.0
C_district_dna,Continuous demographics plus regime-aware behavior.,1.0,4,20,393,0.4589281633252307,0.7440018721947853,0.2284677968973471,0.4938162571459391,0.42879056568490276,0.6971384545409706,0.2447068632183642,0.9470362553879015,0.5233342681879387,-0.6214033071561277,2.5832950663371115,8.0,8.0,16.0
C_district_dna,Continuous demographics plus regime-aware behavior.,3.0,4,20,393,0.4585762974610937,0.743677622359235,0.22914014648445247,0.4941989024814551,0.428479789034015,0.6968414267977082,0.2453503371850413,0.946961236898363,0.5226476435513716,-0.6142621493013418,2.582687232494628,7.0,7.0,14.0
C_district_dna,Continuous demographics plus regime-aware behavior.,10.0,4,20,393,0.4576769192034537,0.7428720612095844,0.23080925257893803,0.49511870253650986,0.42768578184763817,0.6960792596730037,0.2470002236505665,0.9467928280934026,0.5207731546389643,-0.5916163381083152,2.5809934428098753,6.0,6.0,12.0
C_district_dna,Continuous demographics plus regime-aware behavior.,30.0,4,20,393,0.4559239493981625,0.7415658772642518,0.23351179417917378,0.4965017877448408,0.4260683506436854,0.6947779018940347,0.24981313926108895,0.9465958773469398,0.5171172589758114,-0.5399490270016579,2.5776600338517124,5.0,5.0,10.0
C_district_dna,Continuous demographics plus regime-aware behavior.,100.0,4,20,393,0.4520798186424174,0.7393906773031794,0.23800180622456135,0.4985423681203048,0.42218133172124167,0.6925804072377311,0.25455112693940274,0.9463842307936822,0.5092255863578459,-0.43021266045378403,2.568470377549581,4.0,4.0,8.0
