shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,cycles_tested,total_scored_rows,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,expected_win_count_error,mean_absolute_adjustment,maximum_absolute_adjustment,mean_mae_change_vs_layer_2,mean_rmse_change_vs_layer_2,mean_brier_change_vs_layer_2,mean_log_loss_change_vs_layer_2,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,expected_win_count_error_rank,combined_rank
0.5,1.0,0.75,0.0,4.0,1,400,4.748665541009661,6.255202014053284,0.96,0.028687200046799918,0.09382312252382839,2.7351728304286667,0.6737686222452995,4.0,-0.14131233445835445,-0.21983237664175448,-0.003436661102048034,-0.009598749400969747,32.0,46.0,28.0,30.0,47.0,183.0
0.6,1.0,1.0,0.5,2.5,1,400,4.749734243288648,6.242871377496794,0.9575,0.028856751690202714,0.0941235422428461,2.73469766272774,0.7373848503229962,2.5,-0.14024363217936742,-0.23216301319824417,-0.003267109458645237,-0.009298329681952044,37.0,30.0,41.0,36.0,44.0,188.0
0.7,1.0,0.5,0.0,4.0,1,400,4.7577160841006885,6.278298803009665,0.9625,0.0283173387134294,0.09291748865244137,2.697097144832213,0.7154956836285651,4.0,-0.13226179136732696,-0.1967355876853727,-0.0038065224354185516,-0.010504383272356768,62.0,98.0,11.0,12.0,8.0,191.0
0.4,1.0,1.0,0.0,4.0,1,400,4.749437079879798,6.247990780439273,0.9575,0.028974680477222195,0.09450643011664372,2.7254126660212705,0.6568276832440435,3.894117647058824,-0.1405407955882172,-0.22704361025576514,-0.0031491806716257564,-0.008915441808154415,35.0,36.0,51.0,46.0,31.0,199.0
0.4,1.0,1.0,0.0,3.0,1,400,4.749701394976467,6.249099598648666,0.9575,0.028974680480737876,0.0945064504415438,2.725402207386878,0.6506906408746482,3.0,-0.14027648049154884,-0.22593479204637212,-0.0031491806681100756,-0.008915421483254346,36.0,37.0,52.0,47.0,30.0,202.0
0.7,0.75,1.0,0.5,4.0,1,400,4.73650673188118,6.236729064340405,0.96,0.028747254945239612,0.09396941038872657,2.75141003734916,0.7228462870697521,4.0,-0.15347114358683545,-0.23830532635463264,-0.0033766062036083393,-0.009452461536071571,16.0,23.0,32.0,33.0,99.0,203.0
0.5,1.0,0.75,0.0,3.0,1,400,4.756467587176295,6.262992665833277,0.9575,0.028813266686070857,0.09407802603698252,2.708218807078765,0.6545320127878148,3.0,-0.1335102882917205,-0.21204172486176098,-0.0033105944627770945,-0.009343845887815616,59.0,66.0,36.0,34.0,16.0,211.0
0.6,1.0,1.0,1.0,4.0,1,400,4.738649693057564,6.240152302148988,0.9575,0.029048199217710857,0.09462817355406856,2.7365841464888376,0.6548039677474281,3.5943529411764708,-0.15132818241045154,-0.2348820885460503,-0.003075661931137095,-0.008793698370729575,19.0,26.0,65.0,53.0,51.0,214.0
0.6,0.75,1.0,0.0,2.5,1,400,4.75481951779902,6.250405829417259,0.9575,0.02895995248300406,0.0944653730470985,2.725395826134445,0.7412224024979309,2.5,-0.13515835766899542,-0.22462856127777897,-0.0031639086658438904,-0.008956498877699642,55.0,39.0,48.0,45.0,29.0,216.0
0.5,1.0,1.0,0.5,4.0,1,400,4.742876124765664,6.243472191902861,0.9575,0.029044493332033117,0.09464301180047496,2.7326923870816415,0.6502074695335593,3.610130718954249,-0.1471017507023511,-0.23156219879217677,-0.003079367816814834,-0.008778860124323176,25.0,31.0,63.0,58.0,41.0,218.0
0.6,1.0,1.0,1.0,3.0,1,400,4.742563901202361,6.242595752407414,0.9575,0.029048199521541872,0.09462842113219888,2.7364847980528566,0.6508897596026318,3.0,-0.14741397426565417,-0.2324386382876238,-0.003075661627306079,-0.008793450792599258,24.0,29.0,66.0,54.0,50.0,223.0
0.7,0.75,1.0,0.0,2.5,1,400,4.755064637884511,6.24463749907968,0.9575,0.02885591104229253,0.09424637940661558,2.7388916020647684,0.8330850849505376,2.5,-0.13491323758350404,-0.23039689161535826,-0.003267950106555423,-0.00917549251818256,56.0,32.0,40.0,40.0,57.0,225.0
0.5,1.0,1.0,0.5,3.0,1,400,4.745684067313313,6.2455365890826595,0.9575,0.029044493512367455,0.09464315494266314,2.7326351662958643,0.6463934663798503,3.0,-0.1442938081547025,-0.22949780161237854,-0.0030793676364804963,-0.008778716982135004,28.0,35.0,64.0,59.0,40.0,226.0
0.4,1.0,1.0,0.0,2.5,1,400,4.753788056233127,6.25486642011701,0.9575,0.02904129760179952,0.09464056326227333,2.70110269056201,0.638694416327137,2.5,-0.1361898192348887,-0.22016797057802773,-0.003082563547048431,-0.008781308662524814,51.0,43.0,62.0,57.0,14.0,227.0
0.7,1.0,0.75,0.5,3.0,1,400,4.754809642688944,6.257966661335203,0.9575,0.028743205134113003,0.0938958783549544,2.7440945360114597,0.7112113344865918,3.0,-0.13516823277907175,-0.21706772935983487,-0.0033806560147349486,-0.009525993569843738,54.0,53.0,31.0,31.0,71.0,240.0
0.7,0.75,1.0,0.5,2.5,1,400,4.753189833656575,6.25347689484305,0.9575,0.029026853090101154,0.09462026121507368,2.7348862172827637,0.6947416361951977,2.5,-0.13678804181144066,-0.2215574958519877,-0.0030970080587467974,-0.008801610709724461,47.0,41.0,59.0,52.0,45.0,244.0
0.7,1.0,1.0,0.0,2.5,1,400,4.756034346938918,6.233767023694035,0.9575,0.028494954996536873,0.09331172037161944,2.756198170663083,0.9783725103838153,2.5,-0.1339435285290973,-0.24126736700100349,-0.003628906152311078,-0.010110151553178695,57.0,21.0,18.0,18.0,134.0,248.0
