model,race_id,state,rating,dem_win_probability,model_margin_dem,adjustment_column,adjustment_category,adjustment_value_dem,risk_level,recommended_range,review_note,dem_candidate,gop_candidate,abs_adjustment
Senate,NE,NE,,,-18.920333333333332,incumbency_adjustment_dem,Incumbency,-2.0,Medium,-3 to +3 generic Senate points,Review whether generic incumbency is double-counted with overperformance.,Democratic / Independent nominee TBD,Pete Ricketts,2.0
Senate,SC,SC,,,-12.761333333333331,incumbency_adjustment_dem,Incumbency,-2.0,Medium,-3 to +3 generic Senate points,Review whether generic incumbency is double-counted with overperformance.,Annie Andrews / Brandon Brown / Kyle Freeman primary,Lindsey Graham / Republican primary,2.0
Senate,SD,SD,,,-26.976666666666667,incumbency_adjustment_dem,Incumbency,-2.0,Medium,-3 to +3 generic Senate points,Review whether generic incumbency is double-counted with overperformance.,Julian Beaudion,Mike Rounds,2.0
Senate,TN,TN,,,-25.60033333333333,incumbency_adjustment_dem,Incumbency,-2.0,Medium,-3 to +3 generic Senate points,Review whether generic incumbency is double-counted with overperformance.,Democratic nominee TBD,Bill Hagerty,2.0
Senate,WV,WV,,,-39.973,incumbency_adjustment_dem,Incumbency,-2.0,Medium,-3 to +3 generic Senate points,Review whether generic incumbency is double-counted with overperformance.,Democratic nominee TBD,Shelley Moore Capito,2.0
Senate,ME,ME,,,3.031794990958212,overperformance_adjustment_dem,Overperformance,-2.0,Medium,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,Graham Platner,Susan Collins,2.0
Senate,AK,AK,,,-6.814120666666667,overperformance_adjustment_dem,Overperformance,2.0,Medium,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,Mary Peltola,Dan Sullivan,2.0
House,OH-9,OH,Toss-Up,,,candidate_quality_adjustment_dem,Candidate quality,1.87515,Medium,"-3 to +3, usually smaller",Candidate quality should be shrunk/capped and reviewed in competitive races.,"Kaptur, Marcy","Merrin, Derek",1.87515
House,OH-9,OH,Toss-Up,,,candidate_war_adjustment_dem,Candidate WAR,1.87515,Medium,-3 to +3 cap,Review large or one-sided WAR matches.,"Kaptur, Marcy","Merrin, Derek",1.87515
House,OR-4,OR,Safe D,,,candidate_quality_adjustment_dem,Candidate quality,-1.8470454545454549,Medium,"-3 to +3, usually smaller",Candidate quality should be shrunk/capped and reviewed in competitive races.,"Hoyle, Val","DeSpain, Monique",1.8470454545454549
House,OR-4,OR,Safe D,,,candidate_war_adjustment_dem,Candidate WAR,-1.8470454545454549,Medium,-3 to +3 cap,Review large or one-sided WAR matches.,"Hoyle, Val","DeSpain, Monique",1.8470454545454549
House,AL-3,AL,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"McGinnis, Lee","Rogers, Mike",1.5
House,AL-4,AL,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Pusczek, Amanda","Aderholt, Robert",1.5
House,AL-6,AL,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,,"Strong, Dale",1.5
House,AR-1,AR,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Yarbrough Green, Terri","Crawford, Rick",1.5
House,AR-2,AR,Likely R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Jones, Chris","Hill, French",1.5
House,AR-3,AR,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Ryerse, Robb","Womack, Steve",1.5
House,AR-4,AR,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Russell, James","Westerman, Bruce",1.5
House,CA-3,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Bera, Ami","Tucker, Robb",1.5
House,CA-4,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Thompson, Mike",,1.5
House,CA-5,CA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Mesuda, Michael","McClintock, Tom",1.5
House,CA-7,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Matsui, Doris",,1.5
House,CA-8,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Garamendi, John",,1.5
House,CA-9,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Harder, Josh","McBride, John",1.5
House,CA-10,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"DeSaulnier, Mark",,1.5
House,CA-12,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Simon, Lateefah",,1.5
House,CA-13,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Gray, Adam","Lincoln, Kevin",1.5
House,CA-15,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Mullin, Kevin","Hoelter, Charles",1.5
House,CA-16,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Liccardo, Sam",,1.5
House,CA-17,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Khanna, Ro","Tandon, Ritesh",1.5
House,CA-18,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Lofgren, Zoe","Lewis, Shane",1.5
House,CA-19,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Panetta, Jimmy","Verbica, Peter Coe",1.5
House,CA-20,CA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Van Scotter, Sandra","Fong, Vince",1.5
House,CA-21,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Costa, Jim","Kirkland, Kyle",1.5
House,CA-22,CA,Likely D,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,,"Valadao, David",1.5
House,CA-23,CA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Hodge, Tessa","Obernolte, Jay",1.5
House,CA-24,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Carbajal, Salud","Smith, Bob",1.5
House,CA-25,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Ruiz, Raul","Males, John",1.5
House,CA-27,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Whitesides, George","Gibbs, Jason",1.5
House,CA-28,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Chu, Judy","Verlato, April",1.5
House,CA-29,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Rivas, Luz",,1.5
House,CA-30,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Friedman, Laura",,1.5
House,CA-31,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Cisneros, Gil","Ching, Eric",1.5
House,CA-32,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Sherman, Brad","Thompson, Larry",1.5
House,CA-33,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Aguilar, Pete","Vargas, Stephanie",1.5
House,CA-35,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Torres, Norma","Cargile, Mark",1.5
House,CA-36,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Lieu, Ted",,1.5
House,CA-37,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Kamlager-Dove, Sydney",,1.5
House,CA-39,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Takano, Mark","Manos, Steve",1.5
House,CA-40,CA,Lean R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,,"Calvert, Ken",1.5
House,CA-41,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Sanchez, Linda","Clemmons, Mitch",1.5
House,CA-42,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Garcia, Robert","Burley, Brian",1.5
House,CA-43,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Waters, Maxine",,1.5
House,CA-44,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Barragan, Nanette","Angel, Genevieve",1.5
House,CA-45,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Tran, Derek","Vo, Chuong",1.5
House,CA-46,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Correa, Lou","Pan, David",1.5
House,CA-47,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Min, David","Le Roux, Jenny",1.5
House,CA-49,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Levin, Mike","Kurdian, Armen",1.5
House,CA-50,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Peters, Scott","Cohen, Steve",1.5
House,CA-51,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Jacobs, Sara","Cabrera, Ricardo",1.5
House,CA-52,CA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Vargas, Juan","Bell, Jeff",1.5
House,GA-2,GA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Bishop, Sanford","Day, Matt",1.5
House,GA-3,GA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Keller, Maura","Jack, Brian",1.5
House,GA-4,GA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Johnson, Hank","Duffie, Jim",1.5
House,GA-5,GA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Williams, Nikema","Salveson, John",1.5
House,GA-6,GA,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"McBath, Lucy",,1.5
House,GA-7,GA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,,"McCormick, Rich",1.5
House,GA-8,GA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Esti, Kelly","Scott, Austin",1.5
House,GA-9,GA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Gegen, Caitlyn","Clyde, Andrew",1.5
House,GA-12,GA,Likely R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,,"Allen, Rick",1.5
House,GA-14,GA,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Harris, Shawn","Fuller, Clay",1.5
House,ID-1,ID,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Peterson, Kaylee","Fulcher, Russ",1.5
House,ID-2,ID,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Gilbreath, Ellie","Simpson, Mike",1.5
House,IL-1,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Jackson, Jonathan","Maxwell, Christian",1.5
House,IL-3,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Ramirez, Delia","Oakley, Angel",1.5
House,IL-5,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Quigley, Mike","Hanson, Tommy",1.5
House,IL-6,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Casten, Sean","Conforti, Niki",1.5
House,IL-10,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Schneider, Brad","Lambrecht, Carl",1.5
House,IL-11,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Foster, Bill","Walter, Jeff",1.5
House,IL-12,IL,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Fortier, Julie","Bost, Mike",1.5
House,IL-13,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Budzinski, Nikki","Wilson, Jeff",1.5
House,IL-14,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Underwood, Lauren","Marter, James",1.5
House,IL-15,IL,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Todd, Jennifer","Miller, Mary",1.5
House,IL-16,IL,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Nolley, Paul","LaHood, Darin",1.5
House,IL-17,IL,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Sorensen, Eric","Vancil, Dillan",1.5
House,IN-1,IN,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Mrvan, Frank","Regnitz, Barb",1.5
House,IN-2,IN,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Decio, Jamie","Yakym, Rudy",1.5
House,IN-3,IN,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Thompson, Kelly","Stutzman, Marlin",1.5
House,IN-4,IN,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Cox, Drew","Baird, Jim",1.5
House,IN-5,IN,Likely R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Ford, J.D.","Spartz, Victoria",1.5
House,IN-6,IN,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Wirth, Cynthia","Shreve, Jefferson",1.5
House,IN-7,IN,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Carson, Andre","McAuley, Patrick",1.5
House,IN-8,IN,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Allen, Mary","Messmer, Mark",1.5
House,IN-9,IN,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Meyer, Brad","Houchin, Erin",1.5
House,IA-1,IA,Tilt R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Bohannon, Christina","Miller-Meeks, Mariannette",1.5
House,IA-3,IA,Lean D,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Trone Garriott, Sarah","Nunn, Zach",1.5
House,KY-1,KY,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Williams, John","Comer, James",1.5
House,KY-2,KY,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Wingfield, Megan","Guthrie, Brett",1.5
House,KY-3,KY,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"McGarvey, Morgan","Rodriguez, Maria",1.5
House,KY-5,KY,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Pillersdorf, Ned","Rogers, Hal",1.5
House,MS-1,MS,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Johnson, Cliff","Kelly, Trent",1.5
House,MS-2,MS,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Thompson, Bennie","Eller, Ron",1.5
House,MS-3,MS,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Chiaradio, Michael","Guest, Michael",1.5
House,MS-4,MS,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Hulum, Jeffrey","Ezell, Mike",1.5
House,MT-2,MT,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Miller, Brian","Downing, Troy",1.5
House,NE-1,NE,Likely R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Backemeyer, Chris","Flood, Mike",1.5
House,NE-3,NE,Safe R,,,incumbency_adjustment_dem,Incumbency,-1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Stille, Becky Kelly","Smith, Adrian",1.5
House,NJ-1,NJ,Safe D,,,incumbency_adjustment_dem,Incumbency,1.5,Low,-2 to +2 House points,House incumbency should generally stay around +/-1.5 unless backtests justify more.,"Norcross, Donald","Galdo, Damon",1.5
