district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,incumbent_party,inferred_incumbent_party,incumbency_adjustment_dem,generic_house_incumbency_points,district_partisan_baseline_dem,region,district_type,tested_incumbency_points
MD-1,Likely R,R+11.7,-11.708733333333331,0.1243947313877995,R,R,0.0,1.25,-16.08,Mid-Atlantic,Rural,1.25
WI-6,Likely R,R+11.5,-11.476499999999998,0.1286722190620983,R,R,0.0,1.25,-16.159999999999997,Midwest,Rural,1.25
WI-8,Likely R,R+11.3,-11.3065,0.1318823892709038,R,R,0.0,1.25,-15.989999999999998,Midwest,Rural,1.25
IN-5,Likely R,R+11.2,-11.1831,0.1342549338977285,R,R,-1.25,1.25,-16.49,Midwest,Suburban,1.25
AR-2,Likely R,R+11.1,-11.104266666666668,0.1357894260374477,R,R,-1.25,1.25,-14.85,Middle South,Rural,1.25
TX-9,Likely R,R+10.8,-10.819800000000004,0.1414498326546338,D,D,0.0,1.25,-16.44,Urban South,Mixed,1.25
GA-1,Likely R,R+10.6,-10.638733333333333,0.1451544796786857,R,R,0.0,1.25,-15.009999999999998,Southeast,Rural,1.25
AZ-8,Lean R,R+10.2,-10.182033333333337,0.154856761519735,R,R,0.0,1.25,-15.49,Southwest,Mixed,1.25
TX-32,Lean R,R+9.8,-9.799799999999998,0.1633787956677489,D,D,0.0,1.25,-15.419999999999996,Urban South,Mixed,1.25
TX-15,Lean R,R+9.4,-9.43426666666667,0.171877684859145,R,R,-1.25,1.25,-13.18,Southwest,Rural,1.25
NC-7,Lean R,R+9.2,-9.214266666666669,0.1771596182054115,R,R,-1.25,1.25,-12.96,Mid-Atlantic,Rural,1.25
GA-12,Lean R,R+9.2,-9.184266666666666,0.1778896655677397,R,R,-1.25,1.25,-12.93,Southeast,Rural,1.25
KY-6,Lean R,R+9.1,-9.116500000000002,0.1795474342674193,R,R,0.0,1.25,-13.8,Appalachia,Rural,1.25
NE-1,Lean R,R+9.0,-9.0365,0.1815199684682578,R,R,-1.25,1.25,-12.47,Great Plains,Rural,1.25
TX-24,Lean R,R+9.0,-8.988633333333333,0.1827082434811817,R,R,-1.25,1.25,-14.919999999999998,Urban South,Suburban,1.25
FL-18,Lean R,R+8.9,-8.927566666666666,0.1842329603722546,R,R,0.0,1.25,-14.859999999999998,Southeast,Mixed,1.25
FL-8,Lean R,R+8.5,-8.547566666666665,0.1939423299283765,R,R,0.0,1.25,-14.479999999999997,Southeast,Mixed,1.25
FL-9,Lean R,R+8.5,-8.497566666666668,0.1952483926460073,D,D,0.0,1.25,-14.43,Southeast,Mixed,1.25
NC-3,Lean R,R+8.3,-8.264266666666664,0.2014304703296077,R,R,-1.25,1.25,-12.009999999999998,Mid-Atlantic,Rural,1.25
NV-2,Lean R,R+8.1,-8.104266666666664,0.2057541381531835,R,R,0.0,1.25,-13.099999999999998,Mountain West,Rural,1.25
MN-8,Lean R,R+8.1,-8.062033333333336,0.2069068115769432,R,R,0.0,1.25,-13.37,Midwest,Rural,1.25
FL-21,Lean R,R+8.0,-8.047566666666668,0.2073027457961247,R,R,0.0,1.25,-13.98,Southeast,Mixed,1.25
SC-2,Lean R,R+8.0,-7.984266666666666,0.2090417634247547,R,R,0.0,1.25,-12.98,Southeast,Rural,1.25
FL-11,Lean R,R+7.9,-7.937566666666669,0.2103315999630971,R,R,0.0,1.25,-13.87,Southeast,Mixed,1.25
TX-23,Lean R,R+7.5,-7.454266666666665,0.2240223703007637,R,R,0.0,1.25,-12.449999999999998,Southwest,Rural,1.25
FL-26,Lean R,R+7.2,-7.20756666666667,0.231250947821254,R,R,0.0,1.25,-13.140000000000002,Southeast,Mixed,1.25
AZ-2,Lean R,R+6.9,-6.867566666666669,0.241477814434809,R,R,0.0,1.25,-12.8,Southwest,Mixed,1.25
NJ-2,Lean R,R+6.6,-6.574266666666666,0.2505443652351689,R,R,-1.25,1.25,-10.32,Mid-Atlantic,Rural,1.25
FL-12,Lean R,R+6.5,-6.517566666666665,0.2523229891736419,R,R,0.0,1.25,-12.449999999999998,Southeast,Mixed,1.25
NC-11,Lean R,R+6.5,-6.516500000000001,0.2523565295123053,R,R,-1.25,1.25,-9.95,Appalachia,Rural,1.25
AK-AL,Lean R,R+6.2,-6.237566666666668,0.2612282537134955,R,R,0.0,1.25,-12.17,Northwest,Mixed,1.25
FL-13,Lean R,R+6.1,-6.067566666666666,0.2667331218237738,R,R,0.0,1.25,-11.999999999999998,Southeast,Mixed,1.25
VA-5,Lean R,R+6.0,-6.0042666666666635,0.268801631414234,R,R,0.0,1.25,-10.999999999999996,Mid-Atlantic,Rural,1.25
