district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,district_partisan_baseline_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,region,district_type,tested_multiplier
FL-19,Safe R,R+23.9,-23.892000000000003,0.0183069125099187,-28.300000000000004,0.0,0.0,Southeast,Mixed,0.8
FL-6,Safe R,R+23.7,-23.671999999999997,0.0189776488433435,-28.08,0.0,0.0,Southeast,Mixed,0.8
AR-3,Safe R,R+22.3,-22.335866666666668,0.0235995663809467,-24.45,-2.0,0.0,Middle South,Rural,0.8
IN-2,Safe R,R+22.3,-22.264266666666664,0.0238761106126919,-25.26,-2.0,0.0,Midwest,Exurban,0.8
MO-6,Safe R,R+22.2,-22.239733333333337,0.0239715921808598,-26.06,0.0,0.0,Midwest,Rural,0.8
MI-5,Safe R,R+21.5,-21.49813333333333,0.0270400920278063,-26.2,0.0,0.0,Midwest,Mixed,0.8
OH-5,Safe R,R+20.5,-20.542,0.0315639542025256,-22.95,-2.0,0.0,Midwest,Rural,0.8
TX-36,Safe R,R+20.5,-20.54199999999999,0.0315639542025256,-22.949999999999996,-2.0,0.0,Urban South,Rural,0.8
TX-4,Safe R,R+20.5,-20.47586666666667,0.0319026230534705,-22.59,-2.0,0.0,Middle South,Rural,0.8
TX-14,Safe R,R+20.4,-20.394266666666663,0.0323253415177513,-23.389999999999997,-2.0,0.0,Middle South,Mixed,0.8
TX-8,Safe R,R+20.2,-20.215866666666663,0.0332684575324412,-24.33,0.0,0.0,Middle South,Rural,0.8
SC-7,Safe R,R+19.9,-19.94586666666666,0.0347465269157556,-24.059999999999995,0.0,0.0,Southeast,Rural,0.8
IL-16,Safe R,R+19.9,-19.932,0.0348241231479007,-22.34,-2.0,0.0,Midwest,Rural,0.8
TX-12,Safe R,R+19.9,-19.855866666666664,0.0352531410633972,-21.97,-2.0,0.0,Middle South,Rural,0.8
PA-16,Safe R,R+19.8,-19.762,0.0357891000751172,-22.17,-2.0,0.0,Midwest,Rural,0.8
TX-6,Safe R,R+19.7,-19.695866666666667,0.036171409838446,-21.81,-2.0,0.0,Middle South,Rural,0.8
TN-6,Safe R,R+19.6,-19.584266666666664,0.036825486362668,-24.58,0.0,0.0,Middle South,Mixed,0.8
TX-3,Safe R,R+19.4,-19.415866666666663,0.0378340380746046,-21.53,-2.0,0.0,Middle South,Rural,0.8
VA-6,Safe R,R+19.3,-19.315866666666665,0.0384454438312124,-23.429999999999996,0.0,0.0,Mid-Atlantic,Rural,0.8
GA-11,Safe R,R+19.0,-19.04586666666667,0.040143968113461,-23.16,0.0,0.0,Southeast,Rural,0.8
KS-4,Safe R,R+19.0,-18.999733333333335,0.0404412894846253,-22.82,0.0,0.0,Great Plains,Rural,0.8
NY-24,Safe R,R+18.4,-18.409733333333335,0.0444344247694304,-22.23,0.0,0.0,Northeast,Rural,0.8
PA-11,Safe R,R+18.4,-18.374266666666664,0.0446860875562211,-21.369999999999997,-2.0,0.0,Mid-Atlantic,Mixed,0.8
TX-25,Safe R,R+18.3,-18.2504,0.0455757138501267,-21.54,-2.0,0.0,Urban South,Mixed,0.8
SC-4,Safe R,R+18.0,-17.985866666666666,0.0475324028274907,-22.1,0.0,0.0,Southeast,Rural,0.8
TX-26,Safe R,R+18.0,-17.9688,0.0476613454345559,-22.14,-2.0,0.0,Urban South,Suburban,0.8
