race_id,source_incumbent,source_incumbent_party,biden_vote_share,trump_vote_share,district_pres_margin_dem,presidential_result_year,boundary_cycle,boundary_compatibility,include_in_2022_backtest,source_organization,source_local_path,source_description
CA-45,Michelle Steel,(R),52.1,46.0,6.2,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CA-46,Lou Correa,(D),64.1,33.7,30.4,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CA-47,Katie Porter,(D),54.5,43.4,11.1,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CA-48,Darrell Issa,(R),42.7,55.0,-12.3,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CA-49,Mike Levin,(D),54.6,43.2,11.4,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CA-50,Scott Peters,(D),65.4,32.2,33.1,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CA-51,Sara Jacobs,(D),62.5,35.2,27.3,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CA-52,Juan Vargas,(D),67.4,30.5,36.9,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CO-1,Diana DeGette,(D),79.5,18.2,61.3,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
CO-2,Joe Neguse,(D),68.7,28.8,39.9,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
