retention_level,race_id,district_dna_elasticity_original,district_elasticity_used,elasticity_source,selected_regime_reliability,selected_regime_scorable_elections,layer_2_environment_component,layer_3_environment_component,layer_2_margin_dem,layer_3_margin_dem,layer_3_minus_layer_2_margin,actual_dem_margin,scored
0.6,IL-7,0.5801624983911584,0.7461723516385991,district_dna_behavior_model,high,5,-2.136666666666667,-1.5943215913344737,72.66333333333333,73.20567840866552,0.542345075332193,99.9427706174812,False
0.6,IL-8,0.6944178961512217,0.8145491760049716,district_dna_behavior_model,high,4,-2.136666666666667,-1.740420072730623,15.263333333333334,15.659579927269377,0.3962465939360431,13.775547137031586,True
0.6,IL-9,0.933562374733704,0.9576666158003436,district_dna_behavior_model,high,5,-2.136666666666667,-2.046214335760068,41.46333333333333,41.55378566423993,0.09045233090660076,43.388017403105415,True
0.6,IL-10,1.7760281184628175,1.4618452657633156,district_dna_behavior_model,high,5,-2.136666666666667,-3.1234760511809516,25.763333333333332,24.776523948819047,-0.9868093845142845,26.00169306051659,True
0.6,IL-11,1.404928608805536,1.239758550459329,district_dna_behavior_model,high,5,-2.136666666666667,-2.6489507694814334,15.163333333333334,14.651049230518566,-0.5122841028147676,12.906021397133678,True
0.6,IL-12,1.1376422453400972,1.0797994317787147,district_dna_behavior_model,high,5,-2.136666666666667,-2.3071714525671876,-46.93666666666667,-47.10717145256719,-0.1705047859005191,-50.0008586019899,True
0.6,IL-13,1.7760281184628175,1.4618452657633156,district_dna_behavior_model,high,5,-2.136666666666667,-3.1234760511809516,9.063333333333333,8.076523948819048,-0.9868093845142845,13.232980634857256,True
0.6,IL-14,1.7760281184628175,1.4618452657633156,district_dna_behavior_model,high,5,-2.136666666666667,-3.1234760511809516,11.363333333333333,10.376523948819049,-0.9868093845142845,8.322062552831783,True
0.6,IL-15,1.3164266343498483,1.1867940158984158,district_dna_behavior_model,high,4,-2.136666666666667,-2.5357832139696157,-42.83666666666667,-43.23578321396962,-0.39911654730294543,-42.28781942732705,True
0.6,IL-16,1.7760281184628175,1.4618452657633156,district_dna_behavior_model,high,4,-2.136666666666667,-3.1234760511809516,-25.636666666666667,-26.62347605118095,-0.9868093845142845,-32.65558188396555,True
0.6,IL-17,1.5438356760633851,1.3228883134932274,district_dna_behavior_model,high,5,-2.136666666666667,-2.8265713631638634,5.663333333333332,4.973428636836136,-0.6899046964971962,3.970007249391952,True
0.6,IN-1,1.2288425630709832,1.1343788059693132,district_dna_behavior_model,high,4,-2.136666666666667,-2.4237893820877665,8.263333333333334,7.976210617912233,-0.28712271542110024,5.681802192235715,True
0.6,IN-2,1.4860371723243964,1.2882984541405922,district_dna_behavior_model,high,5,-2.136666666666667,-2.7526643636803994,-24.736666666666668,-25.3526643636804,-0.6159976970137322,-32.16418564148542,True
0.6,IN-3,1.3144351558608622,1.1856022037167562,district_dna_behavior_model,high,5,-2.136666666666667,-2.533236708608136,-34.03666666666667,-34.433236708608135,-0.39657004194146595,-35.229381468874976,True
0.6,IN-4,0.8621107215247236,0.9149059477011675,district_dna_behavior_model,high,5,-2.136666666666667,-1.9548490415881616,-33.236666666666665,-33.05484904158816,0.18181762507850152,-36.43435947758703,True
0.6,IN-5,1.7760281184628175,1.4618452657633156,district_dna_behavior_model,high,5,-2.136666666666667,-3.1234760511809516,-20.03666666666667,-21.023476051180953,-0.9868093845142845,-22.14125303634447,True
0.6,IN-6,1.3816340261599191,1.2258177685140224,district_dna_behavior_model,high,5,-2.136666666666667,-2.6191639653916283,-36.03666666666667,-36.51916396539163,-0.48249729872495806,-35.05921746140014,True
0.6,IN-7,0.9748844219946088,0.9823960414853458,district_dna_behavior_model,high,5,-2.136666666666667,-2.099052875307023,42.26333333333333,42.300947124692975,0.0376137913596466,36.350039958899416,True
0.6,IN-8,0.678261849091652,0.8048804932652124,district_dna_behavior_model,high,5,-2.136666666666667,-1.7197613206100042,-36.93666666666667,-36.51976132061,0.41690534605666585,-34.20014812071839,True
0.6,IN-9,1.4248941011678864,1.251707018465326,district_dna_behavior_model,high,5,-2.136666666666667,-2.674480662787581,-29.436666666666667,-29.97448066278758,-0.5378139961209136,-29.94815248850299,True
0.6,KS-1,0.8953346838846197,0.9347890261690074,district_dna_behavior_model,medium,3,-2.136666666666667,-1.997332552581113,-33.736666666666665,-33.597332552581115,0.13933411408554974,-35.332284785571986,True
0.6,KS-2,1.5407190427669,1.3210231457050439,district_dna_behavior_model,high,5,-2.136666666666667,-2.822586121323111,-20.436666666666667,-21.12258612132311,-0.6859194546564424,-15.278670540542857,True
0.6,KS-3,1.2940935223373646,1.1734286317890454,district_dna_behavior_model,high,4,-2.136666666666667,-2.507225843255928,4.363333333333333,3.992774156744072,-0.3705591765892611,12.176810689890935,True
0.6,KS-4,1.0377510573476283,1.0200189544357285,district_dna_behavior_model,high,5,-2.136666666666667,-2.1794404993110073,-25.836666666666666,-25.879440499311006,-0.04277383264433965,-26.684445221649035,True
0.6,KY-1,0.8141853004082334,0.8862246935406561,district_dna_behavior_model,high,5,-2.136666666666667,-1.8935667618652023,-46.83666666666667,-46.593566761865205,0.24309990480146837,-49.80761252430265,True
0.6,KY-2,0.6137021646488668,0.7662443649873782,district_dna_behavior_model,high,4,-2.136666666666667,-1.6372087931896986,-40.83666666666667,-40.3372087931897,0.49945787347697035,-43.71564891931079,True
0.6,KY-3,0.2537183026375453,0.5508098753261783,district_dna_behavior_model,high,5,-2.136666666666667,-1.176897100280268,20.163333333333334,21.123102899719733,0.9597695663863988,23.99311213581574,True
0.6,KY-4,1.084829511795816,1.0481933363411162,district_dna_behavior_model,high,5,-2.136666666666667,-2.2396397619821857,-36.63666666666667,-36.73963976198218,-0.10297309531551235,-33.98840968990292,True
0.6,KY-5,0.4969697398753587,0.6963851490284022,district_dna_behavior_model,high,4,-2.136666666666667,-1.4879429350906863,-63.53666666666667,-62.887942935090685,0.6487237315759842,-64.34688121329819,True
0.6,KY-6,1.503644474017437,1.2988356488730375,district_dna_behavior_model,high,5,-2.136666666666667,-2.7751788364253906,-15.136666666666667,-15.77517883642539,-0.638512169758723,-29.072839096014068,True
0.6,LA-1,1.3330215187008327,1.1967253234330533,district_dna_behavior_model,high,5,-2.136666666666667,-2.5570031077352913,-43.13666666666667,-43.55700310773529,-0.42033644106862056,-47.61559390929504,True
0.6,LA-2,0.4013262450789958,0.6391467290177295,district_dna_behavior_model,low,2,-2.136666666666667,-1.3656435110012157,50.36333333333333,51.13435648899878,0.7710231556654534,54.22805503128551,True
0.6,LA-3,1.107811397465752,1.0619469829159702,district_dna_behavior_model,high,4,-2.136666666666667,-2.26902672016379,-41.73666666666667,-41.86902672016379,-0.13236005349711633,-53.78798674694503,True
0.6,LA-4,0.2537183026375453,0.5508098753261783,district_dna_behavior_model,medium,3,-2.136666666666667,-1.176897100280268,-28.236666666666668,-27.27689710028027,0.9597695663863988,-100.0,False
0.6,LA-5,1.686343650921962,1.4081730611615633,district_dna_behavior_model,medium,3,-2.136666666666667,-3.0087964406818744,-31.836666666666666,-32.70879644068187,-0.8721297740152067,-51.858395995580466,True
0.6,LA-6,0.8962560888592502,0.9353404464726058,district_dna_behavior_model,high,4,-2.136666666666667,-1.9985107539631348,-34.53666666666667,-34.39851075396313,0.13815591270353877,-80.39910481163744,False
0.6,MA-1,1.0253420429236704,1.0125927057292246,characteristics_model_sparse_history_fallback,no_scorable_history,0,-2.136666666666667,-2.1635730812414438,21.563333333333333,21.536426918758554,-0.02690641457477838,22.472511008871574,True
0.6,MA-2,0.8899150756935039,0.9315456293170119,district_dna_behavior_model,low,2,-2.136666666666667,-1.9904024946406826,30.663333333333334,30.809597505359317,0.14626417202598319,31.66447079490558,True
0.6,MA-3,1.007626316105108,1.0019906233336136,district_dna_behavior_model,high,4,-2.136666666666667,-2.140919965189488,27.263333333333332,27.25908003481051,-0.004253298522822746,26.218728743103316,True
0.6,MA-4,1.7760281184628175,1.4618452657633156,district_dna_behavior_model,medium,3,-2.136666666666667,-3.1234760511809516,28.363333333333333,27.37652394881905,-0.9868093845142845,69.23987117972075,False
0.6,MA-5,0.9484775057365126,0.9665926649233983,district_dna_behavior_model,medium,3,-2.136666666666667,-2.0652863273863282,50.96333333333333,51.03471367261368,0.0713803392803456,46.51170137706622,True
0.6,MA-6,1.1846056528454618,1.1079049631548712,district_dna_behavior_model,high,4,-2.136666666666667,-2.367223604607575,27.463333333333335,27.232776395392428,-0.23055693794090715,27.040355135094973,True
0.6,MA-7,0.4347898062799075,0.6591731968412732,characteristics_model_sparse_history_fallback,no_scorable_history,0,-2.136666666666667,-1.408433397250854,72.26333333333334,72.99156660274915,0.72823326941581,65.68824737923406,True
0.6,MA-8,0.8902875128809294,0.9317685165735561,district_dna_behavior_model,low,2,-2.136666666666667,-1.9908787304121653,35.36333333333333,35.50912126958784,0.14578793625450714,37.90142067516331,True
0.6,MA-9,1.051282876733855,1.0281171524698602,district_dna_behavior_model,high,5,-2.136666666666667,-2.196743649110602,18.063333333333333,18.003256350889398,-0.06007698244393467,17.951555678848315,True
0.6,MD-1,1.2997069324238522,1.1767880105414281,district_dna_behavior_model,high,5,-2.136666666666667,-2.514403715856852,-18.636666666666667,-19.01440371585685,-0.37773704919018414,-11.304276685824147,True
0.6,MD-2,1.0014835986113393,0.9983144774058239,district_dna_behavior_model,high,5,-2.136666666666667,-2.1330652667237775,20.663333333333334,20.66693473327622,0.00360139994288744,18.59786763226715,True
0.6,MD-3,1.6679840940047572,1.3971856748027287,district_dna_behavior_model,high,5,-2.136666666666667,-2.9853200584951645,25.363333333333333,24.514679941504834,-0.8486533918284991,20.47756874095514,True
0.6,MD-4,1.1182092737942215,1.068169654032026,district_dna_behavior_model,high,5,-2.136666666666667,-2.282322494115096,78.86333333333333,78.71767750588491,-0.14565582744842231,80.4498496959546,True
0.6,MD-5,1.2728850142589323,1.1607362736126983,district_dna_behavior_model,high,5,-2.136666666666667,-2.4801065046191324,36.36333333333333,36.01989349538087,-0.34343983795245947,31.950743897154418,True
0.6,MD-6,1.5378057924682722,1.3192796936851852,district_dna_behavior_model,high,5,-2.136666666666667,-2.818860945507346,9.663333333333334,8.981139054492655,-0.6821942788406794,9.564817198262077,True
0.6,MD-7,1.094105189714648,1.0537444211245846,district_dna_behavior_model,high,5,-2.136666666666667,-2.2515005798028627,63.36333333333333,63.248499420197135,-0.11483391313619506,64.34110205031358,True
0.6,MD-8,1.346293774890386,1.204668184323743,district_dna_behavior_model,high,5,-2.136666666666667,-2.5739743538383983,62.46333333333333,62.0260256461616,-0.43730768717173163,62.026221963165106,True
0.6,ME-1,0.6512035084429019,0.7886872678906842,district_dna_behavior_model,high,5,-2.136666666666667,-1.685161795726429,22.663333333333334,23.11483820427357,0.45150487094023717,25.266796597959445,True
0.6,ME-2,1.6448721169402465,1.383354174256747,district_dna_behavior_model,high,5,-2.136666666666667,-2.9557667523285835,-6.236666666666666,-7.055766752328584,-0.8191000856619173,2.894967870947289,True
0.6,MI-1,0.4209339595121433,0.6508810826877138,district_dna_behavior_model,high,5,-2.136666666666667,-1.390715913342749,-23.936666666666667,-23.19071591334275,0.7459507533239176,-22.565935578835767,True
0.6,MI-2,1.2151463060656889,1.1261821992611176,district_dna_behavior_model,high,5,-2.136666666666667,-2.4062759657545887,-32.336666666666666,-32.60627596575459,-0.2696092990879251,-29.385516654345388,True
0.6,MI-3,1.4250975641143997,1.2518287820794007,district_dna_behavior_model,high,5,-2.136666666666667,-2.6747408310429868,6.363333333333333,5.825259168957013,-0.5380741643763205,12.909011528431686,True
0.6,MI-4,1.266897973676928,1.1571532934614257,district_dna_behavior_model,high,5,-2.136666666666667,-2.47245087036258,-8.036666666666667,-8.37245087036258,-0.3357842036959138,-11.894853819144783,True
0.6,MI-5,0.706166413285021,0.8215801461680629,district_dna_behavior_model,high,5,-2.136666666666667,-1.755442912312428,-28.336666666666666,-27.955442912312428,0.38122375435423805,-27.445801209110567,True
0.6,MI-6,1.1985194181830086,1.1162317390220233,district_dna_behavior_model,high,5,-2.136666666666667,-2.3850151490437237,26.563333333333333,26.314984850956275,-0.24834848237705742,31.77525774881652,True
0.6,MI-7,0.7361088415886156,0.8394993710043114,district_dna_behavior_model,high,5,-2.136666666666667,-1.7937303227125456,0.36333333333333284,0.7062696772874544,0.34293634395412154,5.415767839702931,True
0.6,MI-8,1.3782993437361004,1.2238221079248404,district_dna_behavior_model,high,5,-2.136666666666667,-2.6148999039327427,1.8633333333333328,1.3851000960672573,-0.4782332372660756,10.26474783297452,True
0.6,MI-9,0.618314625726478,0.7690047198343577,district_dna_behavior_model,high,5,-2.136666666666667,-1.6431067513794113,-33.63666666666667,-33.143106751379406,0.49355991528726406,-30.729750457200165,True
0.6,MI-10,1.212691690929165,1.1247132201899528,district_dna_behavior_model,high,5,-2.136666666666667,-2.4031372471392,-3.136666666666667,-3.4031372471392,-0.2664705804725327,-0.4904409984152625,True
0.6,MI-11,1.5606825231779748,1.332970409646798,district_dna_behavior_model,high,5,-2.136666666666667,-2.848113441945326,19.663333333333334,18.951886558054674,-0.7114467752786595,22.637835594067383,True
0.6,MI-12,0.5063711001652187,0.7020114491765556,district_dna_behavior_model,high,5,-2.136666666666667,-1.4999644630739073,48.36333333333333,49.00003553692609,0.6367022035927619,44.584025333511065,True
0.6,MI-13,0.3434894283965253,0.6045339410555165,district_dna_behavior_model,high,4,-2.136666666666667,-1.2916875207219538,47.46333333333333,48.30831247927805,0.8449791459447198,47.11700875262323,True
