retention_level,race_id,actual_dem_margin,actual_winner,layer_2_margin_dem,layer_3_margin_dem,layer_2_dem_probability,layer_3_dem_probability,probability_change_dem,margin_change_dem,layer_2_correct_winner,layer_3_correct_winner,winner_call_changed,characteristics_elasticity,district_elasticity
0.0,FL-11,-27.662434286869008,R,-15.036666666666667,-15.036666666666667,0.09002470375443178,0.09002470375443178,0.0,0.0,True,True,False,0.8596358322477317,1.0
0.0,FL-12,-40.749390518486315,R,-32.836666666666666,-32.836666666666666,0.0063571676916191104,0.0063571676916191104,0.0,0.0,True,True,False,0.9404701068878808,1.0
0.0,FL-13,-8.084123368448173,R,-8.936666666666667,-8.936666666666667,0.20183387492752147,0.20183387492752147,0.0,0.0,True,True,False,0.8364142083941285,1.0
0.0,FL-14,13.797479898466356,D,18.963333333333335,18.963333333333335,0.9487016558270376,0.9487016558270376,0.0,0.0,True,True,False,0.9270770465679696,1.0
0.0,FL-15,-17.086602110830707,R,-5.336666666666668,-5.336666666666668,0.305545988152672,0.305545988152672,0.0,0.0,True,True,False,0.9803719870031216,1.0
0.0,FL-16,-24.29508969799383,R,-13.036666666666667,-13.036666666666667,0.11861192160168305,0.11861192160168305,0.0,0.0,True,True,False,0.957693071528072,1.0
0.0,FL-17,-28.31658565419247,R,-20.136666666666667,-20.136666666666667,0.04319194766010977,0.04319194766010977,0.0,0.0,True,True,False,0.8636467643779484,1.0
0.0,FL-19,-36.009691196843654,R,-23.136666666666667,-23.136666666666667,0.0276662142612138,0.0276662142612138,0.0,0.0,True,True,False,1.0225364444536715,1.0
0.0,FL-20,44.62801142456706,D,52.26333333333333,52.26333333333333,0.9996779600372953,0.9996779600372953,0.0,0.0,True,True,False,0.3973783388207926,1.0
0.0,FL-21,-27.00811250970305,R,-13.536666666666667,-13.536666666666667,0.11080308433232539,0.11080308433232539,0.0,0.0,True,True,False,0.9139237503466088,1.0
0.0,FL-22,10.218806483372765,D,17.463333333333335,17.463333333333335,0.9362352748420726,0.9362352748420726,0.0,0.0,True,True,False,1.0283242101050358,1.0
0.0,FL-23,4.755437217119574,D,11.063333333333333,11.063333333333333,0.8458024542905355,0.8458024542905355,0.0,0.0,True,True,False,0.5221104094200731,1.0
0.0,FL-24,43.570156704735574,D,48.96333333333333,48.96333333333333,0.9994650598016764,0.9994650598016764,0.0,0.0,True,True,False,0.4703536236808434,1.0
0.0,FL-25,10.187239707789992,D,19.763333333333332,19.763333333333332,0.9543711661343681,0.9543711661343681,0.0,0.0,True,True,False,1.0396164176699074,1.0
0.0,FL-26,-41.74599718962139,R,-22.436666666666667,-22.436666666666667,0.030715377502507104,0.030715377502507104,0.0,0.0,True,True,False,1.417718505583624,1.0
0.0,FL-27,-14.58629896985369,R,-4.436666666666667,-4.436666666666667,0.3356892619506438,0.3356892619506438,0.0,0.0,True,True,False,1.3558411866367972,1.0
