retention_level,race_id,characteristics_elasticity_original,district_elasticity_used,layer_2_environment_component,layer_3_environment_component,layer_2_margin_dem,layer_3_margin_dem,layer_3_minus_layer_2_margin,scored
0.0,GA-10,0.919901004538764,1.0,-2.136666666666667,-2.136666666666667,-25.536666666666665,-25.536666666666665,0.0,True
0.0,GA-11,0.864720215751893,1.0,-2.136666666666667,-2.136666666666667,-19.436666666666667,-19.436666666666667,0.0,True
0.0,GA-12,0.784358643332068,1.0,-2.136666666666667,-2.136666666666667,-14.236666666666666,-14.236666666666666,0.0,True
0.0,GA-13,0.4963102079368176,1.0,-2.136666666666667,-2.136666666666667,60.26333333333333,60.26333333333333,0.0,True
0.0,GA-14,0.9142342345826356,1.0,-2.136666666666667,-2.136666666666667,-41.53666666666667,-41.53666666666667,0.0,True
0.0,HI-1,0.8962060862764526,1.0,-2.136666666666667,-2.136666666666667,29.263333333333332,29.263333333333332,0.0,True
0.0,HI-2,0.953619051783309,1.0,-2.136666666666667,-2.136666666666667,27.363333333333333,27.363333333333333,0.0,True
0.0,IA-1,1.2523965987058596,1.0,-2.136666666666667,-2.136666666666667,-7.036666666666667,-7.036666666666667,0.0,True
0.0,IA-2,1.2590931288658154,1.0,-2.136666666666667,-2.136666666666667,-8.536666666666667,-8.536666666666667,0.0,True
0.0,IA-3,1.2412357151059334,1.0,-2.136666666666667,-2.136666666666667,-0.436666666666667,-0.436666666666667,0.0,True
0.0,IA-4,1.168847867869489,1.0,-2.136666666666667,-2.136666666666667,-30.136666666666667,-30.136666666666667,0.0,True
0.0,ID-1,0.9002784293293729,1.0,-2.136666666666667,-2.136666666666667,-42.33666666666667,-42.33666666666667,0.0,True
0.0,ID-2,0.8350988691058042,1.0,-2.136666666666667,-2.136666666666667,-27.036666666666665,-27.036666666666665,0.0,True
0.0,IL-1,0.92568565856846,1.0,-2.136666666666667,-2.136666666666667,40.26333333333333,40.26333333333333,0.0,True
0.0,IL-2,0.8584108111407394,1.0,-2.136666666666667,-2.136666666666667,39.86333333333333,39.86333333333333,0.0,True
0.0,IL-3,1.1446433838679606,1.0,-2.136666666666667,-2.136666666666667,39.26333333333333,39.26333333333333,0.0,True
0.0,IL-4,1.2918154976561989,1.0,-2.136666666666667,-2.136666666666667,46.26333333333333,46.26333333333333,0.0,True
0.0,IL-5,1.0673194130611363,1.0,-2.136666666666667,-2.136666666666667,39.46333333333333,39.46333333333333,0.0,True
0.0,IL-6,1.0403552920471777,1.0,-2.136666666666667,-2.136666666666667,10.763333333333334,10.763333333333334,0.0,True
0.0,IL-7,0.7259659659788186,1.0,-2.136666666666667,-2.136666666666667,72.66333333333333,72.66333333333333,0.0,False
0.0,IL-8,1.001792717963928,1.0,-2.136666666666667,-2.136666666666667,15.263333333333334,15.263333333333334,0.0,True
0.0,IL-9,1.3675800511224925,1.0,-2.136666666666667,-2.136666666666667,41.46333333333333,41.46333333333333,0.0,True
0.0,IL-10,1.221934758204366,1.0,-2.136666666666667,-2.136666666666667,25.763333333333332,25.763333333333332,0.0,True
0.0,IL-11,1.2692569046680529,1.0,-2.136666666666667,-2.136666666666667,15.163333333333334,15.163333333333334,0.0,True
0.0,IL-12,1.2442954410049891,1.0,-2.136666666666667,-2.136666666666667,-46.93666666666667,-46.93666666666667,0.0,True
0.0,IL-13,1.320906804179352,1.0,-2.136666666666667,-2.136666666666667,9.063333333333333,9.063333333333333,0.0,True
0.0,IL-14,1.58053369780111,1.0,-2.136666666666667,-2.136666666666667,11.363333333333333,11.363333333333333,0.0,True
0.0,IL-15,1.3039808875847605,1.0,-2.136666666666667,-2.136666666666667,-42.83666666666667,-42.83666666666667,0.0,True
0.0,IL-16,1.2271940084172686,1.0,-2.136666666666667,-2.136666666666667,-25.636666666666667,-25.636666666666667,0.0,True
0.0,IL-17,1.2580963101916018,1.0,-2.136666666666667,-2.136666666666667,5.663333333333332,5.663333333333332,0.0,True
0.0,IN-1,1.1855086983432872,1.0,-2.136666666666667,-2.136666666666667,8.263333333333334,8.263333333333334,0.0,True
0.0,IN-2,1.5812872305639458,1.0,-2.136666666666667,-2.136666666666667,-24.736666666666668,-24.736666666666668,0.0,True
0.0,IN-3,1.1867052816293706,1.0,-2.136666666666667,-2.136666666666667,-34.03666666666667,-34.03666666666667,0.0,True
0.0,IN-4,1.261123094561044,1.0,-2.136666666666667,-2.136666666666667,-33.236666666666665,-33.236666666666665,0.0,True
0.0,IN-5,1.2862627501271655,1.0,-2.136666666666667,-2.136666666666667,-20.03666666666667,-20.03666666666667,0.0,True
0.0,IN-6,1.2736232841929611,1.0,-2.136666666666667,-2.136666666666667,-36.03666666666667,-36.03666666666667,0.0,True
0.0,IN-7,0.8999055885001347,1.0,-2.136666666666667,-2.136666666666667,42.26333333333333,42.26333333333333,0.0,True
0.0,IN-8,1.1996519066052849,1.0,-2.136666666666667,-2.136666666666667,-36.93666666666667,-36.93666666666667,0.0,True
0.0,IN-9,1.1755443980294449,1.0,-2.136666666666667,-2.136666666666667,-29.436666666666667,-29.436666666666667,0.0,True
0.0,KS-1,1.1799771980137592,1.0,-2.136666666666667,-2.136666666666667,-33.736666666666665,-33.736666666666665,0.0,True
0.0,KS-2,1.4099816792107225,1.0,-2.136666666666667,-2.136666666666667,-20.436666666666667,-20.436666666666667,0.0,True
0.0,KS-3,1.2673493667696063,1.0,-2.136666666666667,-2.136666666666667,4.363333333333333,4.363333333333333,0.0,True
0.0,KS-4,1.3258496235145214,1.0,-2.136666666666667,-2.136666666666667,-25.836666666666666,-25.836666666666666,0.0,True
0.0,KY-1,0.7112962559758867,1.0,-2.136666666666667,-2.136666666666667,-46.83666666666667,-46.83666666666667,0.0,True
0.0,KY-2,0.6836172646480699,1.0,-2.136666666666667,-2.136666666666667,-40.83666666666667,-40.83666666666667,0.0,True
0.0,KY-3,0.4650850852978094,1.0,-2.136666666666667,-2.136666666666667,20.163333333333334,20.163333333333334,0.0,True
0.0,KY-4,0.744642017259832,1.0,-2.136666666666667,-2.136666666666667,-36.63666666666667,-36.63666666666667,0.0,True
0.0,KY-5,0.7854045230793962,1.0,-2.136666666666667,-2.136666666666667,-63.53666666666667,-63.53666666666667,0.0,True
0.0,KY-6,0.6477655476124732,1.0,-2.136666666666667,-2.136666666666667,-15.136666666666667,-15.136666666666667,0.0,True
0.0,LA-1,1.0265573201597875,1.0,-2.136666666666667,-2.136666666666667,-43.13666666666667,-43.13666666666667,0.0,True
0.0,LA-2,0.025422169615408,1.0,-2.136666666666667,-2.136666666666667,50.36333333333333,50.36333333333333,0.0,True
0.0,LA-3,0.5685815523776317,1.0,-2.136666666666667,-2.136666666666667,-41.73666666666667,-41.73666666666667,0.0,True
0.0,LA-4,0.5578671041217027,1.0,-2.136666666666667,-2.136666666666667,-28.236666666666668,-28.236666666666668,0.0,False
0.0,LA-5,0.5538491860257293,1.0,-2.136666666666667,-2.136666666666667,-31.836666666666666,-31.836666666666666,0.0,True
0.0,LA-6,0.5676886816896377,1.0,-2.136666666666667,-2.136666666666667,-34.53666666666667,-34.53666666666667,0.0,False
0.0,MA-1,0.9507283703368354,1.0,-2.136666666666667,-2.136666666666667,21.563333333333333,21.563333333333333,0.0,True
0.0,MA-2,0.9106557536468172,1.0,-2.136666666666667,-2.136666666666667,30.663333333333334,30.663333333333334,0.0,True
0.0,MA-3,0.8674221548781504,1.0,-2.136666666666667,-2.136666666666667,27.263333333333332,27.263333333333332,0.0,True
0.0,MA-4,0.7402293842262175,1.0,-2.136666666666667,-2.136666666666667,28.363333333333333,28.363333333333333,0.0,False
