retention_level,group_type,group_value,races,layer_2_mae,layer_3_mae,mae_change,layer_2_rmse,layer_3_rmse,improved_races,worsened_races,unchanged_races,mean_margin_change,mean_absolute_margin_change,maximum_absolute_margin_change
0.35,district_type,Urban,72,5.469301688233751,5.486030615692795,0.016728927459044467,6.8985137571554676,6.90024822737425,31,41,0,0.13914976795456743,0.2797209180735664,0.5762566967234424
0.4,overall,All scored races,400,4.889977875468015,4.880621814620859,-0.009356060847155892,6.475034390695038,6.4695347994759755,197,203,0,7.416289804496045e-16,0.31976719347722055,0.6584377289254064
0.4,reliability,high,282,4.527212393522313,4.533733551262847,0.006521157740533504,6.11229256460485,6.121894232495966,132,150,0,-0.011755698600151833,0.33588816137035105,0.6584377289254064
0.4,reliability,insufficient_single_cycle,4,9.90387383881809,10.135525321349093,0.23165148253100387,11.807154905976516,11.87659567598703,2,2,0,0.23165148253100365,0.27580155093772274,0.5908380869751291
0.4,reliability,low,45,4.247917724327875,4.148927936621812,-0.09898978770606293,5.3796991344465335,5.352705936934727,30,15,0,0.048986241251271,0.2141180457415981,0.6403957071144304
0.4,reliability,medium,58,6.642783895945366,6.605133502877001,-0.0376503930683646,8.10456189013636,8.05670372532073,29,29,0,0.018724244328282343,0.3406710399770985,0.6584377289254064
0.4,reliability,no_scorable_history,11,5.751272390823274,5.763114799270653,0.01184240844737799,7.168229659240941,7.102718619266419,4,7,0,-0.08198963202077011,0.24445248215042836,0.4859056546955003
0.4,prediction_source,Characteristics fallback,15,6.858632776955225,6.92909093849157,0.07045816153634489,8.651991326928684,8.637703510512145,6,9,0,0.0016479985263695503,0.2528122338270402,0.5908380869751291
0.4,prediction_source,District DNA,385,4.813277035150332,4.8008113292752475,-0.012465705875084493,6.375190108793527,6.370142076667827,191,194,0,-6.420773479283938e-05,0.32237582826878597,0.6584377289254064
0.4,competitiveness,Within 5,26,5.075360196193751,4.85679435754139,-0.21856583865236018,6.323407802877534,6.17088532283079,18,8,0,-0.09530941715817626,0.3619122788005121,0.6584377289254046
0.4,competitiveness,5 to 10,41,5.20584070074331,5.14624720825528,-0.05959349248802982,6.773652040809527,6.715622431993629,22,19,0,-0.16357618211155311,0.36162201115525056,0.6584377289254046
0.4,competitiveness,10 to 20,90,5.297625605836458,5.293947110976994,-0.0036784948594644246,7.111752847138969,7.102715984847195,44,46,0,-0.024170333342027308,0.31399549459987824,0.6584377289254064
0.4,competitiveness,Over 20,243,4.6658683614420235,4.68527035813116,0.019401996689135916,6.185638514414538,6.207131859268219,113,130,0,0.0467489642529589,0.3103335850646938,0.6584377289254064
0.4,boundary_status,Configured boundary-break state,64,5.724516986163392,5.61305690531052,-0.11146008085287265,7.198093761780297,7.1424737430250245,40,24,0,-0.03410583260880412,0.28891624087969514,0.6584377289254064
0.4,boundary_status,Other state,336,4.731018044859373,4.74111036877521,0.010092323915837776,6.327948376631451,6.33325421640392,157,179,0,0.006496349068344522,0.32564356540055867,0.6584377289254064
0.4,district_type,Exurban,14,4.152407123846518,3.869362216714568,-0.2830449071319495,4.684413331041608,4.386775462047067,11,3,0,-0.25576945206440765,0.4975779739248579,0.6584377289254046
0.4,district_type,Mixed,107,5.226749318157319,5.217740190618548,-0.009009127538772197,7.302365227022569,7.276718674363552,49,58,0,-0.06245213175154408,0.29071842302121104,0.6584377289254064
0.4,district_type,Rural,138,4.33709595653513,4.384333825350588,0.04723786881545797,5.657310534134516,5.712303092331066,62,76,0,0.038755870548074785,0.3113385825182615,0.6584377289254064
0.4,district_type,Suburban,69,5.018642171823824,4.92138273443008,-0.09725943739374489,6.498979342501003,6.453945107367978,44,25,0,-0.09467739417331167,0.345754996878178,0.6584377289254064
