race_id,baseline_only_presidential_baseline,layer_1_presidential_baseline,layer_1_national_environment,layer_2_presidential_baseline,layer_2_national_environment,layer_2_incumbency,baseline_only_margin_dem,layer_1_margin_dem,layer_2_margin_dem
KY-5,-59.4,-59.4,-2.136666666666667,-59.4,-2.136666666666667,-1.5,-59.4,-61.53666666666667,-63.03666666666667
KY-6,-11.0,-11.0,-2.136666666666667,-11.0,-2.136666666666667,-1.5,-11.0,-13.136666666666667,-14.636666666666667
LA-1,-39.0,-39.0,-2.136666666666667,-39.0,-2.136666666666667,-1.5,-39.0,-41.13666666666667,-42.63666666666667
LA-2,52.5,52.5,-2.136666666666667,52.5,-2.136666666666667,0.0,52.5,50.36333333333333,50.36333333333333
LA-3,-37.6,-37.6,-2.136666666666667,-37.6,-2.136666666666667,-1.5,-37.6,-39.73666666666667,-41.23666666666667
LA-4,-24.1,-24.1,-2.136666666666667,-24.1,-2.136666666666667,-1.5,-24.1,-26.236666666666668,-27.736666666666668
LA-5,-29.7,-29.7,-2.136666666666667,-29.7,-2.136666666666667,0.0,-29.7,-31.836666666666666,-31.836666666666666
LA-6,-30.4,-30.4,-2.136666666666667,-30.4,-2.136666666666667,-1.5,-30.4,-32.53666666666667,-34.03666666666667
MA-1,21.7,21.7,-2.136666666666667,21.7,-2.136666666666667,1.5,21.7,19.563333333333333,21.063333333333333
MA-2,30.8,30.8,-2.136666666666667,30.8,-2.136666666666667,1.5,30.8,28.663333333333334,30.163333333333334
MA-3,27.4,27.4,-2.136666666666667,27.4,-2.136666666666667,1.5,27.4,25.263333333333332,26.763333333333332
MA-4,28.5,28.5,-2.136666666666667,28.5,-2.136666666666667,1.5,28.5,26.363333333333333,27.863333333333333
MA-5,51.1,51.1,-2.136666666666667,51.1,-2.136666666666667,1.5,51.1,48.96333333333333,50.46333333333333
MA-6,27.6,27.6,-2.136666666666667,27.6,-2.136666666666667,1.5,27.6,25.463333333333335,26.963333333333335
MA-7,72.4,72.4,-2.136666666666667,72.4,-2.136666666666667,1.5,72.4,70.26333333333334,71.76333333333334
MA-8,35.5,35.5,-2.136666666666667,35.5,-2.136666666666667,1.5,35.5,33.36333333333333,34.86333333333333
MA-9,18.2,18.2,-2.136666666666667,18.2,-2.136666666666667,1.5,18.2,16.063333333333333,17.563333333333333
MD-1,-14.5,-14.5,-2.136666666666667,-14.5,-2.136666666666667,-1.5,-14.5,-16.636666666666667,-18.136666666666667
MD-2,20.8,20.8,-2.136666666666667,20.8,-2.136666666666667,1.5,20.8,18.663333333333334,20.163333333333334
MD-3,25.5,25.5,-2.136666666666667,25.5,-2.136666666666667,1.5,25.5,23.363333333333333,24.863333333333333
MD-4,81.0,81.0,-2.136666666666667,81.0,-2.136666666666667,0.0,81.0,78.86333333333333,78.86333333333333
MD-5,36.5,36.5,-2.136666666666667,36.5,-2.136666666666667,1.5,36.5,34.36333333333333,35.86333333333333
MD-6,9.8,9.8,-2.136666666666667,9.8,-2.136666666666667,1.5,9.8,7.663333333333334,9.163333333333334
MD-7,63.5,63.5,-2.136666666666667,63.5,-2.136666666666667,1.5,63.5,61.36333333333333,62.86333333333333
