cycle,house_environment_multiplier,effective_generic_ballot_coefficient,districts,mean_district_elasticity,mean_environment_adjustment_dem,mean_actual_residual_from_baseline,environment_residual_error_dem,margin_mae,margin_rmse,margin_bias_dem,brier_score,winner_accuracy,expected_dem_wins,actual_dem_wins,expected_win_count_error
2018,0.85,0.765,393,1.0,5.584499999999999,7.272389194447327,-1.6878891944473284,5.4436648390514,7.50094457929173,-1.6878891944473284,0.04920356281874153,0.9338422391857506,189.07654656417188,200.0,-10.923453435828122
2018,0.9,0.81,393,1.0,5.912999999999999,7.272389194447327,-1.3593891944473278,5.3986954730514,7.43391812107546,-1.3593891944473284,0.04862207194163083,0.9389312977099237,190.55165228299302,200.0,-9.448347717006982
2018,1.0,0.9,393,1.0,6.57,7.272389194447327,-0.7023891944473281,5.355738070908906,7.3422442229437115,-0.7023891944473281,0.04771411205932771,0.9465648854961832,193.53100658974463,200.0,-6.468993410255365
2020,0.0,0.0,407,1.0,0.0,2.125532363680563,-2.125532363680563,5.423040685719579,6.953768421007186,-2.125532363680563,0.055418359138019596,0.914004914004914,185.64053233065312,203.0,-17.359467669346884
2020,0.5,0.45,407,1.0,3.06,2.125532363680563,0.9344676363194373,5.007894497272406,6.686571407475711,0.9344676363194369,0.047335722469750825,0.9287469287469288,198.15225800500713,203.0,-4.847741994992873
2020,0.7,0.63,407,1.0,4.283999999999999,2.125532363680563,2.158467636319437,5.226344740412455,6.963906228617794,2.1584676363194366,0.045663414727226494,0.9459459459459459,203.34767836719737,203.0,0.3476783671973749
2020,0.73,0.657,407,1.0,4.467599999999999,2.125532363680563,2.3420676363194377,5.277487760225722,7.022982858945207,2.342067636319437,0.04549918938098741,0.9434889434889435,204.1370781518714,203.0,1.1370781518714068
2020,0.8,0.7200000000000001,407,1.0,4.896,2.125532363680563,2.7704676363194376,5.410107210987393,7.177220795533372,2.7704676363194376,0.04520783568907435,0.9459459459459459,205.98950711009866,203.0,2.989507110098657
2020,0.85,0.765,407,1.0,5.202,2.125532363680563,3.076467636319437,5.519438797876829,7.300798623524975,3.0764676363194363,0.04508009846450763,0.9459459459459459,207.32174409426796,203.0,4.321744094267956
2020,0.9,0.81,407,1.0,5.508000000000002,2.125532363680563,3.3824676363194373,5.641729483287148,7.434923989839552,3.3824676363194373,0.04502086723054826,0.9484029484029484,208.6616214842483,203.0,5.661621484248286
2020,1.0,0.9,407,1.0,6.12,2.125532363680563,3.994467636319438,5.924049274697467,7.732579073087236,3.994467636319437,0.04511312961261163,0.9508599508599509,211.3644628160498,203.0,8.364462816049809
2022,0.0,0.0,400,1.0,0.0,-0.51890540262625,0.51890540262625,4.608434283072249,6.152239464693843,0.51890540262625,0.0401890948274301,0.95,196.63426446661887,204.0,-7.365735533381127
2022,0.5,0.45,400,1.0,-0.54,-0.5189054026262501,-0.0210945973737499,4.59827288572225,6.130353382644433,-0.021094597373748813,0.040987743936222606,0.9525,194.40721945348622,204.0,-9.59278054651378
2022,0.7,0.63,400,1.0,-0.7560000000000001,-0.5189054026262501,-0.23709459737375027,4.605599193893251,6.1349002813546605,-0.23709459737375,0.04136328218978818,0.9525,193.51690582309794,204.0,-10.483094176902057
2022,0.73,0.657,400,1.0,-0.7884,-0.5189054026262501,-0.26949459737375003,4.60710984566825,6.136237850024664,-0.26949459737375053,0.04142237658266319,0.9525,193.38332269791275,204.0,-10.616677302087254
2022,0.8,0.7200000000000001,400,1.0,-0.8640000000000002,-0.5189054026262501,-0.3450945973737502,4.61185396166825,6.140022629860433,-0.3450945973737493,0.04156306663684351,0.9525,193.07159159331394,204.0,-10.92840840668606
