race_id,state,district,region,district_type,dra_population_dataset,dra_data_status,total_population,voting_age_population,white_population_share,black_population_share,hispanic_population_share,asian_population_share,native_population_share,pacific_population_share,white_vap_share,black_vap_share,hispanic_vap_share,asian_vap_share,native_vap_share,pacific_vap_share,pres_2020_margin_dem,pres_2024_margin_dem,dra_composite_margin_dem,dra_composite_dem_two_party_share,dra_map_year,dra_source_zip,dra_data_available,presidential_margin_average_2020_2024_dem,presidential_swing_2020_to_2024_dem,presidential_margin_range_2020_2024,presidential_average_absolute_margin,presidential_baseline_competitiveness,presidential_party_lean,presidential_trend_direction,dra_composite_minus_presidential_average_dem,dra_composite_absolute_margin,dra_composite_competitiveness,structural_profile_version,structural_profile_stage,political_baseline_method,demographic_source,structural_profile_notes
AZ-9,AZ,9,Southwest,Rural,2020 Census,available,794612.0,609223.0,57.46339093796721,6.088380240922614,29.89484175924854,3.7646046120622394,4.06437355589898,0.592742118165847,62.27850885472151,5.217465525759861,25.810745818854507,3.4726200422505387,3.7329516449641593,0.5195142008755415,-25.800000000000004,-31.0,-27.61694123179567,36.19152938410217,2022.0,AZ-2022-Congressional-district-data.zip,True,-28.400000000000002,-5.199999999999996,5.199999999999996,28.400000000000002,71.6,Republican,Republican,0.7830587682043308,27.61694123179567,72.38305876820434,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-1,CA,1,Pacific,Mixed,2020 Census adjusted,available,760065.0,605483.0,60.81019386499839,2.7154256543848225,26.15763125522159,5.31415076342155,6.070138738134238,0.7684869057251682,64.5410358342018,2.5663808893065534,22.917241276798855,4.899724682608761,5.587440109796642,0.7024144360783044,17.800000000000004,12.2,14.601973449779395,57.3009867248897,2026.0,CA-2026-Congressional-district-data.zip,True,15.000000000000002,-5.600000000000005,5.600000000000005,15.000000000000002,85.0,Democratic,Republican,-0.3980265502206066,14.601973449779395,85.3980265502206,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-2,CA,2,Pacific,Mixed,2020 Census adjusted,available,760065.0,613701.0,70.20439041397775,2.4705781742350985,14.82044298842862,6.146711136547532,6.403925980014868,0.6154736765934492,72.95441917155097,2.473028396564451,13.052773256031848,5.54439376830085,5.853501949646489,0.5592299833306448,28.4,24.6,26.479090935111778,63.239545467555885,2026.0,CA-2026-Congressional-district-data.zip,True,26.5,-3.799999999999997,3.799999999999997,26.5,73.5,Democratic,Republican,-0.020909064888222417,26.479090935111778,73.52090906488823,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-3,CA,3,Pacific,Mixed,2020 Census adjusted,available,760067.0,600433.0,57.25916267907961,7.134239481519392,18.604544073088295,13.826544238863152,3.574290161262099,1.2073935587257438,60.993149943457475,6.675848929022888,16.45712344258227,12.522462955900158,3.4033772294327593,1.0947099842946673,14.0,10.1,9.052736910770946,54.52636845538547,2026.0,CA-2026-Congressional-district-data.zip,True,12.05,-3.9000000000000004,3.9000000000000004,12.05,87.95,Democratic,Republican,-2.9972630892290546,9.052736910770946,90.94726308922905,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-4,CA,4,Pacific,Mixed,2020 Census adjusted,available,760065.0,591002.0,50.6196180589818,3.70639353213212,31.160624420279845,11.794122871070238,4.285422957247078,0.8330866439054555,54.60878304980355,3.1881448793743505,27.458282713087264,11.61248185285329,4.032304459206568,0.753127738992423,21.1,14.5,19.02526007063732,59.51263003531866,2026.0,CA-2026-Congressional-district-data.zip,True,17.8,-6.600000000000001,6.600000000000001,17.8,82.2,Democratic,Republican,1.2252600706373187,19.02526007063732,80.97473992936268,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-5,CA,5,Pacific,Rural,2020 Census adjusted,available,760066.0,599254.0,55.850281422929065,3.2432709790991834,28.938144845316064,8.27586025424108,5.0919262274591945,0.8953169856301952,59.4587603920875,3.280245104746902,25.498870262025783,7.670703908526268,4.779609314247381,0.8704155500005006,-14.5,-20.6,-17.786898490773357,41.10655075461332,2026.0,CA-2026-Congressional-district-data.zip,True,-17.55,-6.100000000000001,6.100000000000001,17.55,82.45,Republican,Republican,-0.23689849077335623,17.786898490773357,82.21310150922665,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-6,CA,6,Pacific,Mixed,2020 Census adjusted,available,760067.0,576315.0,50.792627492050045,9.282734285266956,22.31842719128709,15.15603229715275,3.7651943841792894,1.4984205339792414,54.531462828487896,8.402349409611064,19.82093126154967,14.395079080017004,3.691557568343701,1.4139836721237518,12.6,8.3,9.45932617597744,54.72966308798872,2026.0,CA-2026-Congressional-district-data.zip,True,10.45,-4.299999999999999,4.299999999999999,10.45,89.55,Democratic,Republican,-0.9906738240225597,9.45932617597744,90.54067382402256,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-7,CA,7,Pacific,Mixed,2020 Census adjusted,available,760065.0,586863.0,40.22182313354779,10.819337819791729,23.26090531730839,23.35431838066481,3.498516574240361,2.029431693342017,43.92456160977945,10.12774702102535,20.71573774458434,22.479352080468527,3.3864803199383844,1.9386125893096005,19.6,12.8,16.7916860429851,58.39584302149255,2026.0,CA-2026-Congressional-district-data.zip,True,16.200000000000003,-6.800000000000001,6.800000000000001,16.200000000000003,83.8,Democratic,Republican,0.5916860429850956,16.7916860429851,83.2083139570149,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-8,CA,8,Pacific,Exurban,2020 Census adjusted,available,760066.0,600387.0,30.662468785605466,15.903618896253748,31.39016874850342,21.11474529843461,3.64060489483808,1.6038080903500485,33.52954011329359,15.623756010706428,28.009767033596663,21.188000406404537,3.531555480048702,1.4510640636789272,42.6,34.0,41.843704679560275,70.92185233978013,2026.0,CA-2026-Congressional-district-data.zip,True,38.3,-8.600000000000001,8.600000000000001,38.3,61.7,Democratic,Republican,3.5437046795602782,41.843704679560275,58.156295320439725,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
CA-9,CA,9,Pacific,Exurban,2020 Census adjusted,available,760065.0,567270.0,25.54531520330498,13.739614375086342,37.89544315288824,22.272700361153323,3.813489635754837,1.6534112214086951,29.074162215523472,13.137659315669788,34.46260158302043,22.03553863239727,3.708639624869991,1.589542898443422,26.200000000000003,11.4,24.036515271047,62.0182576355235,2026.0,CA-2026-Congressional-district-data.zip,True,18.8,-14.800000000000002,14.800000000000002,18.8,81.2,Democratic,Republican,5.236515271047001,24.036515271047,75.963484728953,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
