race_id,state,district,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,median_income_tier,pres_2020_margin_dem,pres_2024_margin_dem
CA-7,CA,7,Pacific,Mixed,Medium,Low,Medium,Medium,,19.6,12.8
CA-8,CA,8,Pacific,Exurban,Medium,Low,Medium,Medium,,42.6,34.0
CA-9,CA,9,Pacific,Exurban,Low,Low,Medium,High,,26.200000000000003,11.4
CA-10,CA,10,Pacific,Suburban,Very High,Medium,Low,Medium,,38.6,33.5
CA-11,CA,11,Pacific,Urban,Very High,Low,Low,Low,,74.6,67.7
CA-12,CA,12,Pacific,Urban,Very High,Low,Medium,Medium,,80.7,73.8
CA-13,CA,13,Pacific,Mixed,Low,Low,Low,Very High,,17.700000000000003,0.4
CA-14,CA,14,Pacific,Suburban,Very High,Low,Low,Medium,,45.5,34.7
CA-15,CA,15,Pacific,Suburban,High,Low,Low,Medium,,57.300000000000004,47.8
CA-16,CA,16,Pacific,Suburban,Very High,Medium,Low,Medium,,52.8,48.1
CA-17,CA,17,Pacific,Urban,Very High,Low,Low,Medium,,48.199999999999996,38.9
CA-18,CA,18,Pacific,Mixed,Low,Low,Low,Very High,,42.699999999999996,28.4
CA-19,CA,19,Pacific,Mixed,High,Medium,Low,Medium,,39.6,34.3
CA-20,CA,20,Pacific,Rural,Low,Medium,Low,High,,-26.200000000000003,-32.2
CA-21,CA,21,Pacific,Mixed,Low,Low,Low,Very High,,21.1,6.0
CA-22,CA,22,Pacific,Rural,Low,Low,Low,Very High,,17.0,-1.8
CA-23,CA,23,Pacific,Rural,Low,Low,Low,High,,-12.100000000000001,-19.3
CA-24,CA,24,Pacific,Mixed,High,Medium,Low,High,,29.0,24.9
CA-25,CA,25,Pacific,Mixed,Low,Low,Low,Very High,,16.5,5.8
CA-26,CA,26,Pacific,Suburban,High,Medium,Low,High,,22.400000000000006,15.2
CA-27,CA,27,Pacific,Mixed,Medium,Low,Medium,High,,19.6,9.7
CA-28,CA,28,Pacific,Mixed,High,Low,Low,Medium,,32.7,25.2
CA-29,CA,29,Pacific,Urban,Low,Low,Low,Very High,,49.900000000000006,33.6
CA-30,CA,30,Pacific,Mixed,Very High,Medium,Low,Medium,,44.99999999999999,39.9
CA-31,CA,31,Pacific,Suburban,Medium,Low,Low,Very High,,25.1,12.2
CA-32,CA,32,Pacific,Suburban,Very High,Medium,Low,Medium,,33.7,25.0
CA-33,CA,33,Pacific,Suburban,Low,Low,Medium,Very High,,25.9,9.8
CA-34,CA,34,Pacific,Urban,Medium,Low,Low,Very High,,64.2,50.6
CA-35,CA,35,Pacific,Urban,Low,Low,Low,Very High,,23.5,7.7
CA-36,CA,36,Pacific,Urban,Very High,Medium,Medium,Medium,,44.1,39.0
CA-37,CA,37,Pacific,Urban,Medium,Low,High,Very High,,73.3,60.4
CA-38,CA,38,Pacific,Urban,Medium,Low,Low,Very High,,28.0,12.3
CA-39,CA,39,Pacific,Suburban,Low,Low,Medium,Very High,,26.0,9.5
CA-40,CA,40,Pacific,Suburban,High,Medium,Low,Medium,,-7.699999999999996,-12.2
CA-41,CA,41,Pacific,Urban,Medium,Low,Low,Very High,,25.799999999999997,14.1
CA-42,CA,42,Pacific,Urban,High,Medium,Low,Medium,,19.700000000000003,13.1
CA-43,CA,43,Pacific,Urban,Low,Low,High,Very High,,63.8,48.9
CA-44,CA,44,Pacific,Urban,Low,Low,Medium,Very High,,53.10000000000001,35.1
CA-45,CA,45,Pacific,Urban,Medium,Low,Low,High,,10.100000000000001,3.9
CA-46,CA,46,Pacific,Urban,Low,Low,Low,Very High,,28.200000000000003,16.1
CA-47,CA,47,Pacific,Suburban,Very High,Medium,Low,Medium,,16.1,10.0
CA-48,CA,48,Pacific,Mixed,Medium,Medium,Low,High,,7.200000000000003,3.4
CA-49,CA,49,Pacific,Suburban,Very High,Medium,Low,Medium,,15.200000000000003,12.1
CA-50,CA,50,Pacific,Mixed,Very High,Medium,Low,Medium,,21.099999999999994,18.2
CA-51,CA,51,Pacific,Mixed,High,Medium,Low,Medium,,22.9,18.2
CA-52,CA,52,Pacific,Mixed,Low,Low,Low,Very High,,33.3,17.5
CO-1,CO,1,Mountain West,Urban,Very High,Medium,Low,Medium,,61.3,55.9
CO-2,CO,2,Mountain West,Suburban,Very High,Very High,Low,Low,,39.900000000000006,39.8
CO-3,CO,3,Mountain West,Rural,Medium,High,Low,Medium,,-8.199999999999996,-9.7
CO-4,CO,4,Great Plains,Rural,High,Very High,Low,Low,,-18.5,-18.3
CO-5,CO,5,Mountain West,Rural,High,High,Low,Medium,,-10.100000000000001,-9.1
CO-6,CO,6,Mountain West,Suburban,High,Medium,Medium,Medium,,23.800000000000004,19.8
CO-7,CO,7,Mountain West,Suburban,Medium,Very High,Low,Low,,14.200000000000003,15.0
CO-8,CO,8,Mountain West,Suburban,Medium,Medium,Low,High,,4.5,-1.8
CT-1,CT,1,Northeast,Suburban,High,Medium,Medium,Medium,,28.099999999999994,22.9
CT-2,CT,2,Northeast,Suburban,High,Very High,Low,Low,,11.5,7.7
CT-3,CT,3,Northeast,Suburban,High,High,Medium,Low,,19.700000000000003,14.1
CT-4,CT,4,Northeast,Suburban,Very High,Medium,Medium,Medium,,31.200000000000003,23.4
CT-5,CT,5,Northeast,Suburban,High,High,Low,Medium,,10.700000000000003,5.6
DE-AL,DE,AL,Mid-Atlantic,Mixed,High,High,Medium,Low,,14.700000000000003,14.7
FL-1,FL,1,Deep South,Rural,Medium,High,Medium,Low,,-32.199999999999996,-36.900000000000006
FL-2,FL,2,Deep South,Rural,Medium,High,Medium,Low,,-10.899999999999999,-18.0
FL-3,FL,3,Southeast,Rural,Medium,High,Medium,Medium,,-14.0,-20.9
FL-4,FL,4,Southeast,Rural,Low,Medium,High,Low,,-6.700000000000003,-11.800000000000004
FL-5,FL,5,Southeast,Mixed,Medium,High,Medium,Low,,-15.700000000000003,-21.4
FL-6,FL,6,Southeast,Mixed,Low,High,Medium,Low,,-23.599999999999994,-30.0
FL-7,FL,7,Southeast,Mixed,Medium,High,Medium,Medium,,-5.5,-12.399999999999999
FL-8,FL,8,Southeast,Mixed,Medium,High,Medium,Low,,-10.700000000000003,-16.099999999999994
FL-9,FL,9,Southeast,Mixed,Medium,Medium,Medium,High,,-6.799999999999997,-17.700000000000003
FL-10,FL,10,Southeast,Urban,Medium,Low,High,High,,32.9,23.9
FL-11,FL,11,Southeast,Mixed,High,High,Medium,Medium,,-9.599999999999994,-15.700000000000003
FL-12,FL,12,Southeast,Mixed,Medium,Medium,Medium,Medium,,-5.800000000000004,-15.299999999999997
FL-13,FL,13,Southeast,Mixed,Medium,Very High,Low,Low,,-7.800000000000004,-13.799999999999997
FL-14,FL,14,Southeast,Mixed,Medium,Medium,Medium,Medium,,-2.8000000000000043,-10.5
FL-15,FL,15,Southeast,Mixed,Medium,High,Medium,Low,,-10.600000000000001,-19.800000000000004
FL-16,FL,16,Southeast,Mixed,Medium,High,Medium,Low,,-5.519999999999996,-13.600000000000001
FL-17,FL,17,Southeast,Mixed,Medium,Very High,Low,Low,,-13.899999999999999,-22.0
FL-18,FL,18,Southeast,Mixed,Low,Medium,Low,Medium,,-10.100000000000001,-16.9
FL-19,FL,19,Southeast,Mixed,Medium,High,Low,Medium,,-22.0,-31.000000000000007
FL-20,FL,20,Southeast,Urban,Medium,Low,High,Medium,,48.2,37.00000000000001
FL-21,FL,21,Southeast,Mixed,Medium,High,Medium,Medium,,-8.799999999999997,-16.200000000000003
FL-22,FL,22,Southeast,Mixed,High,Medium,Medium,High,,2.200000000000003,-10.5
FL-23,FL,23,Southeast,Urban,Medium,Medium,Medium,Medium,,26.6,13.799999999999997
FL-24,FL,24,Southeast,Urban,Low,Low,Very High,High,,56.4,38.6
FL-25,FL,25,Southeast,Mixed,Very High,Medium,Low,Medium,,5.100000000000001,-9.200000000000003
FL-26,FL,26,Southeast,Mixed,Medium,Low,Low,Very High,,-1.1000000000000014,-18.300000000000004
FL-27,FL,27,Southeast,Mixed,High,Low,Low,Very High,,-0.20000000000000284,-14.5
FL-28,FL,28,Southeast,Mixed,Medium,Low,Medium,Very High,,-6.600000000000001,-25.400000000000006
GA-1,GA,1,Southeast,Rural,Medium,Medium,High,Low,,-13.399999999999999,-15.7
GA-2,GA,2,Southeast,Rural,Low,Low,Very High,Low,,10.300000000000004,7.5
GA-3,GA,3,Southeast,Rural,Medium,High,High,Low,,-30.10000000000001,-31.0
GA-4,GA,4,Southeast,Urban,High,Low,Very High,Medium,,57.699999999999996,52.2
GA-5,GA,5,Southeast,Urban,High,Low,Very High,Low,,72.8,72.1
GA-6,GA,6,Southeast,Urban,High,Low,Very High,Low,,49.5,50.0
GA-7,GA,7,Southeast,Suburban,Very High,High,Low,Low,,-19.199999999999996,-21.1
GA-8,GA,8,Southeast,Rural,Low,Medium,High,Low,,-27.599999999999994,-31.3
GA-9,GA,9,Southeast,Rural,Medium,High,Medium,Low,,-32.3,-34.9
GA-10,GA,10,Southeast,Rural,Medium,High,Medium,Low,,-21.299999999999997,-21.9
GA-11,GA,11,Southeast,Rural,High,High,Medium,Low,,-21.9,-23.7
GA-12,GA,12,Southeast,Rural,Low,Medium,High,Low,,-10.200000000000003,-14.1
GA-13,GA,13,Southeast,Urban,Medium,Low,Very High,Low,,40.5,42.4
GA-14,GA,14,Southeast,Rural,Low,High,Medium,Low,,-37.49999999999999,-37.4
HI-1,HI,1,Pacific ,Mixed,High,Low,Low,Low,,29.4,24.7
HI-2,HI,2,Pacific ,Mixed,Medium,Low,Low,Low,,29.5,21.6
ID-1,ID,1,Mountain West,Rural,Medium,Very High,Low,Low,,-37.99999999999999,-45.1
ID-2,ID,2,Mountain West,Rural,Medium,Very High,Low,Low,,-23.400000000000006,-26.7
IL-1,IL,1,Midwest,Urban,Medium,Low,Very High,Low,,42.4,32.0
IL-2,IL,2,Midwest,Urban,Low,Low,Very High,Low,,40.0,33.1
IL-3,IL,3,Midwest,Urban,Medium,Low,Low,High,,41.400000000000006,31.2
IL-4,IL,4,Midwest,Urban,Low,Low,Low,Very High,,46.4,28.3
IL-5,IL,5,Midwest,Urban,Very High,High,Low,Low,,39.8,37.2
IL-6,IL,6,Midwest,Urban,High,High,Low,Low,,10.899999999999999,5.5
IL-7,IL,7,Midwest,Urban,High,Low,High,Low,,72.8,65.5
IL-8,IL,8,Midwest,Urban,High,Medium,Low,Medium,,15.399999999999999,7.0
IL-9,IL,9,Midwest,Suburban,Very High,High,Low,Low,,41.3,36.5
IL-10,IL,10,Midwest,Suburban,High,High,Low,Medium,,25.9,22.0
IL-11,IL,11,Midwest,Suburban,High,High,Low,Medium,,15.300000000000004,11.4
IL-12,IL,12,Midwest,Rural,Low,Very High,Low,Low,,-42.8,-43.5
IL-13,IL,13,Midwest,Mixed,Medium,High,Medium,Low,,11.199999999999996,10.7
IL-14,IL,14,Midwest,Exurban,Medium,High,Medium,Medium,,11.400000000000006,5.2
IL-15,IL,15,Midwest,Rural,Medium,Very High,Low,Low,,-38.699999999999996,-39.9
IL-16,IL,16,Midwest,Rural,Medium,Very High,Low,Low,,-21.5,-22.7
IL-17,IL,17,Midwest,Mixed,Low,High,Medium,Low,,7.800000000000004,4.8
IN-1,IN,1,Midwest,Suburban,Medium,Very High,Medium,Low,,8.399999999999999,0.3
IN-2,IN,2,Midwest,Exurban,Low,Very High,Low,Low,,-22.6,-26.4
IN-3,IN,3,Midwest,Rural,Low,Very High,Low,Low,,-29.9,-31.6
IN-4,IN,4,Midwest,Rural,Medium,Very High,Low,Low,,-29.1,-29.7
IN-5,IN,5,Midwest,Suburban,High,Very High,Low,Low,,-16.0,-16.7
IN-6,IN,6,Midwest,Rural,Medium,Very High,Low,Low,,-31.900000000000006,-33.1
IN-7,IN,7,Midwest,Urban,Medium,Medium,High,Low,,42.4,41.4
IN-8,IN,8,Midwest,Rural,Low,Very High,Low,Low,,-32.8,-36.5
IN-9,IN,9,Midwest,Rural,Low,Very High,Low,Low,,-27.4,-30.4
IA-1,IA,1,Midwest,Mixed,Medium,Very High,Low,Low,,-2.8999999999999986,-8.5
IA-2,IA,2,Midwest,Mixed,Medium,Very High,Low,Low,,-4.400000000000006,-10.0
IA-3,IA,3,Midwest,Mixed,Medium,Very High,Low,Low,,-0.4000000000000057,-4.4
IA-4,IA,4,Midwest,Rural,Low,Very High,Low,Low,,-25.9,-31.5
KS-1,KS,1,Great Plains,Rural,Medium,Very High,Low,Low,,-29.6,-31.3
KS-2,KS,2,Great Plains,Mixed,Medium,High,Low,Low,,-16.299999999999997,-19.7
KS-3,KS,3,Great Plains,Suburban,Very High,Very High,Low,Low,,4.5,4.1
KS-4,KS,4,Great Plains,Rural,Medium,High,Low,Low,,-21.700000000000003,-23.3
KY-1,KY,1,Appalachia,Rural,Low,Very High,Low,Low,,-42.699999999999996,-47.3
KY-2,KY,2,Appalachia,Rural,Low,Very High,Low,Low,,-36.50000000000001,-41.3
KY-3,KY,3,Appalachia,Urban,Medium,High,Medium,Low,,22.300000000000004,18.9
KY-4,KY,4,Appalachia,Rural,Medium,Very High,Low,Low,,-32.7,-35.5
KY-5,KY,5,Appalachia,Rural,Low,Very High,Low,Low,,-59.3,-63.9
KY-6,KY,6,Appalachia,Rural,Medium,Very High,Low,Low,,-11.0,-15.0
LA-1,LA,1,Deep South,Exurban,,,,,,-39.2,-38.4
LA-2,LA,2,Deep South,Urban,,,,,,52.3,47.699999999999996
LA-3,LA,3,Deep South,Rural,,,,,,-32.3,-36.2
LA-4,LA,4,Deep South,Rural,,,,,,-29.900000000000006,-34.2
LA-5,LA,5,Deep South,Rural,,,,,,-29.0,-34.00000000000001
LA-6,LA,6,Deep South,Rural,,,,,,-32.099999999999994,-31.799999999999997
ME-1,ME,1,Northeast,Urban,High,Very High,Low,Low,,22.799999999999997,21.8
ME-2,ME,2,Northeast,Rural,Medium,Very High,Low,Low,,-6.100000000000001,-9.5
MD-1,MD,1,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-14.399999999999999,-16.8
MD-2,MD,2,Mid-Atlantic,Mixed,High,High,Medium,Low,,20.6,18.3
MD-3,MD,3,Mid-Atlantic,Mixed,Very High,Medium,Medium,Low,,25.300000000000004,23.5
MD-4,MD,4,Mid-Atlantic,Urban,Medium,Low,Very High,Medium,,80.60000000000001,73.2
MD-5,MD,5,Mid-Atlantic,Mixed,High,Medium,High,Low,,36.3,33.1
MD-6,MD,6,Mid-Atlantic,Mixed,High,High,Medium,Low,,9.800000000000004,5.7
MD-7,MD,7,Mid-Atlantic,Urban,Medium,Low,Very High,Low,,63.1,58.6
MD-8,MD,8,Mid-Atlantic,Suburban,Very High,Medium,Medium,Medium,,62.10000000000001,55.8
MA-1,MA,1,Northeast,Mixed,Medium,High,Low,Medium,,21.6,13.8
MA-2,MA,2,Northeast,Mixed,High,High,Low,Low,,30.700000000000003,23.6
MA-3,MA,3,Northeast,Mixed,High,High,Low,Medium,,27.299999999999997,18.8
MA-4,MA,4,Northeast,Mixed,High,Very High,Low,Low,,28.299999999999997,19.6
MA-5,MA,5,Northeast,Mixed,Very High,High,Low,Low,,50.900000000000006,44.9
MA-6,MA,6,Northeast,Suburban,Very High,Very High,Low,Low,,27.4,20.6
MA-7,MA,7,Northeast,Urban,High,Low,Medium,Medium,,72.2,62.7
MA-8,MA,8,Northeast,Suburban,Very High,High,Medium,Low,,35.3,26.2
MA-9,MA,9,Northeast,Suburban,High,Very High,Low,Low,,18.1,10.7
MI-1,MI,1,Midwest,Rural,Medium,Very High,Low,Low,,-19.800000000000004,-21.2
MI-2,MI,2,Midwest,Rural,Low,Very High,Low,Low,,-28.200000000000003,-29.9
MI-3,MI,3,Midwest,Suburban,High,High,Medium,Low,,8.5,7.8
MI-4,MI,4,Midwest,Mixed,Medium,Very High,Low,Low,,-4.0,-5.7
MI-5,MI,5,Midwest,Mixed,Low,Very High,Low,Low,,-24.1,-27.1
MI-6,MI,6,Midwest,Mixed,Very High,High,Medium,Low,,26.700000000000003,23.2
MI-7,MI,7,Midwest,Suburban,High,Very High,Low,Low,,0.8999999999999986,-1.3
MI-8,MI,8,Midwest,Suburban,Low,Very High,Medium,Low,,2.0999999999999943,-2.0
MI-9,MI,9,Midwest,Rural,Medium,Very High,Low,Low,,-29.4,-32.3
MI-10,MI,10,Midwest,Mixed,Medium,High,Medium,Low,,-1.0,-6.5
MI-11,MI,11,Midwest,Mixed,Medium,High,Medium,Low,,19.9,16.1
MI-12,MI,12,Midwest,Urban,Medium,Medium,Very High,Low,,48.5,37.7
MI-13,MI,13,Midwest,Urban,Low,Low,Very High,Low,,49.6,41.4
MN-1,MN,1,Midwest,Rural,Medium,Very High,Low,Low,,-9.199999999999996,-12.0
MN-2,MN,2,Midwest,Suburban,High,Very High,Low,Low,,7.199999999999996,5.8
MN-3,MN,3,Midwest,Suburban,Very High,High,Low,Low,,20.9,21.3
MN-4,MN,4,Midwest,Urban,High,High,Medium,Low,,37.49999999999999,35.7
MN-5,MN,5,Midwest,Urban,Very High,High,Medium,Low,,62.9,61.9
MN-6,MN,6,Midwest,Exurban,Medium,Very High,Low,Low,,-17.6,-19.7
MN-7,MN,7,Midwest,Rural,Low,Very High,Low,Low,,-33.199999999999996,-36.5
MN-8,MN,8,Midwest,Rural,Medium,Very High,Low,Low,,-11.200000000000003,-14.3
MS-1,MS,1,Deep South,Rural,Low,High,High,Low,,-31.699999999999996,-37.0
MS-2,MS,2,Deep South,Rural,Low,Low,Very High,Low,,26.1,20.4
MS-3,MS,3,Deep South,Rural,Medium,High,High,Low,,-24.299999999999997,-29.2
MS-4,MS,4,Deep South,Rural,Low,High,High,Low,,-37.900000000000006,-42.5
MO-1,MO,1,Midwest,Urban,Medium,Low,High,Low,,58.8,57.5
MO-2,MO,2,Midwest,Rural,High,Very High,Low,Low,,-11.100000000000001,-11.3
MO-3,MO,3,Midwest,Rural,High,Very High,Low,Low,,-18.400000000000006,-19.9
MO-4,MO,4,Midwest,Rural,Medium,Very High,Low,Low,,-18.799999999999997,-21.0
MO-5,MO,5,Midwest,Rural,Low,High,Medium,Low,,-14.200000000000003,-18.3
MO-6,MO,6,Midwest,Rural,Medium,Very High,Low,Low,,-24.799999999999997,-26.6
MO-7,MO,7,Midwest,Rural,Medium,Very High,Low,Low,,-41.4,-42.6
MO-8,MO,8,Midwest,Rural,Low,Very High,Low,Low,,-51.300000000000004,-53.8
MT-1,MT,1,Mountain West,Rural,High,Very High,Low,Low,,-7.200000000000003,-11.5
MT-2,MT,2,Mountain West,Rural,Medium,Very High,Low,Low,,-26.900000000000006,-29.5
NE-1,NE,1,Great Plains,Rural,Medium,Very High,Low,Low,,-11.0,-13.1
NE-2,NE,2,Great Plains,Suburban,High,High,Medium,Low,,6.400000000000006,4.6
NE-3,NE,3,Great Plains,Rural,Low,Very High,Low,Low,,-51.800000000000004,-53.8
NV-1,NV,1,Mountain West,Mixed,Low,Low,Medium,High,,8.5,2.3
NV-2,NV,2,Mountain West,Rural,Medium,High,Medium,Medium,,-11.0,-14.0
NV-3,NV,3,Mountain West,Mixed,Medium,Medium,Medium,Medium,,6.699999999999996,-0.7
NV-4,NV,4,Mountain West,Mixed,Low,Low,Medium,High,,8.200000000000003,2.8
NH-1,NH,1,Northeast,Mixed,High,Very High,Low,Low,,6.0,2.0
NH-2,NH,2,Northeast,Mixed,High,Very High,Low,Low,,8.899999999999999,3.6
NJ-1,NJ,1,Mid-Atlantic,Mixed,Medium,High,Medium,Low,,24.4,18.7
NJ-2,NJ,2,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-5.0,-12.6
NJ-3,NJ,3,Mid-Atlantic,Mixed,High,High,Medium,Low,,14.100000000000001,8.4
NJ-4,NJ,4,Mid-Atlantic,Mixed,High,Very High,Low,Low,,-22.5,-30.1
NJ-5,NJ,5,Mid-Atlantic,Mixed,Very High,High,Low,Low,,12.399999999999999,1.8
NJ-6,NJ,6,Mid-Atlantic,Suburban,High,Low,Medium,Medium,,19.700000000000003,6.4
NJ-7,NJ,7,Mid-Atlantic,Suburban,Very High,High,Low,Low,,3.6000000000000014,-1.2
NJ-8,NJ,8,Mid-Atlantic,Urban,High,Low,Medium,High,,44.800000000000004,24.2
NJ-9,NJ,9,Mid-Atlantic,Suburban,Medium,Low,Medium,High,,19.0,-1.1
NJ-10,NJ,10,Mid-Atlantic,Urban,Medium,Low,Very High,Medium,,62.60000000000001,50.8
NJ-11,NJ,11,Mid-Atlantic,Suburban,Very High,High,Low,Medium,,16.799999999999997,8.7
NJ-12,NJ,12,Mid-Atlantic,Urban,Very High,Low,Medium,Medium,,34.3,23.9
NM-1,NM,1,Southwest,Mixed,High,Medium,Low,High,,14.399999999999999,12.9
NM-2,NM,2,Southwest,Rural,Low,Low,Low,Very High,,5.899999999999999,-1.9
NM-3,NM,3,Southwest,Mixed,Low,Low,Low,High,,10.699999999999996,4.8
NY-1,NY,1,Mid-Atlantic,Exurban,High,High,Low,Low,,-1.8000000000000043,-10.1
NY-2,NY,2,Mid-Atlantic,Exurban,High,Medium,Medium,Medium,,-2.3999999999999986,-13.9
NY-3,NY,3,Mid-Atlantic,Suburban,Very High,Medium,Low,Low,,11.299999999999997,-4.3
NY-4,NY,4,Mid-Atlantic,Suburban,High,Medium,Medium,Medium,,14.5,1.3
NY-5,NY,5,Mid-Atlantic,Urban,Medium,Low,Very High,Medium,,62.4,42.2
NY-6,NY,6,Mid-Atlantic,Urban,High,Low,Low,Medium,,29.299999999999997,6.4
NY-7,NY,7,Mid-Atlantic,Urban,High,Low,Medium,High,,60.10000000000001,45.9
NY-8,NY,8,Mid-Atlantic,Urban,Medium,Low,Very High,Medium,,55.400000000000006,44.0
NY-9,NY,9,Mid-Atlantic,Urban,Medium,Low,Very High,Low,,52.099999999999994,40.6
NY-10,NY,10,Mid-Atlantic,Urban,Very High,Medium,Low,Medium,,70.4,60.4
NY-11,NY,11,Mid-Atlantic,Suburban,High,Medium,Low,Medium,,-7.600000000000001,-24.4
NY-12,NY,12,Mid-Atlantic,Urban,Very High,High,Low,Low,,71.1,63.6
NY-13,NY,13,Mid-Atlantic,Urban,Medium,Low,High,Very High,,76.9,59.3
NY-14,NY,14,Mid-Atlantic,Urban,Medium,Low,Medium,Very High,,55.0,31.8
NY-15,NY,15,Mid-Atlantic,Urban,Low,Low,High,Very High,,70.39999999999999,48.3
NY-16,NY,16,Northeast,Suburban,Very High,Low,High,Medium,,44.599999999999994,33.1
NY-17,NY,17,Northeast,Suburban,Very High,High,Low,Medium,,10.100000000000001,0.6
NY-18,NY,18,Northeast,Exurban,Medium,High,Low,Medium,,9.100000000000001,3.3
NY-19,NY,19,Northeast,Exurban,Medium,Very High,Low,Low,,4.399999999999999,1.8
NY-20,NY,20,Northeast,Urban,High,High,Medium,Low,,19.1,14.200000000000003
NY-21,NY,21,Northeast,Rural,Low,Very High,Low,Low,,-15.699999999999996,-20.7
NY-22,NY,22,Northeast,Mixed,High,Very High,Low,Low,,11.299999999999997,7.7
NY-23,NY,23,Northeast,Rural,Medium,Very High,Low,Low,,-18.1,-21.0
NY-24,NY,24,Northeast,Rural,Low,Very High,Low,Low,,-20.199999999999996,-23.1
NY-25,NY,25,Northeast,Mixed,High,High,Medium,Low,,20.5,18.4
NY-26,NY,26,Northeast,Urban,High,High,Medium,Low,,25.1,19.3
NC-1,NC,1,Mid-Atlantic,Rural,Low,Medium,High,Low,,-6.899999999999999,-11.6
NC-2,NC,2,Mid-Atlantic,Urban,Very High,Medium,Medium,Low,,35.300000000000004,34.3
NC-3,NC,3,Mid-Atlantic,Rural,Low,Medium,High,Low,,-8.299999999999997,-13.6
NC-4,NC,4,Mid-Atlantic,Urban,Very High,Medium,Medium,Low,,46.0,45.3
NC-5,NC,5,Mid-Atlantic,Rural,Low,High,Medium,Low,,-15.399999999999999,-17.8
NC-6,NC,6,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-16.299999999999997,-17.0
NC-7,NC,7,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-11.0,-13.8
NC-8,NC,8,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-17.700000000000003,-19.6
NC-9,NC,9,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-13.800000000000004,-15.8
NC-10,NC,10,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-16.0,-17.7
NC-11,NC,11,Appalachia,Rural,Medium,Very High,Low,Low,,-11.0,-9.5
NC-12,NC,12,Mid-Atlantic,Urban,High,Low,High,Medium,,49.99999999999999,46.2
NC-13,NC,13,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-17.199999999999996,-16.8
NC-14,NC,14,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-16.1,-15.1
ND-AL,ND,AL,Great Plains,Rural,Medium,Very High,Low,Low,,-33.3,-36.8
OH-1,OH,1,Midwest,Suburban,High,High,Medium,Low,,0.19999999999999574,-2.5
OH-2,OH,2,Midwest,Rural,Low,Very High,Low,Low,,-39.599999999999994,-42.1
OH-3,OH,3,Midwest,Urban,High,Medium,Medium,Low,,43.699999999999996,40.2
OH-4,OH,4,Midwest,Rural,Low,Very High,Low,Low,,-40.400000000000006,-42.6
