cycle,race_id,district_id,state,district,actual_dem_margin,actual_winner,model_margin_dem,total_error_sd_used,party_control_fixed,held_out_cycle,training_bias_dem,loo_corrected_margin_dem,raw_margin_error,corrected_margin_error
2016,AZ-4,AZ-4,AZ,4,-42.9067044,R,-34.356666667000006,3.553167600887974,,2016,3.6374554460122592,-37.99412211301227,8.550037732999996,4.912582286987735
2016,AZ-5,AZ-5,AZ,5,-28.19032625,R,-27.356666667,3.553167600887974,,2016,3.6374554460122592,-30.99412211301226,0.8336595829999993,-2.8037958630122617
2016,AZ-6,AZ-6,AZ,6,-24.26058118,R,-18.856666667,3.553167600887974,,2016,3.6374554460122592,-22.49412211301226,5.403914513,1.7664590669877391
2016,AZ-7,AZ-7,AZ,7,50.48705694,D,47.043333333,3.553167600887974,,2016,3.6374554460122592,43.40587788698774,-3.4437236070000026,-7.081179053012264
2016,AZ-8,AZ-8,AZ,8,-68.54912349,R,-22.956666667,3.553167600887974,,2016,3.6374554460122592,-26.59412211301226,45.592456823,41.95500137698774
2016,AZ-9,AZ-9,AZ,9,21.87512387,D,6.343333333,3.553167600887974,,2016,3.6374554460122592,2.705877886987741,-15.531790537,-19.16924598301226
2016,CA-1,CA-1,CA,1,-18.10620438,R,-14.456666667,3.553167600887974,,2016,3.6374554460122592,-18.09412211301226,3.649537713000001,0.012082266987739843
2016,CA-10,CA-10,CA,10,-3.400914817,R,5.443333333,3.553167600887974,,2016,3.6374554460122592,1.8058778869877408,8.84424815,5.206792703987741
2016,CA-11,CA-11,CA,11,44.10564403,D,39.443333333,3.553167600887974,,2016,3.6374554460122592,35.80587788698774,-4.662310697000002,-8.299766143012263
2016,CA-12,CA-12,CA,12,80.87326064,D,73.443333333,3.553167600887974,,2016,3.6374554460122592,69.80587788698774,-7.429927307,-11.067382753012254
2016,CA-13,CA-13,CA,13,81.56910964,D,80.343333333,3.553167600887974,,2016,3.6374554460122592,76.70587788698775,-1.2257763069999896,-4.8632317530122435
2016,CA-14,CA-14,CA,14,61.72625302,D,52.443333333,3.553167600887974,,2016,3.6374554460122592,48.80587788698774,-9.282919687000003,-12.920375133012264
2016,CA-15,CA-15,CA,15,47.53359064,D,40.043333333,3.553167600887974,,2016,3.6374554460122592,36.40587788698774,-7.490257307,-11.127712753012261
2016,CA-16,CA-16,CA,16,16.06968492,D,21.043333333,3.553167600887974,,2016,3.6374554460122592,17.40587788698774,4.973648412999999,1.3361929669877384
2016,CA-17,CA-17,CA,17,61.00895399,D,48.243333332999995,3.553167600887974,D,2016,3.6374554460122592,44.605877886987734,-12.765620657000007,-16.403076103012268
2016,CA-18,CA-18,CA,18,42.29000093,D,41.143333332999994,3.553167600887974,,2016,3.6374554460122592,37.50587788698773,-1.146667597000004,-4.784123043012265
2016,CA-19,CA-19,CA,19,47.88886494,D,46.543333333,3.553167600887974,,2016,3.6374554460122592,42.90587788698774,-1.345531606999998,-4.982987053012259
2016,CA-2,CA-2,CA,2,53.70019893,D,43.843333333,3.553167600887974,,2016,3.6374554460122592,40.205877886987736,-9.856865597000002,-13.494321043012263
2016,CA-20,CA-20,CA,20,41.50615151,D,46.543333333,3.553167600887974,,2016,3.6374554460122592,42.90587788698774,5.037181822999997,1.3997263769877364
2016,CA-21,CA-21,CA,21,-13.4765271,R,12.943333333,3.553167600887974,,2016,3.6374554460122592,9.30587788698774,26.419860433,22.782404986987743
2016,CA-22,CA-22,CA,22,-35.13018905,R,-13.156666667,3.553167600887974,,2016,3.6374554460122592,-16.794122113012257,21.973522383,18.33606693698774
2016,CA-23,CA-23,CA,23,-38.35022187,R,-23.556666667,3.553167600887974,,2016,3.6374554460122592,-27.194122113012256,14.793555203,11.156099756987743
2016,CA-24,CA-24,CA,24,6.838173313,D,12.843333333,3.553167600887974,,2016,3.6374554460122592,9.205877886987741,6.00516002,2.3677045739877407
