replay_spec,probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
canonical_fixed_6_5,10–20%,0.1,0.2,27,0.1502194598811179,0.0,0.1502194598811179,0.023451270133372844
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,24,0.24625279726494145,0.125,0.12125279726494145,0.11840524086820144
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,18,0.35504583109680676,0.16666666666666666,0.1883791644301401,0.16923034040254484
canonical_fixed_6_5,40–50%,0.4,0.5,16,0.4318222751310859,0.125,0.3068222751310859,0.20751080110377712
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,11,0.5373601525051294,0.45454545454545453,0.08281469795967483,0.2556893830520222
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,10,0.6440780469618531,0.9,-0.2559219530381469,0.166281305079463
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,15,0.7448114452901748,0.9333333333333333,-0.1885218880431585,0.09381971099092468
canonical_fixed_6_5,80–90%,0.8,0.9,19,0.8508931178105009,0.8947368421052632,-0.04384372429476224,0.09206485934506241
canonical_fixed_6_5,90–100%,0.9,1.0,145,0.9841219030798929,1.0,-0.01587809692010711,0.0008204337452180477
production_election_day_v1,0–10%,0.0,0.1,124,0.012493605105740827,0.016129032258064516,-0.0036354271523236885,0.016424794983075263
production_election_day_v1,10–20%,0.1,0.2,29,0.14928603896661202,0.034482758620689655,0.11480328034592237,0.0464781861665428
production_election_day_v1,20–30%,0.2,0.30000000000000004,14,0.25798970830373913,0.21428571428571427,0.043703994018024855,0.1733591938082428
production_election_day_v1,30–40%,0.30000000000000004,0.4,16,0.36055053041274326,0.25,0.11055053041274326,0.18992718810561432
production_election_day_v1,40–50%,0.4,0.5,10,0.42750394785366846,0.0,0.42750394785366846,0.18330405156260274
production_election_day_v1,50–60%,0.5,0.6000000000000001,11,0.5478172388744131,0.45454545454545453,0.0932717843289586,0.25789688430856933
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,8,0.6692694408161257,1.0,-0.3307305591838743,0.10979510444414423
production_election_day_v1,70–80%,0.7000000000000001,0.8,11,0.7702989987313766,0.8181818181818182,-0.047882819450441594,0.14514012161889922
production_election_day_v1,80–90%,0.8,0.9,10,0.8589179656444086,0.9,-0.041082034355591435,0.09667411835214726
production_election_day_v1,90–100%,0.9,1.0,160,0.9905229655099397,0.99375,-0.003227034490060343,0.005730138337254838
canonical_fixed_6_5,0–10%,0.0,0.1,115,0.027003893968972233,0.0,0.027003893968972233,0.0015341765148448572
canonical_fixed_6_5,10–20%,0.1,0.2,33,0.15916583813607987,0.0,0.15916583813607987,0.026202234745130174
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,16,0.2540248053303391,0.0,0.2540248053303391,0.06514301916009033
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,22,0.34485227112464756,0.09090909090909091,0.2539431802155566,0.14869986032655774
canonical_fixed_6_5,40–50%,0.4,0.5,11,0.4552571896294033,0.45454545454545453,0.0007117350839487835,0.23858925501271758
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,9,0.5557140586272041,0.5555555555555556,0.00015850307164855248,0.23837575766287689
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,11,0.65508709737853,0.9090909090909091,-0.25400381171237907,0.14268974670842519
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,13,0.7603159681650573,0.8461538461538461,-0.08583787798878884,0.13784065539409515
canonical_fixed_6_5,80–90%,0.8,0.9,17,0.8509223214108073,0.7647058823529411,0.08621643905786613,0.18471378425861656
canonical_fixed_6_5,90–100%,0.9,1.0,160,0.9846989318886493,0.98125,0.0034489318886493647,0.01839609492487833
