race_id,shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,layer_2_margin_dem,candidate_war_adjustment_dem,war_adjusted_margin_dem,actual_dem_margin,layer_2_absolute_error,war_adjusted_absolute_error,absolute_error_change
NC-2,0.7,1.0,1.0,0.0,4.0,28.663333333333334,-0.105,28.558333333333334,29.35506953935477,0.6917362060214352,0.7967362060214356,0.10500000000000043
NC-3,0.7,1.0,1.0,0.0,4.0,-29.536666666666665,0.7,-28.836666666666666,-33.805816037091496,4.269149370424831,4.96914937042483,0.6999999999999993
NC-4,0.7,1.0,1.0,0.0,4.0,32.96333333333333,0.0,32.96333333333333,33.81350261645363,0.8501692831203016,0.8501692831203016,0.0
NC-5,0.7,1.0,1.0,0.0,4.0,-25.436666666666667,1.5544117647058824,-23.882254901960785,-26.305359793621285,0.8686931269546179,2.4231048916605005,1.5544117647058826
NC-6,0.7,1.0,1.0,0.0,4.0,12.263333333333334,0.01346153846153844,12.276794871794872,8.848716978509486,3.4146163548238473,3.4280778932853853,0.01346153846153797
NC-7,0.7,1.0,1.0,0.0,4.0,-16.836666666666666,0.6979411764705882,-16.138725490196077,-15.416735556814144,1.4199311098525218,0.7219899333819324,-0.6979411764705894
NC-8,0.7,1.0,1.0,0.0,4.0,-38.23666666666667,1.9599999999999997,-36.27666666666667,-39.82142178654204,1.5847551198753678,3.5447551198753686,1.9600000000000009
NC-9,0.7,1.0,1.0,0.0,4.0,-12.136666666666667,1.216764705882353,-10.919901960784314,-13.002514452730438,0.865847786063771,2.082612491946124,1.216764705882353
NC-10,0.7,1.0,1.0,0.0,4.0,-43.63666666666667,1.6429411764705881,-41.993725490196084,-45.30344099892993,1.6667743322632589,3.309715508733845,1.6429411764705861
NC-11,0.7,1.0,1.0,0.0,4.0,-12.336666666666666,0.0,-12.336666666666666,-9.282459433426364,3.0542072332403016,3.0542072332403016,0.0
NC-12,0.7,1.0,1.0,0.0,4.0,30.063333333333333,-1.2172222222222222,28.84611111111111,25.492613037497545,4.5707202958357875,3.353498073613565,-1.2172222222222224
NC-13,0.7,1.0,1.0,0.0,4.0,-0.4366666666666672,0.0,-0.4366666666666672,3.185191060985195,3.6218577276518626,3.6218577276518626,0.0
NC-14,0.7,1.0,1.0,0.0,4.0,14.263333333333332,0.0,14.263333333333332,15.411713585151618,1.1483802518182866,1.1483802518182866,0.0
NE-1,0.7,1.0,1.0,0.0,4.0,-15.236666666666666,0.0,-15.236666666666666,-15.821029283265744,0.5843626165990781,0.5843626165990781,0.0
NE-2,0.7,1.0,1.0,0.0,4.0,2.163333333333332,-1.2621875,0.9011458333333322,-2.6682462295530143,4.831579562886347,3.5693920628863465,-1.2621875000000005
NE-3,0.7,1.0,1.0,0.0,4.0,-55.93666666666667,-0.7275,-56.66416666666667,-62.50861474844935,6.571948081782679,5.84444808178268,-0.7274999999999991
