house_environment_multiplier,mean_cycle_winner_accuracy,mean_cycle_winner_error_rate,mean_cycle_brier_score,mean_cycle_absolute_expected_seat_error,mean_cycle_expected_seat_error_rate,mean_cycle_absolute_deterministic_seat_error,mean_cycle_deterministic_seat_error_rate,mean_cycle_margin_mae,mean_cycle_margin_rmse,mean_cycle_margin_bias_dem,cycles,winner_error_rate_normalized_penalty,brier_score_normalized_penalty,expected_seat_error_rate_normalized_penalty,deterministic_seat_error_rate_normalized_penalty,margin_mae_normalized_penalty,majority_composite_score,composite_rank,winner_accuracy_rank,brier_rank,expected_seat_error_rank,deterministic_seat_error_rank,margin_mae_rank
0.85,0.9421300172974169,0.05786998270258312,0.04460150286317349,8.772926224632208,0.022873852624984488,7.25,0.01870243363252822,6.085785020816728,7.9730569824977335,0.4739550022701694,4,0.48623882521408357,0.12118691326166928,0.05976073108835886,0.24202509025891056,0.14100783582764348,0.2557866186882371,21,21,21,18,21,26
0.84,0.9421300172974169,0.05786998270258312,0.04463099073877821,8.763204745518038,0.022853584428890766,7.25,0.01870243363252822,6.082501952439529,7.9701423636747295,0.44358000227016886,4,0.48623882521408357,0.13482576434282925,0.0561038705284383,0.24202509025891056,0.11838444626954835,0.2573337898686382,22,21,22,17,21,24
0.83,0.9414938849818952,0.05850611501810474,0.04466200931344128,8.753463808424918,0.022833260231014778,7.5,0.019338565948049852,6.079493918128654,7.967475490384903,0.4132050022701693,4,0.539643890166189,0.14917260052223405,0.05243690592630743,0.29076542263663296,0.09765629680679586,0.28515352110982084,23,23,23,16,23,22
0.82,0.9414938849818952,0.05850611501810474,0.0446945522453894,8.743703077309142,0.022812879186305597,7.5,0.019338565948049852,6.076874038619232,7.965056635664793,0.3828300022701693,4,0.539643890166189,0.16422448857732838,0.04875968481485056,0.29076542263663296,0.07960289434081398,0.287278378778004,24,23,24,15,23,20
0.81,0.9414938849818952,0.05850611501810474,0.04472861316295267,8.73392268117265,0.02279244159837234,7.5,0.019338565948049852,6.074495612469234,7.9628860467794045,0.35245500227016935,4,0.539643890166189,0.17997848145767106,0.04507226197231239,0.29076542263663296,0.06321332971881052,0.28965991419848186,25,23,25,14,23,18
0.8,0.9414938849818952,0.05850611501810474,0.04476418566433077,8.724122230973755,0.022771946517037615,7.5,0.019338565948049852,6.072448126684922,7.960963945330278,0.3220800022701697,4,0.539643890166189,0.1964316181767717,0.04137446596428283,0.29076542263663296,0.049104251505619666,0.2923281852659915,26,23,26,13,23,16
0.79,0.9414938849818952,0.05850611501810474,0.04480126332027587,8.714300471836324,0.022751390867887463,7.5,0.019338565948049852,6.070695189818565,7.95929052735306,0.2917050022701698,4,0.539643890166189,0.2135809250530135,0.03766574209398035,0.29076542263663296,0.037024888835701424,0.2952697990774956,27,23,27,12,23,14
0.78,0.9414938849818952,0.05850611501810474,0.04483983967183988,8.704458754598278,0.022730777976870092,7.5,0.019338565948049852,6.069215677856549,7.957865963403527,0.26133000227016956,4,0.539643890166189,0.2314234146676911,0.03394669044089743,0.29076542263663296,0.026829677640894407,0.2984768505908081,28,23,28,10,23,13
0.77,0.9414938849818952,0.05850611501810474,0.04487990823445384,8.694597107828343,0.022710107921633194,7.5,0.019338565948049852,6.0680375072877375,7.9566903986311,0.2309550022701694,4,0.539643890166189,0.24995608775182948,0.03021732501450857,0.29076542263663296,0.018710988450860274,0.3019582113170632,29,23,29,9,23,11
0.76,0.9408796343676447,0.05912036563235534,0.04492146249732885,8.684715064995899,0.022689379557920046,7.75,0.019952816562300465,6.0672013287953765,7.955763952839073,0.20058000227016973,4,0.5912119258570425,0.26917593290910313,0.02647743936391638,0.3378291833846545,0.012948942218695456,0.33083546976865685,30,31,30,8,30,9
0.75,0.9408796343676447,0.05912036563235534,0.044964495925761905,8.674812061368506,0.022668591461371963,7.75,0.019952816562300465,6.066573032485929,7.955086720530827,0.1702050022701696,4,0.5912119258570425,0.2890799276823439,0.022726776501223178,0.3378291833846545,0.008619397252386024,0.33484485864111296,31,31,31,7,30,7
0.74,0.9408796343676447,0.05912036563235534,0.04500900195974345,8.664888643623016,0.022647745035994045,7.75,0.019952816562300465,6.066041917141007,7.95465877094145,0.1398300022701699,4,0.5912119258570425,0.3096650379094873,0.01896558974205957,0.3378291833846545,0.004959519367450172,0.3390559049518193,32,31,32,6,30,5
0.73,0.9408796343676447,0.05912036563235534,0.045054974017001266,8.654944728517322,0.022626840083289326,7.75,0.019952816562300465,6.065522330796086,7.954480148054328,0.1094550022701692,4,0.5912119258570425,0.3309282191314547,0.015193843272891862,0.3378291833846545,0.0013790869975839992,0.34343832934498425,33,31,33,5,30,3
