cycle,state,districts,winner_accuracy,mean_margin_error_dem_bias,mean_abs_margin_error,actual_dem_wins,predicted_dem_wins,expected_dem_wins,tested_environment_multiplier,tested_total_error_sd
2022,OH,2,1.0,-2.3499999999999996,2.3499999999999996,2,2,1.1637669432866535,0.75,8.5
2022,OR,1,0.0,8.8,8.8,0,1,0.687452288468438,0.75,8.5
2022,PA,1,1.0,-1.9999999999999996,1.9999999999999996,1,1,0.5,0.75,8.5
2022,TX,1,1.0,5.1,5.1,1,1,0.8320183851339245,0.75,8.5
2022,VA,1,0.0,5.6,5.6,0,1,0.549833997312478,0.75,8.5
2022,WA,1,0.0,-6.1,6.1,1,0,0.348979168012589,0.75,8.5
2018,CA,4,0.25,-5.500000000000002,5.500000000000002,4,1,2.0099446809089208,0.75,9.5
2018,GA,1,1.0,2.4499999999999993,2.4499999999999993,1,1,0.5898046558061038,0.75,9.5
2018,IA,2,1.0,-1.4500000000000006,1.4500000000000006,2,2,1.1150977120904604,0.75,9.5
2018,KS,1,1.0,-3.55,3.55,1,1,0.6564171975857751,0.75,9.5
2018,ME,1,0.0,-6.350000000000001,6.350000000000001,1,0,0.362817099131613,0.75,9.5
2018,MI,1,0.0,-8.25,8.25,1,0,0.454077155343059,0.75,9.5
2018,NJ,3,1.0,2.849999999999999,6.949999999999999,3,3,1.9663805138576165,0.75,9.5
2018,NM,1,1.0,-1.95,1.95,0,0,0.4025775243556063,0.75,9.5
2018,NY,1,0.0,-5.95,5.95,1,0,0.4514690602546954,0.75,9.5
2018,OK,1,0.0,-7.350000000000001,7.350000000000001,1,0,0.3483463899975973,0.75,9.5
2018,PA,1,0.0,5.449999999999999,5.449999999999999,0,1,0.574442516811659,0.75,9.5
2018,SC,1,0.0,-7.050000000000001,7.050000000000001,1,0,0.3555487423787064,0.75,9.5
2018,TX,1,1.0,-1.3500000000000014,1.3500000000000014,1,1,0.5923489127101018,0.75,9.5
2018,VA,1,0.0,-3.5500000000000007,3.5500000000000007,1,0,0.4593007724277272,0.75,9.5
2022,AK,1,0.0,-20.299999999999997,20.299999999999997,1,0,0.2547030808007765,0.75,9.5
2022,AZ,2,1.0,-0.5999999999999995,0.5999999999999995,0,0,0.8925227358387207,0.75,9.5
2022,CA,3,0.0,13.1,13.1,0,3,2.1637725305143607,0.75,9.5
2022,CO,1,1.0,-11.7,11.7,0,0,0.2222449323556359,0.75,9.5
2022,ME,1,1.0,-0.3999999999999994,0.3999999999999994,0,0,0.3306463526949775,0.75,9.5
2022,MI,1,0.0,5.6000000000000005,5.6000000000000005,0,1,0.5052629635115555,0.75,9.5
2022,NC,1,1.0,0.2000000000000006,0.2000000000000006,0,0,0.4114692861463588,0.75,9.5
2022,NM,1,1.0,3.2,3.2,1,1,0.6012140727844423,0.75,9.5
2022,NY,2,0.0,7.05,7.05,0,2,1.2943963658060662,0.75,9.5
2022,OH,2,1.0,-2.3499999999999996,2.3499999999999996,2,2,1.1472028778371426,0.75,9.5
2022,OR,1,0.0,8.8,8.8,0,1,0.6693536473050224,0.75,9.5
2022,PA,1,1.0,-1.9999999999999996,1.9999999999999996,1,1,0.5,0.75,9.5
2022,TX,1,1.0,5.1,5.1,1,1,0.8071472148456382,0.75,9.5
2022,VA,1,0.0,5.6,5.6,0,1,0.5446178422917288,0.75,9.5
2022,WA,1,0.0,-6.1,6.1,1,0,0.364034716784184,0.75,9.5
2018,CA,4,0.75,-4.640000000000001,4.640000000000001,4,3,2.142767705684414,0.85,6.5
2018,GA,1,1.0,3.3099999999999996,3.3099999999999996,1,1,0.6599512374564582,0.85,6.5
2018,IA,2,1.0,-0.5900000000000003,0.6999999999999997,2,2,1.2304048958656566,0.85,6.5
2018,KS,1,1.0,-2.6899999999999995,2.6899999999999995,1,1,0.7462027333835084,0.85,6.5
2018,ME,1,0.0,-5.490000000000001,5.490000000000001,1,0,0.3338619758852926,0.85,6.5
2018,MI,1,0.0,-7.390000000000001,7.390000000000001,1,0,0.4658226103650226,0.85,6.5
2018,NJ,3,1.0,3.709999999999999,7.236666666666667,3,3,2.2098807710792276,0.85,6.5
2018,NM,1,1.0,-1.0899999999999996,1.0899999999999996,0,0,0.390641766664786,0.85,6.5
2018,NY,1,0.0,-5.09,5.09,1,0,0.4619965144444864,0.85,6.5
2018,OK,1,0.0,-6.49,6.49,1,0,0.3136571178695188,0.85,6.5
2018,PA,1,0.0,6.309999999999999,6.309999999999999,0,1,0.6389406521815875,0.85,6.5
2018,SC,1,0.0,-6.1899999999999995,6.1899999999999995,1,0,0.3236773482188839,0.85,6.5
2018,TX,1,1.0,-0.4900000000000002,0.4900000000000002,1,1,0.6633952422784534,0.85,6.5
2018,VA,1,0.0,-2.6900000000000004,2.6900000000000004,1,0,0.4734864314395917,0.85,6.5
2022,AK,1,0.0,-20.58,20.58,1,0,0.1662684673167798,0.85,6.5
2022,AZ,2,1.0,-0.8799999999999998,0.8799999999999998,0,0,0.8226666108830756,0.85,6.5
2022,CA,3,0.0,12.82,12.82,0,3,2.380517267556465,0.85,6.5
2022,CO,1,1.0,-11.98,11.98,0,0,0.1330973174082049,0.85,6.5
2022,ME,1,1.0,-0.6800000000000006,0.6800000000000006,0,0,0.2546723404152713,0.85,6.5
2022,MI,1,1.0,5.32,5.32,0,0,0.4969231157633322,0.85,6.5
2022,NC,1,1.0,-0.0799999999999996,0.0799999999999996,0,0,0.3621247775887107,0.85,6.5
2022,NM,1,1.0,2.92,2.92,1,1,0.6357403011786119,0.85,6.5
2022,NY,2,0.0,6.7700000000000005,6.7700000000000005,0,2,1.3872358810000789,0.85,6.5
2022,OH,2,1.0,-2.6300000000000003,2.6300000000000003,2,2,1.1905604495600146,0.85,6.5
2022,OR,1,0.0,8.520000000000001,8.520000000000001,0,1,0.7286318690129009,0.85,6.5
2022,PA,1,0.0,-2.28,2.28,1,0,0.4892324342229786,0.85,6.5
2022,TX,1,1.0,4.82,4.82,1,1,0.8858698691526086,0.85,6.5
2022,VA,1,0.0,5.32,5.32,0,1,0.5543992043311003,0.85,6.5
2022,WA,1,0.0,-6.38,6.38,1,0,0.2976608745463676,0.85,6.5
2018,CA,4,0.75,-4.640000000000001,4.640000000000001,4,3,2.1247625439973867,0.85,7.5
2018,GA,1,1.0,3.3099999999999996,3.3099999999999996,1,1,0.6398392853274366,0.85,7.5
2018,IA,2,1.0,-0.5900000000000003,0.6999999999999997,2,2,1.2007345197802597,0.85,7.5
2018,KS,1,1.0,-2.6899999999999995,2.6899999999999995,1,1,0.7180210911536845,0.85,7.5
2018,ME,1,0.0,-5.490000000000001,5.490000000000001,1,0,0.3546487986368757,0.85,7.5
2018,MI,1,0.0,-7.390000000000001,7.390000000000001,1,0,0.4703680976637469,0.85,7.5
2018,NJ,3,1.0,3.709999999999999,7.236666666666667,3,3,2.136881516111961,0.85,7.5
2018,NM,1,1.0,-1.0899999999999996,1.0899999999999996,0,0,0.4048412086521618,0.85,7.5
2018,NY,1,0.0,-5.09,5.09,1,0,0.467047832658105,0.85,7.5
2018,OK,1,0.0,-6.49,6.49,1,0,0.3365589537195237,0.85,7.5
2018,PA,1,0.0,6.309999999999999,6.309999999999999,0,1,0.621205161924392,0.85,7.5
2018,SC,1,0.0,-6.1899999999999995,6.1899999999999995,1,0,0.3455480033743855,0.85,7.5
2018,TX,1,1.0,-0.4900000000000002,0.4900000000000002,1,1,0.642906121361229,0.85,7.5
2018,VA,1,0.0,-2.6900000000000004,2.6900000000000004,1,0,0.4770162089475516,0.85,7.5
2022,AK,1,0.0,-20.58,20.58,1,0,0.1982396121840464,0.85,7.5
2022,AZ,2,1.0,-0.8799999999999998,0.8799999999999998,0,0,0.8459057143953069,0.85,7.5
2022,CA,3,0.0,12.82,12.82,0,3,2.28769246170077,0.85,7.5
2022,CO,1,1.0,-11.98,11.98,0,0,0.1646539598093883,0.85,7.5
2022,ME,1,1.0,-0.6800000000000006,0.6800000000000006,0,0,0.2827894818688596,0.85,7.5
2022,MI,1,1.0,5.32,5.32,0,0,0.4973333586169963,0.85,7.5
2022,NC,1,1.0,-0.0799999999999996,0.0799999999999996,0,0,0.3797365306068928,0.85,7.5
2022,NM,1,1.0,2.92,2.92,1,1,0.6183773712391896,0.85,7.5
2022,NY,2,0.0,6.7700000000000005,6.7700000000000005,0,2,1.3448232513956886,0.85,7.5
2022,OH,2,1.0,-2.6300000000000003,2.6300000000000003,2,2,1.1666346583357745,0.85,7.5
2022,OR,1,0.0,8.520000000000001,8.520000000000001,0,1,0.7018242628085736,0.85,7.5
2022,PA,1,0.0,-2.28,2.28,1,0,0.4906677505649783,0.85,7.5
2022,TX,1,1.0,4.82,4.82,1,1,0.8552022438686094,0.85,7.5
2022,VA,1,0.0,5.32,5.32,0,1,0.5471924414302873,0.85,7.5
2022,WA,1,0.0,-6.38,6.38,1,0,0.3221300738863894,0.85,7.5
2018,CA,4,0.75,-4.640000000000001,4.640000000000001,4,3,2.1107023929501043,0.85,8.5
2018,GA,1,1.0,3.3099999999999996,3.3099999999999996,1,1,0.624116741356557,0.85,8.5
2018,IA,2,1.0,-0.5900000000000003,0.6999999999999997,2,2,1.1777456637729244,0.85,8.5
2018,KS,1,1.0,-2.6899999999999995,2.6899999999999995,1,1,0.6952343542359923,0.85,8.5
2018,ME,1,0.0,-5.490000000000001,5.490000000000001,1,0,0.3709285716253926,0.85,8.5
2018,MI,1,0.0,-7.390000000000001,7.390000000000001,1,0,0.4738474183111563,0.85,8.5
2018,NJ,3,1.0,3.709999999999999,7.236666666666667,3,3,2.076002837270696,0.85,8.5
2018,NM,1,1.0,-1.0899999999999996,1.0899999999999996,0,0,0.4158094770645927,0.85,8.5
2018,NY,1,0.0,-5.09,5.09,1,0,0.4709152243895487,0.85,8.5
2018,OK,1,0.0,-6.49,6.49,1,0,0.354612897804003,0.85,8.5
2018,PA,1,0.0,6.309999999999999,6.309999999999999,0,1,0.6074177219909077,0.85,8.5
2018,SC,1,0.0,-6.1899999999999995,6.1899999999999995,1,0,0.3627312158867817,0.85,8.5
2018,TX,1,1.0,-0.4900000000000002,0.4900000000000002,1,1,0.6268726270168496,0.85,8.5
2018,VA,1,0.0,-2.6900000000000004,2.6900000000000004,1,0,0.4797170192234657,0.85,8.5
2022,AK,1,0.0,-20.58,20.58,1,0,0.2256670656688471,0.85,8.5
2022,AZ,2,1.0,-0.8799999999999998,0.8799999999999998,0,0,0.8637941550047188,0.85,8.5
2022,CA,3,0.0,12.82,12.82,0,3,2.210501992938345,0.85,8.5
2022,CO,1,1.0,-11.98,11.98,0,0,0.1926408284872452,0.85,8.5
2022,ME,1,1.0,-0.6800000000000006,0.6800000000000006,0,0,0.3055139849228503,0.85,8.5
2022,MI,1,1.0,5.32,5.32,0,0,0.4976470761922608,0.85,8.5
