replay_spec,probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
production_election_day_v1,0–10%,0.0,0.1,134,0.014244738384106387,0.0,0.014244738384106387,0.0008063316959632559
production_election_day_v1,10–20%,0.1,0.2,22,0.1357081674168567,0.0,0.1357081674168567,0.019148954794648412
production_election_day_v1,20–30%,0.2,0.30000000000000004,19,0.25017648127894704,0.05263157894736842,0.19754490233157862,0.08696512943604524
production_election_day_v1,30–40%,0.30000000000000004,0.4,12,0.3312918629618453,0.08333333333333333,0.247958529628512,0.1421153831473432
production_election_day_v1,40–50%,0.4,0.5,10,0.44749260628295334,0.5,-0.05250739371704666,0.24476678949494057
production_election_day_v1,50–60%,0.5,0.6000000000000001,6,0.5552826941686172,0.5,0.0552826941686172,0.24212156446154012
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,8,0.6496604512554633,0.75,-0.10033954874453666,0.19148233526343333
production_election_day_v1,70–80%,0.7000000000000001,0.8,9,0.7410636836626975,1.0,-0.2589363163373025,0.06824341189697657
production_election_day_v1,80–90%,0.8,0.9,15,0.8522881193903324,0.7333333333333333,0.11895478605699916,0.20861231262421803
production_election_day_v1,90–100%,0.9,1.0,172,0.9930599349274685,0.9709302325581395,0.022129702369328985,0.028179404029418594
canonical_fixed_6_5,0–10%,0.0,0.1,133,0.023422317939045357,0.0,0.023422317939045357,0.0012112047871745428
canonical_fixed_6_5,10–20%,0.1,0.2,27,0.14539945094776788,0.037037037037037035,0.10836241391073084,0.04906913559916801
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,14,0.24321322650389926,0.14285714285714285,0.10035608364675641,0.13251990220621232
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,10,0.33896991599746296,0.2,0.13896991599746294,0.1894840664690713
canonical_fixed_6_5,40–50%,0.4,0.5,11,0.4524478604515099,0.36363636363636365,0.08881149681514627,0.2319120822835852
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,6,0.5772807622196905,0.5,0.07728076221969049,0.26420133794229256
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,12,0.6649537688489725,0.8333333333333334,-0.16837956448436087,0.16366324009927583
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,19,0.7530343619642927,0.8421052631578947,-0.08907090119360195,0.14097559142113975
canonical_fixed_6_5,80–90%,0.8,0.9,23,0.8496159882258094,0.9130434782608695,-0.0634274900350601,0.08158538339357377
canonical_fixed_6_5,90–100%,0.9,1.0,145,0.9821359823037153,1.0,-0.01786401769628465,0.0009547576562491041
production_election_day_v1,0–10%,0.0,0.1,154,0.012475250963011624,0.006493506493506494,0.00598174446950513,0.006367867319654086
production_election_day_v1,10–20%,0.1,0.2,15,0.13835682299220575,0.06666666666666667,0.07169015632553909,0.06640820456809568
production_election_day_v1,20–30%,0.2,0.30000000000000004,10,0.24135301043462717,0.3,-0.058646989565372815,0.21021323640449735
production_election_day_v1,30–40%,0.30000000000000004,0.4,8,0.3485515727539266,0.0,0.3485515727539266,0.12257977611769216
production_election_day_v1,40–50%,0.4,0.5,8,0.4578781795491884,0.5,-0.04212182045081159,0.2572762419340242
production_election_day_v1,50–60%,0.5,0.6000000000000001,2,0.5601737992409442,0.5,0.06017379924094424,0.28146641300453645
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,9,0.6567919434949828,0.5555555555555556,0.10123638793942724,0.26006418515331126
production_election_day_v1,70–80%,0.7000000000000001,0.8,16,0.759007362137577,0.9375,-0.17849263786242298,0.09339042674009668
production_election_day_v1,80–90%,0.8,0.9,14,0.8560200073742453,0.8571428571428571,-0.0011228497686117667,0.11611733316288378
production_election_day_v1,90–100%,0.9,1.0,164,0.9887741061026853,0.9878048780487805,0.0009692280539048692,0.010593314241429556
