model_id,model_description,alpha,rows,categorical_feature_count,numeric_feature_count,residual_prediction_mean,residual_prediction_sd,residual_prediction_min,residual_prediction_max,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,predicted_dem_wins,expected_dem_wins,actual_dem_wins,mean_margin_error_dem_bias,mean_absolute_error_rank_within_model,rmse_rank_within_model,brier_score_rank_within_model,log_loss_rank_within_model,selection_rank_within_model
B_competitiveness_only,Historical competitiveness measures only.,100.0,400,0,4,-2.93851153523427,0.6743399014438521,-4.218832735121065,-0.7574734150934854,4.275586038099869,5.770680394689099,0.9525,0.03309366545550338,0.10630658188784176,199.0,198.6013624222233,204.0,0.0037272007447605305,4.0,5.0,1.0,1.0,11.0
B_competitiveness_only,Historical competitiveness measures only.,300.0,400,0,4,-2.940468929693535,0.5529741737206006,-3.9174164018953364,-1.353080219016583,4.260616599328037,5.756295370582444,0.95,0.03310782224797602,0.10642652235870952,200.0,198.31990518756263,204.0,0.0017698062854953633,1.0,2.0,2.0,3.0,8.0
B_competitiveness_only,Historical competitiveness measures only.,1000.0,400,0,4,-2.94169978476322,0.36632368965638634,-3.536170931809024,-1.8630029746082604,4.2612756365543705,5.7520621239602985,0.95,0.033153389764140354,0.10681849745673273,200.0,197.74938148919364,204.0,0.0005389512158107479,2.0,1.0,4.0,11.0,18.0
B_competitiveness_only,Historical competitiveness measures only.,3000.0,400,0,4,-2.9421000788282083,0.1928276564371517,-3.251260848829472,-2.3264900781852225,4.270609264171122,5.757749573480753,0.955,0.03323871317046099,0.10732295345327814,198.0,197.18455837536797,204.0,0.0001386571508212242,3.0,3.0,7.0,12.0,25.0
B_competitiveness_only,Historical competitiveness measures only.,10000.0,400,0,4,-2.9422088909627293,0.08246205919591648,-3.092009636808603,-2.689584894188326,4.278408088300399,5.765178946893105,0.955,0.033330248497431623,0.10774023785410285,198.0,196.80473551557816,204.0,2.9845016301095483e-05,5.0,4.0,13.0,13.0,35.0
C_volatility_only,Historical within-regime volatility measures only.,0.01,400,0,2,-2.9382436692137675,0.6460144001899943,-4.077062461905161,-0.17524142224978956,4.291954242115688,5.757766681720226,0.95,0.0336234412212517,0.10761454835845495,200.0,196.950233981015,204.0,0.003995066765262507,13.0,10.0,13.0,1.0,37.0
C_volatility_only,Historical within-regime volatility measures only.,0.03,400,0,2,-2.9382449976879492,0.6459083297857888,-4.0769330991546315,-0.17586096266918538,4.291942119048591,5.757761799547082,0.95,0.033623353091841585,0.10761464426797446,200.0,196.95022252789374,204.0,0.003993738291081037,12.0,9.0,12.0,2.0,35.0
C_volatility_only,Historical within-regime volatility measures only.,0.1,400,0,2,-2.9382496401655254,0.6455376140605156,-4.076480806095281,-0.1780265691446159,4.29189973854711,5.757744757707473,0.95,0.033623045133566114,0.10761497982006098,200.0,196.95018243104843,204.0,0.003989095813504911,11.0,8.0,11.0,3.0,33.0
C_volatility_only,Historical within-regime volatility measures only.,0.3,400,0,2,-2.9382628431268074,0.6444829541490277,-4.075192608891522,-0.1841902463414895,4.2917790802027405,5.75769645652912,0.95,0.03362216947209113,0.10761593740768621,200.0,196.9500677764019,204.0,0.003975892852222742,10.0,7.0,10.0,4.0,31.0
C_volatility_only,Historical within-regime volatility measures only.,1.0,400,0,2,-2.938308350309999,0.6408436664846942,-4.070730763682646,-0.20548970460965155,4.291361710634589,5.7575318546002645,0.95,0.03361915308977216,0.10761927545794063,200.0,196.94966546157295,204.0,0.003930385669031011,9.0,6.0,9.0,5.0,29.0
C_volatility_only,Historical within-regime volatility measures only.,3.0,400,0,2,-2.938432624950228,0.6308719114013125,-4.058368836437799,-0.2640975924078339,4.290209850216694,5.757097415336947,0.95,0.03361093061101634,0.10762869027099989,200.0,196.94850847177665,204.0,0.0038061110288020927,8.0,5.0,8.0,6.0,27.0
C_volatility_only,Historical within-regime volatility measures only.,10.0,400,0,2,-2.938809977895508,0.6002754761798729,-4.019082328524414,-0.4462648349094911,4.286595120004741,5.755919793183358,0.95,0.03358611697942481,0.1076600346727124,200.0,196.94441053585987,204.0,0.003428758083522112,7.0,3.0,7.0,7.0,24.0
C_volatility_only,Historical within-regime volatility measures only.,30.0,400,0,2,-2.9395559265828246,0.5380060961038463,-3.931423054281671,-0.8281390616684301,4.2791905227425255,5.754291453491268,0.9475,0.03353795213388358,0.1077347827449298,201.0,196.93283738729517,204.0,0.0026828093962058654,5.0,2.0,6.0,8.0,21.0
C_volatility_only,Historical within-regime volatility measures only.,100.0,400,0,2,-2.940672396569805,0.43392370742506875,-3.753806035043332,-1.3872731673609744,4.270807619364994,5.754036322452024,0.9525,0.03346880628969564,0.10787611509504753,199.0,196.89796369469366,204.0,0.0015663394092245576,2.0,1.0,5.0,9.0,17.0
C_volatility_only,Historical within-regime volatility measures only.,300.0,400,0,2,-2.941463525021226,0.3214553300619618,-3.539206360636882,-1.7690178029896846,4.268519252081396,5.7563827971710735,0.955,0.03342163922984537,0.10797250598071795,198.0,196.83094734874427,204.0,0.00077521095780412,1.0,4.0,4.0,10.0,19.0
C_volatility_only,Historical within-regime volatility measures only.,1000.0,400,0,2,-2.941922180654834,0.1842799370506017,-3.2816907511509585,-2.2079679455097923,4.271345589188321,5.761097780153847,0.955,0.03339783308331262,0.10799461373509621,198.0,196.7263082698454,204.0,0.0003165553241955976,3.0,11.0,3.0,11.0,28.0
C_volatility_only,Historical within-regime volatility measures only.,3000.0,400,0,2,-2.942113479076272,0.09120203306904065,-3.129959312118019,-2.5635931234875695,4.27761791346102,5.76585855739896,0.955,0.03339479905334646,0.10800208749891549,198.0,196.64697884821797,204.0,0.00012525690275801084,4.0,12.0,1.0,12.0,29.0
C_volatility_only,Historical within-regime volatility measures only.,10000.0,400,0,2,-2.9421978854659248,0.05031071608451646,-3.049384094576904,-2.760658351005307,4.2816112069434356,5.768998741418555,0.955,0.033396903536902924,0.10801171616956264,198.0,196.60311437387247,204.0,4.085051310529053e-05,6.0,13.0,2.0,13.0,34.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",0.01,400,0,5,-2.939625294113623,1.6274480750112763,-8.464603911208716,3.7495238929191737,4.237976503926965,5.605524246903792,0.96,0.030617049412040433,0.0983628547307858,202.0,197.14640533474176,204.0,0.002613441865407369,8.0,7.0,1.0,1.0,17.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",0.03,400,0,5,-2.9396305008159436,1.6265220987676425,-8.460260241988625,3.7453132553682225,4.237911038838633,5.60547117387732,0.96,0.030617896620929688,0.0983663934331811,202.0,197.145634636685,204.0,0.0026082351630868582,7.0,6.0,2.0,2.0,17.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",0.1,400,0,5,-2.939648548845731,1.6232988062771987,-8.445140926949136,3.730647418464559,4.237683812831572,5.6052891162115746,0.96,0.030620858318562018,0.09837876200791637,202.0,197.1429610367751,204.0,0.0025901871332993844,6.0,5.0,3.0,3.0,17.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",0.3,400,0,5,-2.939698655480736,1.614235778585243,-8.40264029504429,3.689342257636333,4.23705034219488,5.604799339235964,0.96,0.030629289597008322,0.09841395331174484,202.0,197.135519742847,204.0,0.002540080498294941,5.0,4.0,4.0,4.0,17.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",1.0,400,0,5,-2.939858599743938,1.584061958979271,-8.26137098901606,3.5512212967614043,4.235780788704315,5.603395296718175,0.96,0.030658428288858442,0.09853532099571435,202.0,197.1115435405555,204.0,0.0023801362350924647,4.0,3.0,5.0,5.0,17.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",3.0,400,0,5,-2.9402152509597785,1.5081643499729531,-7.9091472603644055,3.2016211036368865,4.233273170102173,5.601260173669972,0.96,0.030738386258300422,0.09886583338735948,202.0,197.05633220194372,204.0,0.0020234850192514743,3.0,1.0,6.0,6.0,16.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",10.0,400,0,5,-2.940912581250654,1.311523393506668,-7.026520988392491,2.297939103162036,4.229028451299102,5.60327787397231,0.96,0.030982718017498235,0.09984967192625334,202.0,196.939310233553,204.0,0.0013261547283761033,1.0,2.0,7.0,7.0,17.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",30.0,400,0,5,-2.9418310210317498,0.9982659484172487,-5.688573652805658,1.064644782514312,4.230071010685317,5.625015723732561,0.955,0.03147053288806891,0.10171121757997172,200.0,196.79397255686436,204.0,0.0004077149472807573,2.0,8.0,8.0,8.0,26.0
