candidate_uid,cycle,chamber,race_id,state,district,party_code,candidate_name_canonical,candidate_name_mit,candidate_name_fec,fec_candidate_id,principal_campaign_committee_id,incumbent_challenger_status,is_incumbent,is_challenger,is_open_seat_candidate,fec_candidate_status,candidate_vote_total,candidate_vote_share,match_method,match_score,match_reason,second_best_score,candidate_count_considered,source_results,source_candidate_identity
HOUSE_2022_AZ_1_R_DAVID_SCHWEIKERT,2022,House,AZ-1,AZ,1,R,DAVID SCHWEIKERT,DAVID SCHWEIKERT,"SCHWEIKERT, DAVID S.",H4AZ06045,C00540617,I,True,False,False,C,182336,0.50441936831389,high_confidence_state_fallback,95.0,last_exact+first_match+token_overlap+scope_same_state_party,2.0,44,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_2_D_TOM_OAHALLERAN,2022,House,AZ-2,AZ,2,D,TOM OâHALLERAN,TOM OâHALLERAN,,,,,False,False,False,,149151,0.4612023649024725,unmatched,0.0,last_name_mismatch+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_2_R_ELI_CRANE,2022,House,AZ-2,AZ,2,R,ELI CRANE,ELI CRANE,"CRANE, ELI",H2AZ01354,C00784934,C,False,True,False,C,174169,0.5385626290986901,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,10,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_3_D_RUBEN_GALLEGO,2022,House,AZ-3,AZ,3,D,RUBEN GALLEGO,RUBEN GALLEGO,"GALLEGO, RUBEN",H4AZ07043,C00558627,I,True,False,False,C,108599,0.7698016643747253,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_3_R_JEFF_ZINK,2022,House,AZ-3,AZ,3,R,JEFF ZINK,JEFF ZINK,"ZINK, JEFFREY NELSON MR",H2AZ07187,C00766402,C,False,True,False,C,32475,0.23019833562527467,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,2.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_4_D_GREG_STANTON,2022,House,AZ-4,AZ,4,D,GREG STANTON,GREG STANTON,"STANTON, GREG",H8AZ09040,C00657304,I,True,False,False,C,148941,0.5609872767403145,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_4_R_KELLY_COOPER,2022,House,AZ-4,AZ,4,R,KELLY COOPER,KELLY COOPER,"COOPER, KELLY",H2AZ09191,C00792085,C,False,True,False,C,116521,0.43887712901792103,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_5_D_JAVIER_RAMOS,2022,House,AZ-5,AZ,5,D,JAVIER RAMOS,JAVIER RAMOS,"RAMOS, JAVIER GARCIA MR.",H0AZ05185,C00813923,C,False,True,False,C,120243,0.3739015516651637,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_5_R_ANDY_BIGGS,2022,House,AZ-5,AZ,5,R,ANDY BIGGS,ANDY BIGGS,"BIGGS, ANDY MR.",H6AZ05083,C00610451,I,True,False,False,C,182464,0.5673808265182375,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_6_D_KIRSTEN_ENGEL,2022,House,AZ-6,AZ,6,D,KIRSTEN ENGEL,KIRSTEN ENGEL,"ENGEL, KIRSTEN",H2AZ02311,C00773820,C,False,True,False,C,171969,0.4923486112980019,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,7,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_6_R_JUAN_CISCOMANI,2022,House,AZ-6,AZ,6,R,JUAN CISCOMANI,JUAN CISCOMANI,"CISCOMANI, JUAN",H2AZ02360,C00786194,O,False,False,True,C,177201,0.5073278688055245,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,7,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_7_D_RAAL_M_GRIJALVA,2022,House,AZ-7,AZ,7,D,RAÃL M GRIJALVA,RAÃL M GRIJALVA,"GRIJALVA, RAUL M",H2AZ07070,C00374058,I,True,False,False,C,126418,0.6454442413536061,probable_automatic,74.5,last_exact+first_initial+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_7_R_LUIS_POZZOLO,2022,House,AZ-7,AZ,7,R,LUIS POZZOLO,LUIS POZZOLO,"POZZOLO, LUIS B",H2AZ03152,C00791046,C,False,True,False,C,69444,0.3545557586463939,high_confidence_state_fallback,95.0,last_exact+first_match+token_overlap+scope_same_state_party,2.0,44,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_8_R_DEBBIE_LESKO,2022,House,AZ-8,AZ,8,R,DEBBIE LESKO,DEBBIE LESKO,"LESKO, DEBBIE",H8AZ08158,C00663914,I,True,False,False,C,197555,0.9650339743934191,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_9_R_PAUL_GOSAR,2022,House,AZ-9,AZ,9,R,PAUL GOSAR,PAUL GOSAR,"GOSAR, PAUL DR.",H0AZ01259,C00461806,I,True,False,False,C,192796,0.977741714633466,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,10,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_1_D_MAX_STEINER,2022,House,CA-1,CA,1,D,MAX STEINER,MAX STEINER,"STEINER, MAX",H2CA01227,C00783498,C,False,True,False,C,93386,0.3792709919788811,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_1_R_DOUG_LAMALFA,2022,House,CA-1,CA,1,R,DOUG LAMALFA,DOUG LAMALFA,"LAMALFA, DOUG",H2CA02142,C00509422,I,True,False,False,C,152839,0.6207290080211189,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_10_D_MARK_DESAULNIER,2022,House,CA-10,CA,10,D,MARK DESAULNIER,MARK DESAULNIER,"DESAULNIER, MARK",H0CA10073,C00554709,I,True,False,False,C,198415,0.7893030471795688,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_11_D_NANCY_PELOSI,2022,House,CA-11,CA,11,D,NANCY PELOSI,NANCY PELOSI,"PELOSI, NANCY",H8CA05035,C00213512,I,True,False,False,C,220848,0.839518750118792,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_11_R_JOHN_DENNIS,2022,House,CA-11,CA,11,R,JOHN DENNIS,JOHN DENNIS,"DENNIS, JOHN MR.",H2CA12174,C00766493,C,False,True,False,C,42217,0.16048124988120807,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_12_D_BARBARA_LEE,2022,House,CA-12,CA,12,D,BARBARA LEE,BARBARA LEE,"LEE, BARBARA",H8CA09060,C00331769,I,True,False,False,C,217110,0.9047418624905716,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_12_R_STEPHEN_SLAUSON,2022,House,CA-12,CA,12,R,STEPHEN SLAUSON,STEPHEN SLAUSON,"SLAUSON, STEPHEN SCOTT",H2CA12240,C00808097,C,False,True,False,N,22859,0.0952581375094283,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,0.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_13_D_ADAM_GRAY,2022,House,CA-13,CA,13,D,ADAM GRAY,ADAM GRAY,"GRAY, ADAM C.",H2CA13115,C00801431,C,False,True,False,C,66496,0.49788852616131063,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_13_R_JOHN_DUARTE,2022,House,CA-13,CA,13,R,JOHN DUARTE,JOHN DUARTE,,,,,False,False,False,,67060,0.5021114738386894,unmatched,0.0,last_name_mismatch+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_14_D_ERIC_SWALWELL,2022,House,CA-14,CA,14,D,ERIC SWALWELL,ERIC SWALWELL,"SWALWELL, ERIC MICHAEL",H2CA15094,C00502294,I,True,False,False,C,137612,0.6933851983231216,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_14_R_ALISON_HAYDEN,2022,House,CA-14,CA,14,R,ALISON HAYDEN,ALISON HAYDEN,"HAYDEN, ALISON",H0CA15247,C00776021,C,False,True,False,N,60852,0.30661480167687843,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_15_D_DAVID_J_CANEPA,2022,House,CA-15,CA,15,D,DAVID J CANEPA,DAVID J CANEPA,"CANEPA, DAVID",H2CA14170,C00795104,O,False,False,True,C,86797,0.445400617835114,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_15_D_KEVIN_MULLIN,2022,House,CA-15,CA,15,D,KEVIN MULLIN,KEVIN MULLIN,"MULLIN, KEVIN",H2CA14162,C00795005,O,False,False,True,C,108077,0.554599382164886,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_16_D_ANNA_G_ESHOO,2022,House,CA-16,CA,16,D,ANNA G ESHOO,ANNA G ESHOO,"ESHOO, ANNA G.",H8CA12098,C00258475,I,True,False,False,C,139235,0.5777218089101146,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_16_D_RISHI_KUMAR,2022,House,CA-16,CA,16,D,RISHI KUMAR,RISHI KUMAR,"KUMAR, RISHI",H0CA18068,C00695858,C,False,True,False,C,101772,0.42227819108988535,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_17_D_RO_KHANNA,2022,House,CA-17,CA,17,D,RO KHANNA,RO KHANNA,"KHANNA, ROHIT",H4CA12055,C00503185,I,True,False,False,C,127853,0.7092974874204591,probable_automatic,72.0,last_exact+first_initial+scope_same_race,0.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_17_R_RITESH_TANDON,2022,House,CA-17,CA,17,R,RITESH TANDON,RITESH TANDON,"TANDON, RITESH",H0CA17193,C00721878,C,False,True,False,C,52400,0.290702512579541,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_18_D_ZOE_LOFGREN,2022,House,CA-18,CA,18,D,ZOE LOFGREN,ZOE LOFGREN,"LOFGREN, ZOE",H4CA16049,C00289603,I,True,False,False,C,99776,0.6585309511395062,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_18_R_PETER_HERNANDEZ,2022,House,CA-18,CA,18,R,PETER HERNANDEZ,PETER HERNANDEZ,"HERNANDEZ, PETER",H2CA18163,C00799171,C,False,True,False,C,51737,0.34146904886049384,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_19_D_JIMMY_PANETTA,2022,House,CA-19,CA,19,D,JIMMY PANETTA,JIMMY PANETTA,"PANETTA, JIMMY",H6CA20152,C00592154,I,True,False,False,C,194494,0.6865059475486216,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_19_R_JEFF_GORMAN,2022,House,CA-19,CA,19,R,JEFF GORMAN,JEFF GORMAN,"GORMAN, JEFF",H0CA20122,C00722363,C,False,True,False,C,88816,0.31349405245137835,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_2_D_JARED_HUFFMAN,2022,House,CA-2,CA,2,D,JARED HUFFMAN,JARED HUFFMAN,"HUFFMAN, JARED",H2CA06259,C00536680,I,True,False,False,C,229720,0.7440347984932745,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_2_R_DOUGLAS_BROWER,2022,House,CA-2,CA,2,R,DOUGLAS BROWER,DOUGLAS BROWER,"BROWER, DOUGLAS REV",H2CA02209,C00786335,C,False,True,False,C,79029,0.2559652015067255,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_20_D_MARISA_WOOD,2022,House,CA-20,CA,20,D,MARISA WOOD,MARISA WOOD,"WOOD, MARISA",H2CA23155,C00779439,C,False,True,False,C,74934,0.3275359404845682,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_20_R_KEVIN_MCCARTHY,2022,House,CA-20,CA,20,R,KEVIN MCCARTHY,KEVIN MCCARTHY,"MCCARTHY, KEVIN",H6CA22125,C00420935,I,True,False,False,C,153847,0.6724640595154318,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_21_D_JIM_COSTA,2022,House,CA-21,CA,21,D,JIM COSTA,JIM COSTA,"COSTA, JIM",H4CA20082,C00391029,I,True,False,False,C,68074,0.5417877068294508,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_21_R_MICHAEL_MAHER,2022,House,CA-21,CA,21,R,MICHAEL MAHER,MICHAEL MAHER,"MAHER, MICHAEL A",H2CA22215,C00800144,O,False,False,True,C,57573,0.45821229317054923,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_22_D_RUDY_SALAS,2022,House,CA-22,CA,22,D,RUDY SALAS,RUDY SALAS,"SALAS, RUDY",H2CA21233,C00791756,C,False,True,False,C,49862,0.4847748308314537,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_22_R_DAVID_G_VALADAO,2022,House,CA-22,CA,22,R,DAVID G VALADAO,DAVID G VALADAO,"VALADAO, DAVID",H2CA20094,C00499392,I,True,False,False,C,52994,0.5152251691685463,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,6,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_23_D_DEREK_MARSHALL,2022,House,CA-23,CA,23,D,DEREK MARSHALL,DEREK MARSHALL,"MARSHALL, DEREK",H2CA08214,C00765461,C,False,True,False,C,65908,0.3897460157890068,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_23_R_JAY_OBERNOLTE,2022,House,CA-23,CA,23,R,JAY OBERNOLTE,JAY OBERNOLTE,"OBERNOLTE, JAY",H0CA08135,C00720078,I,True,False,False,C,103197,0.6102539842109932,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_24_D_SALUD_O_CARBAJAL,2022,House,CA-24,CA,24,D,SALUD O CARBAJAL,SALUD O CARBAJAL,"CARBAJAL, SALUD O.",H6CA24303,C00576041,I,True,False,False,F,159019,0.605666686980103,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_24_R_BRAD_ALLEN,2022,House,CA-24,CA,24,R,BRAD ALLEN,BRAD ALLEN,"ALLEN, BRAD DR.",H2CA24229,C00820647,C,False,True,False,C,103533,0.394333313019897,manual_override,100.0,"Verified 2022 MIT-to-FEC identity; manual override resolves duplicate ID, nickname, or name-format ambiguity.",,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_25_D_RAUL_RUIZ,2022,House,CA-25,CA,25,D,RAUL RUIZ,RAUL RUIZ,"RUIZ, RAUL DR.",H2CA36439,C00502575,I,True,False,False,C,87641,0.5737845517277501,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,6,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_CA_25_R_BRIAN_E_HAWKINS,2022,House,CA-25,CA,25,R,BRIAN E HAWKINS,BRIAN E HAWKINS,"HAWKINS, BRIAN",H2CA01177,C00769687,C,False,True,False,C,65101,0.42621544827224994,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,5,MIT Election Data and Science Lab,Federal Election Commission
