race_id,candidate,party,party_code,candidatevotes,candidate_norm,candidate_id,candidate_name,incumbent_challenger_status,candidate_status,fec_key_count,match_status
CA-28,JUDY CHU,DEMOCRAT,D,150062,JUDY CHU,,,,,,No exact FEC match
CA-29,TONY CÃRDENAS,DEMOCRAT,D,69915,TONY CARDENAS,,,,,,No exact FEC match
CA-29,ANGÃLICA MARIA DUEÃAS,DEMOCRAT,D,49520,ANGALICA MARIA DUEAAS,,,,,,No exact FEC match
CA-30,ADAM B SCHIFF,DEMOCRAT,D,150100,ADAM B SCHIFF,,,,,,No exact FEC match
CA-30,G âMAEBE A GIRLâ PUDLO,DEMOCRAT,D,60968,G AMAEBE A GIRLA PUDLO,,,,,,No exact FEC match
CA-31,DANIEL BOCIC MARTINEZ,REPUBLICAN,R,62153,DANIEL BOCIC MARTINEZ,,,,,,No exact FEC match
CA-31,GRACE F NAPOLITANO,DEMOCRAT,D,91472,GRACE F NAPOLITANO,,,,,,No exact FEC match
CA-32,LUCIE LAPOINTE VOLOTZKY,REPUBLICAN,R,74618,LUCIE LAPOINTE VOLOTZKY,,,,,,No exact FEC match
CA-32,BRAD SHERMAN,DEMOCRAT,D,167411,BRAD SHERMAN,,,,,,No exact FEC match
CA-33,JOHN MARK PORTER,REPUBLICAN,R,56119,JOHN MARK PORTER,,,,,,No exact FEC match
CA-33,PETE AGUILAR,DEMOCRAT,D,76588,PETE AGUILAR,,,,,,No exact FEC match
CA-34,JIMMY GOMEZ,DEMOCRAT,D,62244,JIMMY GOMEZ,,,,,,No exact FEC match
CA-34,DAVID KIM,DEMOCRAT,D,59223,DAVID KIM,,,,,,No exact FEC match
CA-35,MIKE CARGILE,REPUBLICAN,R,55832,MIKE CARGILE,,,,,,No exact FEC match
CA-35,NORMA J TORRES,DEMOCRAT,D,75121,NORMA J TORRES,,,,,,No exact FEC match
CA-36,JOE E COLLINS III,REPUBLICAN,R,84264,JOE E COLLINS,,,,,,No exact FEC match
CA-36,TED LIEU,DEMOCRAT,D,194299,TED LIEU,,,,,,No exact FEC match
CA-37,SYDNEY KAMLAGER,DEMOCRAT,D,84338,SYDNEY KAMLAGER,,,,,,No exact FEC match
CA-37,JAN C PERRY,DEMOCRAT,D,47542,JAN C PERRY,,,,,,No exact FEC match
CA-38,ERIC J CHING,REPUBLICAN,R,73051,ERIC J CHING,,,,,,No exact FEC match
CA-38,LINDA T SÃNCHEZ,DEMOCRAT,D,101260,LINDA T SANCHEZ,,,,,,No exact FEC match
CA-39,AJA SMITH,REPUBLICAN,R,55701,AJA SMITH,,,,,,No exact FEC match
CA-39,MARK TAKANO,DEMOCRAT,D,75896,MARK TAKANO,,,,,,No exact FEC match
CA-40,YOUNG KIM,REPUBLICAN,R,161589,YOUNG KIM,,,,,,No exact FEC match
CA-40,ASIF MAHMOOD,DEMOCRAT,D,122722,ASIF MAHMOOD,,,,,,No exact FEC match
CA-41,KEN CALVERT,REPUBLICAN,R,123869,KEN CALVERT,,,,,,No exact FEC match
CA-41,WILL ROLLINS,DEMOCRAT,D,112769,WILL ROLLINS,,,,,,No exact FEC match
CA-42,JOHN BRISCOE,REPUBLICAN,R,45903,JOHN BRISCOE,,,,,,No exact FEC match
CA-42,ROBERT GARCIA,DEMOCRAT,D,99217,ROBERT GARCIA,,,,,,No exact FEC match
CA-43,OMAR NAVARRO,REPUBLICAN,R,27985,OMAR NAVARRO,,,,,,No exact FEC match
CA-43,MAXINE WATERS,DEMOCRAT,D,95462,MAXINE WATERS,,,,,,No exact FEC match
CA-44,PAUL JONES,REPUBLICAN,R,38554,PAUL JONES,,,,,,No exact FEC match
CA-44,NANETTE DIAZ BARRAGÃN,DEMOCRAT,D,100160,NANETTE DIAZ BARRAGAN,,,,,,No exact FEC match
CA-45,MICHELLE STEEL,REPUBLICAN,R,113960,MICHELLE STEEL,,,,,,No exact FEC match
CA-45,JAY F CHEN,DEMOCRAT,D,103466,JAY F CHEN,,,,,,No exact FEC match
CA-46,CHRISTOPHER J GONZALES,REPUBLICAN,R,48257,CHRISTOPHER J GONZALES,,,,,,No exact FEC match
CA-46,J LUIS CORREA,DEMOCRAT,D,78041,J LUIS CORREA,,,,,,No exact FEC match
CA-47,SCOTT BAUGH,REPUBLICAN,R,128261,SCOTT BAUGH,,,,,,No exact FEC match
CA-47,KATIE PORTER,DEMOCRAT,D,137374,KATIE PORTER,,,,,,No exact FEC match
CA-48,DARRELL ISSA,REPUBLICAN,R,155171,DARRELL ISSA,,,,,,No exact FEC match
CA-48,STEPHEN HOULAHAN,DEMOCRAT,D,101900,STEPHEN HOULAHAN,,,,,,No exact FEC match
CA-49,BRIAN MARYOTT,REPUBLICAN,R,138194,BRIAN MARYOTT,,,,,,No exact FEC match
CA-49,MIKE LEVIN,DEMOCRAT,D,153541,MIKE LEVIN,,,,,,No exact FEC match
CA-50,COREY GUSTAFSON,REPUBLICAN,R,99819,COREY GUSTAFSON,,,,,,No exact FEC match
CA-50,SCOTT H PETERS,DEMOCRAT,D,168816,SCOTT H PETERS,,,,,,No exact FEC match
CA-51,STAN CAPLAN,REPUBLICAN,R,88886,STAN CAPLAN,,,,,,No exact FEC match
CA-51,SARA JACOBS,DEMOCRAT,D,144186,SARA JACOBS,,,,,,No exact FEC match
CA-52,TYLER GEFFENEY,REPUBLICAN,R,50330,TYLER GEFFENEY,,,,,,No exact FEC match
CA-52,JUAN VARGAS,DEMOCRAT,D,100686,JUAN VARGAS,,,,,,No exact FEC match
CO-1,JENNIFER QUALTERI,REPUBLICAN,R,49530,JENNIFER QUALTERI,,,,,,No exact FEC match
CO-1,DIANA DEGETTE,DEMOCRAT,D,226929,DIANA DEGETTE,,,,,,No exact FEC match
CO-2,MARSHALL DAWSON,REPUBLICAN,R,97700,MARSHALL DAWSON,,,,,,No exact FEC match
CO-2,JOE NEGUSE,DEMOCRAT,D,244107,JOE NEGUSE,,,,,,No exact FEC match
CO-3,LAUREN BOEBERT,REPUBLICAN,R,163839,LAUREN BOEBERT,,,,,,No exact FEC match
CO-3,ADAM FRISCH,DEMOCRAT,D,163293,ADAM FRISCH,,,,,,No exact FEC match
CO-4,KEN BUCK,REPUBLICAN,R,216024,KEN BUCK,,,,,,No exact FEC match
CO-4,IKE MCCORKLE,DEMOCRAT,D,129619,IKE MCCORKLE,,,,,,No exact FEC match
CO-5,DOUG LAMBORN,REPUBLICAN,R,155528,DOUG LAMBORN,,,,,,No exact FEC match
CO-5,DAVID TORRES,DEMOCRAT,D,111978,DAVID TORRES,,,,,,No exact FEC match
CO-6,STEVEN MONAHAN,REPUBLICAN,R,105084,STEVEN MONAHAN,,,,,,No exact FEC match
CO-6,JASON CROW,DEMOCRAT,D,170140,JASON CROW,,,,,,No exact FEC match
CO-7,ERIK AADLAND,REPUBLICAN,R,150510,ERIK AADLAND,,,,,,No exact FEC match
CO-7,BRITTANY PETTERSEN,DEMOCRAT,D,204984,BRITTANY PETTERSEN,,,,,,No exact FEC match
CO-8,BARBARA KIRKMEYER,REPUBLICAN,R,112745,BARBARA KIRKMEYER,,,,,,No exact FEC match
CO-8,YADIRA CARAVEO,DEMOCRAT,D,114377,YADIRA CARAVEO,,,,,,No exact FEC match
FL-1,MATT GAETZ,REPUBLICAN,R,197349,MATT GAETZ,,,,,,No exact FEC match
FL-1,REBEKAH JONES,DEMOCRAT,D,93467,REBEKAH JONES,,,,,,No exact FEC match
FL-2,NEAL P DUNN,REPUBLICAN,R,180236,NEAL P DUNN,,,,,,No exact FEC match
FL-2,"AL LAWSON, JR",DEMOCRAT,D,121153,AL LAWSON,,,,,,No exact FEC match
FL-3,KAT CAMMACK,REPUBLICAN,R,178101,KAT CAMMACK,,,,,,No exact FEC match
FL-3,DANIELLE HAWK,DEMOCRAT,D,103382,DANIELLE HAWK,,,,,,No exact FEC match
FL-4,AARON BEAN,REPUBLICAN,R,165696,AARON BEAN,,,,,,No exact FEC match
FL-4,LASHONDA âLJâ HOLLOWAY,DEMOCRAT,D,108402,LASHONDA ALJA HOLLOWAY,,,,,,No exact FEC match
FL-5,JOHN H RUTHERFORD,REPUBLICAN,R,1,JOHN H RUTHERFORD,,,,,,No exact FEC match
FL-6,MICHAEL WALTZ,REPUBLICAN,R,226548,MICHAEL WALTZ,,,,,,No exact FEC match
FL-7,CORY MILLS,REPUBLICAN,R,177966,CORY MILLS,,,,,,No exact FEC match
FL-7,KAREN GREEN,DEMOCRAT,D,126079,KAREN GREEN,,,,,,No exact FEC match
FL-8,BILL POSEY,REPUBLICAN,R,222128,BILL POSEY,,,,,,No exact FEC match
