race_id,party_code,mit_candidate_name,fec_candidate_name,fec_candidate_id,incumbent_challenger_status,match_method,match_score,second_best_score,candidate_count_considered,match_reason
AK-AL,R,SARAH PALIN,"PALIN, SARAH",H2AK00226,O,high_confidence_automatic,100.0,2.0,23,last_exact+first_match+token_overlap+scope_same_race
DE-AL,R,LEE MURPHY,"MURPHY, LEE",H8DE01044,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
DE-AL,D,LISA BLUNT ROCHESTER,"BLUNT ROCHESTER, LISA",H6DE00206,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
ND-AL,R,KELLY ARMSTRONG,"ARMSTRONG, KELLY",H8ND00096,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
SD-AL,R,DUSTY JOHNSON,"JOHNSON, DUSTY",H8SD01055,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
WY-AL,R,HARRIET HAGEMAN,"HAGEMAN, HARRIET",H2WY00166,C,high_confidence_automatic,100.0,2.0,8,last_exact+first_match+token_overlap+scope_same_race
WY-AL,D,LYNNETTE GREYBULL,"GREYBULL, LYNNETTE",H0WY01036,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
OH-11,D,SHONTEL M BROWN,"BROWN, M SHONTEL",H2OH11169,I,high_confidence_automatic,97.0,2.0,4,last_exact+alternate_given_name_match+token_overlap+scope_same_race
AL-4,R,ROBERT B ADERHOLT,"ADERHOLT, ROBERT B. REP.",H6AL04098,I,high_confidence_automatic,96.25,0.0,2,last_exact+first_match+token_overlap+scope_same_race
AL-5,D,KATHY WARNER-STANTON,"WARNER-STANTON, KATHY L",H2AL05177,O,high_confidence_automatic,96.25,,1,last_exact+first_match+token_overlap+scope_same_race
CA-31,R,DANIEL BOCIC MARTINEZ,"MARTINEZ, DANIEL JOSE BOCIC",H2CA28162,C,high_confidence_automatic,96.25,2.0,3,last_exact+first_match+token_overlap+scope_same_race
NY-23,D,MAX H DELLA PIA,"DELLA PIA, MAX",H8NY23175,O,high_confidence_automatic,96.25,0.0,2,last_exact+first_match+token_overlap+scope_same_race
TN-3,R,CHARLES J âCHUCKâ FLEISCHMANN,"FLEISCHMANN, CHARLES J",H0TN03254,I,high_confidence_automatic,96.25,2.0,3,last_exact+first_match+token_overlap+scope_same_race
TX-31,R,JOHN R CARTER,"CARTER, JOHN R. REP.",H2TX31044,I,high_confidence_automatic,96.25,2.0,5,last_exact+first_match+token_overlap+scope_same_race
VA-3,D,ROBERT C âBOBBYâ SCOTT,"SCOTT, ROBERT C",H6VA01117,I,high_confidence_automatic,96.25,0.0,3,last_exact+first_match+token_overlap+scope_same_race
WI-3,R,DERRICK VAN ORDEN,"VAN ORDEN, DERRICK F. MR.",H0WI03175,O,high_confidence_automatic,96.25,0.0,3,last_exact+first_match+token_overlap+scope_same_race
IA-1,R,MARIANNETTE MILLER-MEEKS,"MILLER-MEEKS, MARIANNETTE JANE",H8IA02043,I,high_confidence_automatic,96.25,2.0,2,last_exact+first_match+token_overlap+scope_same_race
KY-6,D,GEOFFREY M âGEOFFâ YOUNG,"YOUNG, GEOFFREY M",H4KY06163,C,high_confidence_automatic,96.25,2.0,3,last_exact+first_match+token_overlap+scope_same_race
