replay_spec,probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
production_election_day_v1,70–80%,0.7000000000000001,0.8,11,0.7535713504069044,0.9090909090909091,-0.1555195586840047,0.11317014447714305
production_election_day_v1,80–90%,0.8,0.9,11,0.8437223358488924,0.9090909090909091,-0.06536857324201661,0.08555270093234463
production_election_day_v1,90–100%,0.9,1.0,156,0.9923056598533927,1.0,-0.007694340146607304,0.0004325454157615484
canonical_fixed_6_5,0–10%,0.0,0.1,118,0.023944496855806637,0.0,0.023944496855806637,0.0012428211468217677
canonical_fixed_6_5,10–20%,0.1,0.2,31,0.14108068244594615,0.0,0.14108068244594615,0.020493051660406634
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,21,0.24666319859730435,0.0,0.24666319859730435,0.06185697689667148
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,15,0.33913682655501576,0.0,0.33913682655501576,0.11602420750523855
canonical_fixed_6_5,40–50%,0.4,0.5,9,0.45399894819754594,0.3333333333333333,0.12066561486421262,0.23516197385849283
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,7,0.5689901486907566,0.5714285714285714,-0.002438422737814805,0.24435259314637697
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,6,0.6664243950359983,0.8333333333333334,-0.1669089382973351,0.17117355247522978
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,13,0.7474019792636964,0.8461538461538461,-0.0987518668901497,0.13668168031439812
canonical_fixed_6_5,80–90%,0.8,0.9,19,0.8466719774040437,0.8421052631578947,0.004566714246148962,0.12662936699588134
canonical_fixed_6_5,90–100%,0.9,1.0,168,0.985980564259099,0.9761904761904762,0.009790088068622804,0.02296727500163946
production_election_day_v1,0–10%,0.0,0.1,145,0.01578449278558653,0.0,0.01578449278558653,0.0009434855762258393
production_election_day_v1,10–20%,0.1,0.2,17,0.14700110029133817,0.0,0.14700110029133817,0.022449379589711042
production_election_day_v1,20–30%,0.2,0.30000000000000004,17,0.24415845350263965,0.0,0.24415845350263965,0.06018178500922871
production_election_day_v1,30–40%,0.30000000000000004,0.4,6,0.33981990254714795,0.0,0.33981990254714795,0.11576928811703972
production_election_day_v1,40–50%,0.4,0.5,9,0.440416268756768,0.3333333333333333,0.10708293542343467,0.23183593157662521
production_election_day_v1,50–60%,0.5,0.6000000000000001,6,0.5863755428452214,0.5,0.08637554284522142,0.2595413708177708
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,3,0.6610210147208871,1.0,-0.33897898527911285,0.11637073303763318
production_election_day_v1,70–80%,0.7000000000000001,0.8,7,0.7466657848216522,0.7142857142857143,0.032380070535937944,0.20697421214502457
production_election_day_v1,80–90%,0.8,0.9,16,0.8458172976658755,0.8125,0.033317297665875545,0.1629016924098901
production_election_day_v1,90–100%,0.9,1.0,181,0.992862486550508,0.9723756906077348,0.02048679594277325,0.02678985072274809
canonical_fixed_6_5,0–10%,0.0,0.1,137,0.02287697149563957,0.0,0.02287697149563957,0.0011974116659539673
canonical_fixed_6_5,10–20%,0.1,0.2,23,0.14016791254103267,0.0,0.14016791254103267,0.020246809912482587
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,13,0.24055640725326322,0.07692307692307693,0.1636333303301863,0.10439999880193204
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,9,0.337546943204394,0.2222222222222222,0.11532472098217178,0.19766018003212393
canonical_fixed_6_5,40–50%,0.4,0.5,7,0.44175152275626167,0.2857142857142857,0.15603723704197597,0.2331922048471373
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,7,0.5572598586176915,0.7142857142857143,-0.15702585566802285,0.21999252803684313
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,9,0.6410410682304205,0.4444444444444444,0.1965966237859761,0.2752827938412002
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,14,0.7533615582779387,0.8571428571428571,-0.10378129886491838,0.13538906109242982
canonical_fixed_6_5,80–90%,0.8,0.9,29,0.853712938456277,0.896551724137931,-0.042838785681654,0.08651886919745014
canonical_fixed_6_5,90–100%,0.9,1.0,152,0.9854551277199161,1.0,-0.014544872280083943,0.0006754367330946612
production_election_day_v1,0–10%,0.0,0.1,157,0.011846279953734235,0.0,0.011846279953734235,0.0006530168448737735
production_election_day_v1,10–20%,0.1,0.2,13,0.15051246242064736,0.07692307692307693,0.07358938549757044,0.08004097613595158
production_election_day_v1,20–30%,0.2,0.30000000000000004,9,0.2547229292660681,0.2222222222222222,0.03250070704384589,0.1716894633018326
production_election_day_v1,30–40%,0.30000000000000004,0.4,4,0.3477231601777506,0.0,0.3477231601777506,0.12206052182848702
production_election_day_v1,40–50%,0.4,0.5,6,0.42909426796380057,0.3333333333333333,0.09576093463046725,0.24156924294109194
production_election_day_v1,50–60%,0.5,0.6000000000000001,6,0.5654767075172566,0.6666666666666666,-0.10118995914940998,0.22476750964402328
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,7,0.6507237650891786,0.42857142857142855,0.22215233651775007,0.2949877436376132
production_election_day_v1,70–80%,0.7000000000000001,0.8,7,0.7617135110298554,0.8571428571428571,-0.09542934611300169,0.1252368012142044
production_election_day_v1,80–90%,0.8,0.9,18,0.8559259782873152,0.7222222222222222,0.133703756065093,0.2211529996140425
production_election_day_v1,90–100%,0.9,1.0,173,0.990399913406157,1.0,-0.009600086593843038,0.000529669582371649
